ticker,name,market,official_stage,candidate_state,market_cap_eok,avg_trading_value_20d_eok,avg_trading_value_60d_eok,investability_status,investability_reason,oracle_status,status_match
001540,안국약품,KOSDAQ,early_trend,candidate,1542.92,14.0,22.12,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,INVESTABLE,True
003100,선광,KOSDAQ,transition,candidate,1428.9,10.3,6.8,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,INVESTABLE,True
003800,에이스침대,KOSDAQ,transition,candidate,3698.51,1.03,1.69,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.03억),FILTERED_LIQUIDITY,True
004590,한국가구,KOSDAQ,transition,candidate,853.5,2.21,4.52,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (853.5억),FILTERED_MARKET_CAP,True
005670,푸드웰,KOSDAQ,transition,candidate,669.0,2.01,2.04,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (669.0억),FILTERED_MARKET_CAP,True
005990,매일홀딩스,KOSDAQ,transition,candidate,1432.23,0.27,0.59,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (0.27억),FILTERED_LIQUIDITY,True
007330,푸른저축은행,KOSDAQ,transition,candidate,1523.36,1.03,3.96,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.03억),FILTERED_LIQUIDITY,True
007390,네이처셀,KOSDAQ,transition,candidate,15077.8,89.83,199.09,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,INVESTABLE,True
008370,원풍,KOSDAQ,transition,candidate,595.8,0.15,0.32,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (595.8억),FILTERED_MARKET_CAP,True
008830,대동기어,KOSDAQ,transition,candidate,997.46,43.08,23.85,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (997.5억),FILTERED_MARKET_CAP,True
013030,하이록코리아,KOSDAQ,transition,candidate,3959.98,13.92,14.1,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,INVESTABLE,True
017650,대림제지,KOSDAQ,transition,candidate,911.88,1.5,1.32,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (911.9억),FILTERED_MARKET_CAP,True
017890,한국알콜,KOSDAQ,transition,candidate,2995.59,15.56,12.23,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,INVESTABLE,True
