ticker,name,market,asset_type,as_of,official_stage,candidate_state,pattern_a_score,close,market_cap,market_cap_eok,shares_outstanding,avg_trading_value_20d,avg_trading_value_20d_eok,median_trading_value_20d,avg_trading_value_60d,avg_trading_value_60d_eok,median_trading_value_60d,trading_days_20d,trading_days_60d,data_ready,missing_reason
000250,삼천당제약,KOSDAQ,COMMON,2026-08-14,weak,blocked,0.0,189000.0,4433462208000.0,44334.62,23457472,52736262335.0,527.36,38564202675.0,48130262636.666664,481.3,36125384975.0,20,60,True,
000440,중앙에너비스,KOSDAQ,COMMON,2026-08-14,weak,blocked,0.0,12280.0,76469156400.0,764.69,6227130,628222874.75,6.28,379393010.0,1039649722.3333334,10.4,418228052.5,20,60,True,
001000,신라섬유,KOSDAQ,COMMON,2026-08-14,weak,blocked,5.65919510825427,480.0,11653219200.0,116.53,24277540,490787537.1,4.91,338299680.5,1390398783.9,13.9,375983289.5,20,60,True,
001540,안국약품,KOSDAQ,COMMON,2026-08-14,early_trend,candidate,97.4527038834332,11830.0,154291828600.0,1542.92,13042420,1399721282.5,14.0,1034258157.5,2212024488.3333335,22.12,1183765722.5,20,60,True,
001810,무림SP,KOSDAQ,COMMON,2026-08-14,weak,blocked,3.4367560211639985,1177.0,26055837500.0,260.56,22137500,19581744.75,0.2,18410203.0,33984163.35,0.34,24606460.5,20,60,True,
001840,이화공영,KOSDAQ,COMMON,2026-08-14,weak,blocked,0.0,2215.0,62588831935.0,625.89,28256809,0.0,0.0,0.0,0.0,0.0,0.0,20,60,True,
002230,피에스텍,KOSDAQ,COMMON,2026-08-14,weak,blocked,0.0,5450.0,100394831500.0,1003.95,18421070,407931645.95,4.08,380330172.5,731739717.4833333,7.32,455365517.5,20,60,True,
002290,삼일기업공사,KOSDAQ,COMMON,2026-08-14,weak,blocked,66.77200918749583,3295.0,40858000000.0,408.58,12400000,60998947.85,0.61,50569645.0,88704117.66666667,0.89,64532165.0,20,60,True,
002680,한탑,KOSDAQ,COMMON,2026-08-14,weak,blocked,0.0,2640.0,17063267760.0,170.63,6463359,2458750446.35,24.59,565890581.5,1284166753.3833334,12.84,171976827.0,20,60,True,
002800,신신제약,KOSDAQ,COMMON,2026-08-14,weak,blocked,31.407033679729896,4540.0,68874070000.0,688.74,15170500,120183887.1,1.2,89809042.5,686655626.1333333,6.87,159572560.0,20,60,True,
003100,선광,KOSDAQ,COMMON,2026-08-14,transition,candidate,71.37753729343403,21650.0,142890000000.0,1428.9,6600000,1029880177.0,10.3,367210215.0,680177327.4166666,6.8,375097690.0,20,60,True,
003310,대주산업,KOSDAQ,COMMON,2026-08-14,weak,blocked,0.0,1700.0,60166995000.0,601.67,35392350,2120115540.95,21.2,557808492.5,1574699776.15,15.75,718322935.0,20,60,True,
003380,하림지주,KOSDAQ,COMMON,2026-08-14,progressed,late,0.0,11230.0,1257823123830.0,12578.23,112005621,6063725498.75,60.64,5708362562.5,6910562589.5,69.11,6659342785.0,20,60,True,
003800,에이스침대,KOSDAQ,COMMON,2026-08-14,transition,candidate,82.00029173407705,33350.0,369851500000.0,3698.51,11090000,102634883.75,1.03,73838712.5,169095415.83333334,1.69,130396000.0,20,60,True,
