case_type,rank,ticker,name,market,isu_cd,control_trade_id,control_trade_sequence,entry_signal_date,entry_execution_date,entry_open,full_path_raw_mfe,full_path_mfe_cohort,v2_exit_category,v2_terminal_return,v2_mfe,v2_mae,v2_holding_days,v2_giveback,v3_exit_reason,v3_terminal_return,v4_exit_reason,v4_terminal_return,v4_strategy_path_mfe,v4_strategy_path_mae,v4_holding_days,v4_giveback,return_delta_v4_minus_v2
PRE_WINNER_EXIT_AFTER_FULL_PATH_WINNER,3,003300,한일홀딩스,KOSPI,KR7003300001,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_003300_KR7003300001_KOSPI_01,1,2021-06-04,2021-06-07,13206.0,80.221112,WINNER_CAPABLE_GE_20,OPEN_AT_CUTOFF,35.7,80.22,-24.73,1270,44.52,SOFT_EXIT,7.3,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-18.98,18.51,-18.98,254,37.49,-54.68
PRE_WINNER_EXIT_AFTER_FULL_PATH_WINNER,4,016590,신대양제지,KOSPI,KR7016590002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_016590_KR7016590002_KOSPI_01,1,2021-05-21,2021-05-24,9010.0,101.442841,WINNER_CAPABLE_GE_20,EXIT4,3.66,15.98,-8.99,91,12.32,HARD_EXIT,14.98,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-29.86,15.98,-34.52,485,45.84,-33.52
PRE_WINNER_EXIT_AFTER_FULL_PATH_WINNER,5,001940,KISCO홀딩스,KOSPI,KR7001940006,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_001940_KR7001940006_KOSPI_01,1,2021-06-04,2021-06-07,19850.0,48.36272,WINNER_CAPABLE_GE_20,EXIT4,12.34,12.85,-5.04,62,0.51,HARD_EXIT,5.29,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-15.37,19.4,-15.37,105,34.77,-27.71
PRE_WINNER_EXIT_AFTER_FULL_PATH_WINNER,6,039200,오스코텍,KOSDAQ,KR7039200001,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_039200_KR7039200001_KOSDAQ_01,1,2023-08-11,2023-08-14,33450.0,97.309417,WINNER_CAPABLE_GE_20,LOSS_GUARD,-16.89,1.49,-18.24,14,18.38,SOFT_EXIT,18.68,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-42.66,2.24,-45.74,75,44.9,-25.77
PRE_WINNER_EXIT_AFTER_FULL_PATH_WINNER,7,095340,ISC,KOSDAQ,KR7095340006,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_095340_KR7095340006_KOSDAQ_02,2,2025-02-14,2025-02-17,75000.0,290.0,WINNER_CAPABLE_GE_20,LOSS_GUARD,-13.33,5.47,-18.0,12,18.8,HARD_EXIT,136.4,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-37.2,5.47,-37.2,35,42.67,-23.87
PRE_WINNER_EXIT_AFTER_FULL_PATH_WINNER,8,099320,쎄트렉아이,KOSDAQ,KR7099320004,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_099320_KR7099320004_KOSDAQ_01,1,2022-06-03,2022-06-07,52600.0,325.855513,WINNER_CAPABLE_GE_20,LOSS_GUARD,-17.49,1.33,-21.39,7,18.82,HARD_EXIT,14.64,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-40.59,1.33,-42.97,30,41.92,-23.1
PRE_WINNER_EXIT_AFTER_FULL_PATH_WINNER,9,064760,티씨케이,KOSDAQ,KR7064760002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_064760_KR7064760002_KOSDAQ_02,2,2024-06-14,2024-06-17,141300.0,146.638358,WINNER_CAPABLE_GE_20,LOSS_GUARD,-15.15,3.26,-17.91,26,18.41,HARD_EXIT,14.65,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-36.73,3.26,-36.73,60,39.99,-21.58
PRE_WINNER_EXIT_AFTER_FULL_PATH_WINNER,10,192400,쿠쿠홀딩스,KOSPI,KR7192400000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_192400_KR7192400000_KOSPI_01,1,2021-04-09,2021-04-12,26800.0,33.955224,WINNER_CAPABLE_GE_20,OPEN_AT_CUTOFF,4.1,33.96,-45.93,1311,29.86,SOFT_EXIT,5.41,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-16.6,7.84,-16.6,110,24.44,-20.7
PRE_WINNER_V4_STILL_LARGE_LOSS,1,166480,코아스템켐온,KOSDAQ,KR7166480004,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_166480_KR7166480004_KOSDAQ_01,1,2024-06-07,2024-06-10,11457.0,16.487737,PRE_WINNER_LT_20,LOSS_GUARD,-14.25,8.96,-17.69,37,23.21,OPEN_AT_CUTOFF,-82.59,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-68.77,16.49,-71.88,141,85.26,-54.52
PRE_WINNER_V4_STILL_LARGE_LOSS,2,007160,사조산업,KOSPI,KR7007160005,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_007160_KR7007160005_KOSPI_01,1,2024-11-01,2024-11-04,68500.0,15.328467,PRE_WINNER_LT_20,LOSS_GUARD,-26.28,15.33,-30.07,3,41.61,OPEN_AT_CUTOFF,-28.18,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-51.02,15.33,-51.02,26,66.35,-24.74
PRE_WINNER_V4_STILL_LARGE_LOSS,3,003670,포스코퓨처엠,KOSPI,KR7003670007,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_003670_KR7003670007_KOSPI_02,2,2026-05-08,2026-05-11,290000.0,0.0,PRE_WINNER_LT_20,LOSS_GUARD,-19.83,0.0,-20.34,6,19.83,OPEN_AT_CUTOFF,-46.59,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-50.38,0.0,-54.14,53,50.38,-30.55
PRE_WINNER_V4_STILL_LARGE_LOSS,4,048410,현대바이오,KOSDAQ,KR7048410005,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_048410_KR7048410005_KOSDAQ_01,1,2022-09-02,2022-09-05,18846.0,14.082564,PRE_WINNER_LT_20,LOSS_GUARD,-19.38,4.0,-23.75,9,23.38,OPEN_AT_CUTOFF,-64.71,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-49.88,4.0,-51.5,23,53.88,-30.5
PRE_WINNER_V4_STILL_LARGE_LOSS,5,137400,피엔티,KOSDAQ,KR7137400008,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_137400_KR7137400008_KOSDAQ_01,1,2024-06-07,2024-06-10,79400.0,12.720403,PRE_WINNER_LT_20,LOSS_GUARD,-15.99,12.72,-16.12,15,28.71,OPEN_AT_CUTOFF,-64.86,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-42.0,12.72,-42.13,65,54.72,-26.01
PRE_WINNER_V4_STILL_LARGE_LOSS,6,017810,풀무원,KOSPI,KR7017810003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_017810_KR7017810003_KOSPI_02,2,2024-06-14,2024-06-17,17610.0,9.710392,PRE_WINNER_LT_20,LOSS_GUARD,-17.09,2.73,-18.11,7,19.82,OPEN_AT_CUTOFF,-47.59,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-41.79,2.73,-42.08,60,44.52,-24.7
PRE_WINNER_V4_STILL_LARGE_LOSS,7,950170,JTC,KOSDAQ,KR8392080006,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_950170_KR8392080006_KOSDAQ_03,3,2025-06-27,2025-06-30,6500.0,15.692308,PRE_WINNER_LT_20,EXIT3,-39.38,15.69,-48.46,105,55.07,OPEN_AT_CUTOFF,-34.15,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-41.62,15.69,-48.46,100,57.31,-2.24
PRE_WINNER_V4_STILL_LARGE_LOSS,8,137400,피엔티,KOSDAQ,KR7137400008,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_137400_KR7137400008_KOSDAQ_02,2,2026-02-20,2026-02-23,54500.0,13.761468,PRE_WINNER_LT_20,LOSS_GUARD,-16.88,2.57,-24.77,8,19.45,OPEN_AT_CUTOFF,-48.81,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-40.73,13.76,-45.6,96,54.49,-23.85
PRE_WINNER_V4_STILL_LARGE_LOSS,9,137400,피엔티,KOSDAQ,KR7137400008,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_137400_KR7137400008_KOSDAQ_03,3,2026-04-17,2026-04-20,54100.0,14.602588,PRE_WINNER_LT_20,LOSS_GUARD,-16.73,14.6,-18.11,21,31.33,OPEN_AT_CUTOFF,-48.43,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-40.3,14.6,-45.19,57,54.9,-23.57
PRE_WINNER_V4_STILL_LARGE_LOSS,10,228670,레이,KOSDAQ,KR7228670006,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_228670_KR7228670006_KOSDAQ_01,1,2023-05-19,2023-05-22,39100.0,7.800512,PRE_WINNER_LT_20,LOSS_GUARD,-29.67,7.8,-32.1,60,37.47,OPEN_AT_CUTOFF,-88.41,PRE_WINNER_PRICE_STRUCTURE_FAILURE,-39.39,7.8,-40.28,83,47.19,-9.72
V4_TAIL_PRESERVATION_VS_V3,1,009150,삼성전기,KOSPI,KR7009150004,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_009150_KR7009150004_KOSPI_01,1,2025-08-08,2025-08-11,160700.0,1404.044804,WINNER_CAPABLE_GE_20,EXIT4,79.84,83.88,-4.29,117,4.04,SOFT_EXIT,29.43,WINNER_HARD_EXIT,690.29,1404.04,-4.29,225,713.75,610.45
V4_TAIL_PRESERVATION_VS_V3,2,095610,테스,KOSDAQ,KR7095610002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_095610_KR7095610002_KOSDAQ_03,3,2025-04-25,2025-04-28,21950.0,977.448747,WINNER_CAPABLE_GE_20,EXIT4,84.28,134.17,-8.97,145,49.89,SOFT_EXIT,14.58,WINNER_HARD_EXIT,541.46,977.45,-8.97,292,435.99,457.18
V4_TAIL_PRESERVATION_VS_V3,3,030530,원익홀딩스,KOSDAQ,KR7030530000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_030530_KR7030530000_KOSDAQ_01,1,2025-05-23,2025-05-26,5110.0,890.215264,WINNER_CAPABLE_GE_20,EXIT4,79.26,79.26,0.0,68,0.0,SOFT_EXIT,4.11,WINNER_HARD_EXIT,470.45,890.22,0.0,188,419.77,391.19
V4_TAIL_PRESERVATION_VS_V3,4,042660,한화오션,KOSPI,KR7042660001,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_042660_KR7042660001_KOSPI_03,3,2024-11-08,2024-11-11,37550.0,312.250333,WINNER_CAPABLE_GE_20,LOSS_GUARD,-17.71,9.32,-18.77,21,27.03,SOFT_EXIT,208.12,WINNER_SOFT_WATCH_EXIT,211.58,312.25,-20.51,386,100.67,229.29
V4_TAIL_PRESERVATION_VS_V3,5,030610,교보증권,KOSPI,KR7030610000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_030610_KR7030610000_KOSPI_01,1,2025-02-21,2025-02-24,6580.0,176.899696,WINNER_CAPABLE_GE_20,LOSS_GUARD,-14.89,4.26,-15.81,31,19.15,SOFT_EXIT,38.3,WINNER_HARD_EXIT,91.49,176.9,-16.41,250,85.41,106.38
V4_TAIL_PRESERVATION_VS_V3,6,042660,한화오션,KOSPI,KR7042660001,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_042660_KR7042660001_KOSPI_04,4,2025-01-03,2025-01-06,37500.0,312.8,WINNER_CAPABLE_GE_20,EXIT4,109.33,154.13,-3.2,79,44.8,SOFT_EXIT,208.53,WINNER_SOFT_WATCH_EXIT,212.0,312.8,-3.2,349,100.8,102.67
V4_TAIL_PRESERVATION_VS_V3,7,138040,메리츠금융지주,KOSPI,KR7138040001,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_138040_KR7138040001_KOSPI_01,1,2023-08-18,2023-08-21,50000.0,199.6,WINNER_CAPABLE_GE_20,EXIT4,16.8,19.6,-5.6,89,2.8,SOFT_EXIT,47.4,WINNER_SOFT_WATCH_EXIT,112.6,199.6,-5.6,665,87.0,95.8
V4_TAIL_PRESERVATION_VS_V3,8,003960,사조대림,KOSPI,KR7003960002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_003960_KR7003960002_KOSPI_01,1,2024-02-02,2024-02-05,35400.0,210.451977,WINNER_CAPABLE_GE_20,EXIT3,10.17,210.45,-6.21,239,200.28,SOFT_EXIT,19.63,WINNER_HARD_EXIT,98.59,210.45,-6.21,117,111.86,88.42
V4_TAIL_PRESERVATION_VS_V3,9,397030,에이프릴바이오,KOSDAQ,KR7397030008,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_397030_KR7397030008_KOSDAQ_01,1,2025-08-29,2025-09-01,23500.0,226.382979,WINNER_CAPABLE_GE_20,EXIT3,-6.81,226.38,-17.57,224,233.19,SOFT_EXIT,19.15,WINNER_HARD_EXIT,74.47,226.38,-3.4,186,151.91,81.28
V4_TAIL_PRESERVATION_VS_V3,10,006260,LS,KOSPI,KR7006260004,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_006260_KR7006260004_KOSPI_01,1,2022-06-03,2022-06-07,68500.0,781.751825,WINNER_CAPABLE_GE_20,LOSS_GUARD,-21.46,0.88,-22.77,23,22.34,SOFT_EXIT,30.8,WINNER_HARD_EXIT,55.47,120.88,-27.01,302,65.41,76.93
V4_SOFT_STILL_DAMAGES_WINNER,1,084370,유진테크,KOSDAQ,KR7084370006,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_084370_KR7084370006_KOSDAQ_01,1,2023-09-08,2023-09-11,36650.0,531.65075,WINNER_CAPABLE_GE_20,EXIT4,182.4,228.79,-17.33,581,46.39,SOFT_EXIT,9.14,WINNER_SOFT_WATCH_EXIT,15.96,30.29,-2.86,83,14.33,-166.44
