ticker,name,market,trade_id,trade_sequence,entry_signal_date,entry_execution_date,entry_open,entry_pattern_a_stage,fast_stage,monthly_regime,daily_risk,fast_score,fast_score_state,previous_exit_type,previous_exit_execution_date,loss_guard_triggered,loss_guard_signal_date,loss_guard_execution_date,loss_guard_execution_price,first_progressed_date,first_progressed_effective_trading_date,lifecycle_class,exit_type,exit_signal_date,exit_execution_date,exit_price,terminal_return,mfe,mae,peak_giveback,profit_capture,holding_weeks,trade_status,pair_id,isu_cd,identity_effective_from,identity_effective_to,strategy_id,holding_days,candidate_action,weak_protect_eod_events,post_progressed_neg40_touch_eod_events,soft_signal_return,incremental_soft_exit,execution_support_missing,stage_asof_date_at_signal,repository_v2_last_actual_date,terminal_valuation_date,terminal_valuation_price,terminal_valuation_source,terminal_valuation_at_cutoff,lifecycle_state,lifecycle_evidence_id,settlement_date,settlement_price,settlement_type,settlement_source,terminal_reason,successor_ticker,successor_isu_cd,successor_quantity,successor_valuation_price,fractional_cash,successor_valuation_basis,lifecycle_event_type,lifecycle_source_isu_cd,lifecycle_unresolved_reason,lifecycle_certification_class
000430,000430,KOSPI,000430_01,1,2023-05-12,2023-05-15,4795.0,TRANSITION,TRIGGER,PERMITTED_REGIME,ELEVATED,72.74,READY,,,False,,,,2023-08-31,2023-08-31,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2023-10-31,2023-11-01,5200.0,8.45,74.56,-15.75,66.11,0.1133,23.0,REALIZED,000430|KR7000430009|KOSPI|2010-01-04|2026-08-21|000430_01,KR7000430009,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,115,CONTROL_EXIT,0,0,,False,False,2023-10-31,2025-06-02,,,,,,,,,,,,,,,,,,,,,
000480,000480,KOSPI,000480_01,1,2023-03-31,2023-04-03,9410.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,81.55,READY,,,True,2023-09-11,2023-09-12,7860.0,,,NEVER_PROGRESSED,LOSS_GUARD_CLOSE_LE_NEG_15,2023-09-11,2023-09-12,7860.0,-16.47,155.58,-16.68,172.05,-0.1059,17.2,REALIZED,000480|KR7000480004|KOSPI|2010-01-04|2026-08-21|000480_01,KR7000480004,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,86,CONTROL_EXIT,0,0,,False,False,,2025-06-02,,,,,,,,,,,,,,,,,,,,,
000490,000490,KOSPI,000490_01,1,2025-02-14,2025-02-17,13280.0,TRANSITION,TRIGGER,PERMITTED_REGIME,ELEVATED,71.97,READY,,,True,2025-03-21,2025-03-24,11010.0,,,NEVER_PROGRESSED,LOSS_GUARD_CLOSE_LE_NEG_15,2025-03-21,2025-03-24,11010.0,-17.09,4.22,-17.24,21.31,-4.0498,5.0,REALIZED,000490|KR7000490003|KOSPI|2010-01-04|2026-08-21|000490_01,KR7000490003,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,25,CONTROL_EXIT,0,0,,False,False,,2025-06-02,,,,,,,,,,,,,,,,,,,,,
000500,000500,KOSPI,000500_01,1,2024-01-26,2024-01-29,13780.0,TRANSITION,TRIGGER,PERMITTED_REGIME,ELEVATED,72.74,READY,,,False,,,,2024-04-30,2024-04-30,SKIPPED_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2024-05-31,2024-06-03,29451.0,113.72,200.42,-12.5,86.7,0.5674,16.8,REALIZED,000500|KR7000500009|KOSPI|2010-01-04|2026-08-21|000500_01,KR7000500009,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,84,CONTROL_EXIT,0,0,,False,False,2024-05-31,2025-06-02,,,,,,,,,,,,,,,,,,,,,
000520,000520,KOSPI,000520_01,1,2024-03-22,2024-03-25,10650.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,75.49,READY,,,True,2024-05-03,2024-05-07,9010.0,2024-10-31,2024-10-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2024-05-03,2024-05-07,9010.0,-15.4,18.78,-15.49,34.18,-0.82,5.8,REALIZED,000520|KR7000520007|KOSPI|2010-01-04|2026-08-21|000520_01,KR7000520007,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,29,CONTROL_EXIT,0,0,,False,False,2024-04-30,2025-06-02,,,,,,,,,,,,,,,,,,,,,
000590,000590,KOSPI,000590_01,1,2022-03-25,2022-03-28,71300.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,79.3,READY,,,True,2022-06-20,2022-06-21,58200.0,,,NEVER_PROGRESSED,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-20,2022-06-21,58200.0,-18.37,5.89,-20.76,24.26,-3.1188,11.8,REALIZED,000590|KR7000590000|KOSPI|2010-01-04|2026-08-21|000590_01,KR7000590000,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,59,CONTROL_EXIT,0,0,,False,False,,2025-06-02,,,,,,,,,,,,,,,,,,,,,
000590,000590,KOSPI,000590_02,2,2024-02-02,2024-02-05,68000.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,79.3,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-21,False,,,,,,NEVER_PROGRESSED,NO_PROGRESSED_BEFORE_CUTOFF,,,,21.91,29.41,-8.82,7.5,0.745,63.8,OPEN_AT_CUTOFF,000590|KR7000590000|KOSPI|2010-01-04|2026-08-21|000590_02,KR7000590000,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,319,CONTROL_PRESERVED,0,0,,False,False,,2025-06-02,2025-05-30,82900.0,RepositoryV2DailyLoader.close,True,,,,,,,,,,,,,,,,,
000640,000640,KOSPI,000640_01,1,2023-09-22,2023-09-25,90761.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,72.1,READY,,,False,,,,,,NEVER_PROGRESSED,NO_PROGRESSED_BEFORE_CUTOFF,,,,19.74,33.57,-7.69,13.83,0.588,81.2,OPEN_AT_CUTOFF,000640|KR7000640003|KOSPI|2010-01-04|2026-08-21|000640_01,KR7000640003,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,406,CONTROL_PRESERVED,0,0,,False,False,,2025-06-02,2025-05-30,108679.0,RepositoryV2DailyLoader.close,True,,,,,,,,,,,,,,,,,
000660,000660,KOSPI,000660_01,1,2022-03-04,2022-03-07,119000.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,73.04,READY,,,True,2022-06-13,2022-06-14,96900.0,2024-03-31,2024-03-29,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-13,2022-06-14,96900.0,-18.57,5.04,-18.57,23.61,-3.6845,13.6,REALIZED,000660|KR7000660001|KOSPI|2010-01-04|2026-08-21|000660_01,KR7000660001,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,68,CONTROL_EXIT,0,0,,False,False,2022-05-31,2025-06-02,,,,,,,,,,,,,,,,,,,,,
000660,000660,KOSPI,000660_02,2,2023-06-02,2023-06-05,110100.0,TRANSITION,TRIGGER,PERMITTED_REGIME,ELEVATED,75.74,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-14,False,,,,2024-03-31,2024-03-29,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2024-04-30,2024-05-02,169000.0,53.5,73.84,-3.09,20.34,0.7245,44.8,REALIZED,000660|KR7000660001|KOSPI|2010-01-04|2026-08-21|000660_02,KR7000660001,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,224,CONTROL_EXIT,0,0,,False,False,2024-04-30,2025-06-02,,,,,,,,,,,,,,,,,,,,,
