trade_id,pair_id,ticker,identity,entry_date,entry_signal_date,entry_open,control_exit_or_cutoff_date,control_exit_reason,control_terminal_return,control_holding_days,control_open_at_cutoff,candidate_exit_or_cutoff_date,candidate_exit_reason,candidate_terminal_return,candidate_holding_days,candidate_open_at_cutoff,candidate_soft_exit,paired_delta,control_trade_status,candidate_trade_status,candidate_action,control_source_isu_cd,control_lifecycle_event_type,control_unresolved_reason,control_lifecycle_evidence_id,control_terminal_reason,control_lifecycle_state,control_certification_class,control_settlement_date,control_settlement_price,control_settlement_type,control_settlement_source,candidate_terminal_reason,candidate_lifecycle_state,candidate_certification_class,pair_certification_class,candidate_settlement_date,candidate_settlement_price,candidate_settlement_type,candidate_settlement_source,candidate_source_isu_cd,candidate_lifecycle_event_type,candidate_unresolved_reason,candidate_lifecycle_evidence_id,trade_status,terminal_reason
000430_01,000430|KR7000430009|KOSPI|2010-01-04|2026-08-21|000430_01,000430,KR7000430009|KOSPI|2010-01-04|2026-08-21,2023-05-15,2023-05-12,4795.00000000,2023-11-01,nan,8.45000000,115,False,2023-11-01,nan,8.45000000,115,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000430009,,,,,,,,,,,,,,,,,,,KR7000430009,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000480_01,000480|KR7000480004|KOSPI|2010-01-04|2026-08-21|000480_01,000480,KR7000480004|KOSPI|2010-01-04|2026-08-21,2023-04-03,2023-03-31,9410.00000000,2023-09-12,nan,-16.47000000,86,False,2023-09-12,nan,-16.47000000,86,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000480004,,,,,,,,,,,,,,,,,,,KR7000480004,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000490_01,000490|KR7000490003|KOSPI|2010-01-04|2026-08-21|000490_01,000490,KR7000490003|KOSPI|2010-01-04|2026-08-21,2025-02-17,2025-02-14,13280.00000000,2025-03-24,nan,-17.09000000,25,False,2025-03-24,nan,-17.09000000,25,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000490003,,,,,,,,,,,,,,,,,,,KR7000490003,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000500_01,000500|KR7000500009|KOSPI|2010-01-04|2026-08-21|000500_01,000500,KR7000500009|KOSPI|2010-01-04|2026-08-21,2024-01-29,2024-01-26,13780.00000000,2024-06-03,nan,113.72000000,84,False,2024-06-03,nan,113.72000000,84,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000500009,,,,,,,,,,,,,,,,,,,KR7000500009,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000520_01,000520|KR7000520007|KOSPI|2010-01-04|2026-08-21|000520_01,000520,KR7000520007|KOSPI|2010-01-04|2026-08-21,2024-03-25,2024-03-22,10650.00000000,2024-05-07,nan,-15.40000000,29,False,2024-05-07,nan,-15.40000000,29,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000520007,,,,,,,,,,,,,,,,,,,KR7000520007,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000590_01,000590|KR7000590000|KOSPI|2010-01-04|2026-08-21|000590_01,000590,KR7000590000|KOSPI|2010-01-04|2026-08-21,2022-03-28,2022-03-25,71300.00000000,2022-06-21,nan,-18.37000000,59,False,2022-06-21,nan,-18.37000000,59,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000590000,,,,,,,,,,,,,,,,,,,KR7000590000,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000590_02,000590|KR7000590000|KOSPI|2010-01-04|2026-08-21|000590_02,000590,KR7000590000|KOSPI|2010-01-04|2026-08-21,2024-02-05,2024-02-02,68000.00000000,2025-05-30,nan,21.91000000,319,True,2025-05-30,nan,21.91000000,319,True,False,0.00000000,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,CONTROL_PRESERVED,KR7000590000,,,,,,,,,,,,,,,,,,,KR7000590000,,,,CONTROL=OPEN_AT_CUTOFF;CANDIDATE=OPEN_AT_CUTOFF,CONTROL=nan;CANDIDATE=nan
000640_01,000640|KR7000640003|KOSPI|2010-01-04|2026-08-21|000640_01,000640,KR7000640003|KOSPI|2010-01-04|2026-08-21,2023-09-25,2023-09-22,90761.00000000,2025-05-30,nan,19.74000000,406,True,2025-05-30,nan,19.74000000,406,True,False,0.00000000,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,CONTROL_PRESERVED,KR7000640003,,,,,,,,,,,,,,,,,,,KR7000640003,,,,CONTROL=OPEN_AT_CUTOFF;CANDIDATE=OPEN_AT_CUTOFF,CONTROL=nan;CANDIDATE=nan
000660_01,000660|KR7000660001|KOSPI|2010-01-04|2026-08-21|000660_01,000660,KR7000660001|KOSPI|2010-01-04|2026-08-21,2022-03-07,2022-03-04,119000.00000000,2022-06-14,nan,-18.57000000,68,False,2022-06-14,nan,-18.57000000,68,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000660001,,,,,,,,,,,,,,,,,,,KR7000660001,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000660_02,000660|KR7000660001|KOSPI|2010-01-04|2026-08-21|000660_02,000660,KR7000660001|KOSPI|2010-01-04|2026-08-21,2023-06-05,2023-06-02,110100.00000000,2024-05-02,nan,53.50000000,224,False,2024-05-02,nan,53.50000000,224,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000660001,,,,,,,,,,,,,,,,,,,KR7000660001,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
