stage,feature_name,count,missing,min,p25,median,p75,max,mean
base,distance_to_resistance_5y,7,0,0.2037,0.2743,0.4995,0.6688,1.6913,0.6115
base,range_position_5y,7,0,0.0683,0.2619,0.3885,0.6311,0.6984,0.4202
base,resistance_touch_count_5y,7,0,1.0,2.0,4.0,4.5,8.0,3.7143
base,years_since_5y_high,7,0,1.17,2.375,2.75,4.17,4.91,3.1314
base,drawdown_from_5y_high,7,0,0.1692,0.2151,0.3331,0.3977,0.6284,0.3366
base,prior_expansion_ratio_5y,7,0,2.0511,2.2035,2.2783,2.4917,3.0724,2.3989
base,base_duration_months_5y,7,0,14.0,16.5,19.0,27.0,44.0,23.4286
base,months_since_5y_low,7,0,29.0,43.0,43.0,44.5,49.0,42.2857
base,range_width_5y,7,0,1.0511,1.2035,1.2783,1.4917,2.0724,1.3989
early_trend,distance_to_resistance_5y,7,0,0.124,0.1534,0.2185,0.2915,0.365,0.2282
early_trend,range_position_5y,7,0,0.638,0.6968,0.776,0.8115,0.8473,0.754
early_trend,resistance_touch_count_5y,7,0,1.0,1.5,3.0,3.5,6.0,2.8571
early_trend,years_since_5y_high,7,0,0.0,0.415,2.42,2.835,4.75,1.9529
early_trend,drawdown_from_5y_high,7,0,0.1103,0.1326,0.1793,0.2251,0.2674,0.1818
early_trend,prior_expansion_ratio_5y,7,0,2.6543,3.3957,3.9789,4.5425,5.6798,4.0271
early_trend,base_duration_months_5y,7,0,13.0,19.0,22.0,31.5,32.0,24.0
early_trend,months_since_5y_low,7,0,15.0,36.0,45.0,47.0,58.0,40.5714
early_trend,range_width_5y,7,0,1.6543,2.3957,2.9789,3.5425,4.6798,3.0271
progressed,distance_to_resistance_5y,7,0,0.0275,0.0651,0.0749,0.2633,1.0575,0.2595
progressed,range_position_5y,7,0,0.483,0.7721,0.9219,0.9343,0.9633,0.8258
progressed,resistance_touch_count_5y,7,0,1.0,1.0,1.0,1.0,1.0,1.0
progressed,years_since_5y_high,7,0,0.0,0.0,0.0,0.0,0.33,0.0471
progressed,drawdown_from_5y_high,7,0,0.0267,0.0611,0.0697,0.2083,0.514,0.1642
progressed,prior_expansion_ratio_5y,7,0,3.693,7.7705,12.4653,94.9515,172.5469,56.307
progressed,base_duration_months_5y,7,0,39.0,53.0,54.0,55.5,58.0,52.5714
progressed,months_since_5y_low,7,0,39.0,40.0,44.0,52.0,58.0,46.4286
progressed,range_width_5y,7,0,2.693,6.7705,11.4653,93.9515,171.5469,55.307
transition,distance_to_resistance_5y,7,0,0.1716,0.2542,0.3835,0.405,0.4464,0.3314
transition,range_position_5y,7,0,0.5315,0.5561,0.6247,0.7251,0.7989,0.6454
transition,resistance_touch_count_5y,7,0,1.0,2.0,3.0,4.0,8.0,3.4286
transition,years_since_5y_high,7,0,0.17,1.79,2.17,3.625,4.67,2.5486
transition,drawdown_from_5y_high,7,0,0.1465,0.1995,0.2772,0.2881,0.3086,0.2439
transition,prior_expansion_ratio_5y,7,0,2.1968,2.7924,3.0803,3.7527,10.5013,4.1241
transition,base_duration_months_5y,7,0,12.0,19.0,22.0,27.5,38.0,23.5714
transition,months_since_5y_low,7,0,12.0,35.0,46.0,54.5,59.0,42.2857
transition,range_width_5y,7,0,1.1968,1.7924,2.0803,2.7527,9.5013,3.1241
weak,distance_to_resistance_5y,7,0,0.8251,1.3145,1.7434,2.3139,3.2712,1.8709
weak,range_position_5y,7,0,0.0061,0.0369,0.1814,0.2197,0.3454,0.1495
weak,resistance_touch_count_5y,7,0,2.0,2.0,2.0,3.0,6.0,2.8571
weak,years_since_5y_high,7,0,1.25,2.13,3.24,3.745,4.58,2.9743
weak,drawdown_from_5y_high,7,0,0.4521,0.5671,0.6355,0.6925,0.7659,0.6247
weak,prior_expansion_ratio_5y,7,0,2.4027,3.5446,3.9108,4.4148,6.4686,4.1001
weak,base_duration_months_5y,7,0,17.0,21.5,22.0,29.5,35.0,25.1429
weak,months_since_5y_low,7,0,0.0,0.0,32.0,48.0,49.0,25.2857
weak,range_width_5y,7,0,1.4027,2.5446,2.9108,3.4148,5.4686,3.1001
