run,path,category,bytes,sha256,git_tracked,in_origin_main,modified_vs_head,over_size_limit
SIMPLE_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260925_corrective_full_recert_v02/paired_trades.csv,paired_identity_audit,1651781,319489b0b636ceb9744d5c5e52a42531b9501b5b942ebc5a776702dc858b9aaf,False,False,False,False
SIMPLE_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260925_corrective_full_recert_v02/raw_only_lifecycle_closure_v01/candidate_trades.csv,candidate_ledger,1032201,50483236c276e8b6f07d8f9080bca47c1d81acd7db65d0ce61dbce6011bdf08c,True,True,False,False
SIMPLE_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260925_corrective_full_recert_v02/raw_only_lifecycle_closure_v01/control_trades.csv,control_ledger,908451,47d49cfba42bb7d3f278f81227671f68ab7dc96a34b42a3976f591c2c5a8c790,True,True,False,False
SIMPLE_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260925_corrective_full_recert_v02/raw_only_lifecycle_closure_v01/p2_1_matched_trades.csv,paired_identity_audit,587356,b36fc857488e3ac60871095d92afe6930eac9a8bd72f42814df3b3f9ba6a8865,True,True,False,False
SIMPLE_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260925_corrective_full_recert_v02/raw_only_lifecycle_closure_v01/p2_1_raw_only_certification_v01.json,certification,15004,2396c78b6f7c612d4fbbe6827c71cd0eb9f9ce543d542a7176ad02139af6481b,True,True,False,False
SIMPLE_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260925_corrective_full_recert_v02/raw_only_lifecycle_closure_v01/paired_trades.csv,paired_identity_audit,1836230,beba51408087e2ed12643cb3476aca512dd9671d069e6e7e0cf2a55c442c3a50,True,True,False,False
SIMPLE_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260925_corrective_full_recert_v02/raw_only_lifecycle_closure_v01/run_manifest.json,manifest,731,eecdd234057a86d01a61f240f24a4e6840083c7d20583c00f13107e75e151c9a,True,True,False,False
SIMPLE_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260925_corrective_full_recert_v02/raw_only_lifecycle_closure_v01/summary.json,summary,24550,913a55dc81bbf628ed3214684010877dc4010a9c8bed7857c6996330066206e6,True,True,False,False
SIMPLE_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260925_corrective_full_recert_v02/run_manifest.json,manifest,1027,d8490fa9bf1628042519d2b8abde016f699f4f1874580b64a2691c96ea0b7a86,False,False,False,False
SIMPLE_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260925_corrective_full_recert_v02/run_metadata.json,manifest,5243,c432c81aad00426f8b30b7b3fcfe42650b6626e5231a6391c6fb0f28706a4d0b,False,False,False,False
