ticker,population_class,currently_common,historical_only,alpha_ticker,control_category,selection_reason,authority_source_path,authority_identity_hash_or_reference,listing_start,listing_end
008800,HISTORICAL_ONLY,False,True,False,HISTORICAL_ONLY_DELISTED,AUTHORITY_DERIVED_HISTORICAL_ONLY_008800,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/historical_common_population_v01.json,survivorship_safe_denominator_freeze_v01.json,2010-01-04,2021-06-04
009010,HISTORICAL_ONLY,False,True,False,HISTORICAL_ONLY_DELISTED,AUTHORITY_DERIVED_HISTORICAL_ONLY_009010,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/historical_common_population_v01.json,survivorship_safe_denominator_freeze_v01.json,2010-01-04,2013-04-30
010670,HISTORICAL_ONLY,False,True,False,HISTORICAL_ONLY_DELISTED,AUTHORITY_DERIVED_HISTORICAL_ONLY_010670,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/historical_common_population_v01.json,survivorship_safe_denominator_freeze_v01.json,2010-01-04,2014-04-10
012650,HISTORICAL_ONLY,False,True,False,HISTORICAL_ONLY_DELISTED,AUTHORITY_DERIVED_HISTORICAL_ONLY_012650,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/historical_common_population_v01.json,survivorship_safe_denominator_freeze_v01.json,2010-01-04,2014-04-10
0001A0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0001A0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2026-01-30,2026-08-21
0004V0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0004V0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2026-01-14,2026-08-21
0007C0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0007C0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2025-12-16,2026-08-21
0007J0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0007J0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2026-04-02,2026-08-21
0008Z0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0008Z0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2025-08-19,2026-08-21
0009K0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0009K0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2025-12-04,2026-08-21
0010F0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0010F0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2026-04-03,2026-08-21
0010V0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0010V0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2025-08-21,2026-08-21
0011A0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0011A0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2026-03-09,2026-08-21
0011T0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0011T0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2026-04-29,2026-08-21
0013V0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0013V0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2025-12-22,2026-08-21
0015G0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0015G0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2025-11-17,2026-08-21
0015N0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0015N0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2025-11-27,2026-08-21
