ticker,control_category,comparison_window_start,comparison_window_end,candidate_rows,pykrx_rows,overlap_rows,open_mismatch_count,high_mismatch_count,low_mismatch_count,close_mismatch_count,parity_status,pykrx_error_type,pykrx_error_message
035720,CORPORATE_ACTION_CONTROL,2021-01-04,2021-12-30,248,248,248,0,0,0,0,MATCH,,
003670,CORPORATE_ACTION_CONTROL,2020-06-01,2021-06-30,270,270,270,0,0,0,0,MATCH,,
028260,CORPORATE_ACTION_CONTROL,2015-01-02,2016-12-30,494,494,494,0,0,0,0,MATCH,,
000100,CORPORATE_ACTION_CONTROL,2020-01-02,2021-12-30,496,496,496,0,0,0,0,MATCH,,
004020,CORPORATE_ACTION_CONTROL,2015-01-02,2015-12-30,248,248,248,0,0,0,0,MATCH,,
010130,CORPORATE_ACTION_CONTROL,2022-01-03,2023-12-28,491,491,491,0,0,0,0,MATCH,,
000610,EXISTING_EMPTY_CONTROL,2018-01-02,2019-12-30,0,0,0,0,0,0,0,NOT_APPLICABLE,,
015940,EXISTING_EMPTY_CONTROL,2018-01-02,2019-12-30,0,0,0,0,0,0,0,NOT_APPLICABLE,,
037510,EXISTING_EMPTY_CONTROL,2018-01-02,2019-12-30,0,0,0,0,0,0,0,NOT_APPLICABLE,,
045820,EXISTING_EMPTY_CONTROL,2018-01-02,2019-12-30,0,0,0,0,0,0,0,NOT_APPLICABLE,,
000810,EXISTING_OHLC_ANOMALY_CONTROL,2018-01-02,2019-12-30,490,490,490,0,0,0,0,MATCH,,
001040,EXISTING_OHLC_ANOMALY_CONTROL,2018-01-02,2019-12-30,490,490,490,0,0,0,0,MATCH,,
001740,EXISTING_OHLC_ANOMALY_CONTROL,2018-01-02,2019-12-30,490,490,490,0,0,0,0,MATCH,,
002790,EXISTING_OHLC_ANOMALY_CONTROL,2018-01-02,2019-12-30,490,490,490,0,0,0,0,MATCH,,
003540,EXISTING_OHLC_ANOMALY_CONTROL,2018-01-02,2019-12-30,490,490,490,0,0,0,0,MATCH,,
000500,EXISTING_OHLC_ANOMALY_CONTROL,2018-01-02,2019-12-30,490,490,490,0,0,0,0,MATCH,,
000970,EXISTING_OHLC_ANOMALY_CONTROL,2018-01-02,2019-12-30,490,490,490,0,0,0,0,MATCH,,
001250,EXISTING_OHLC_ANOMALY_CONTROL,2018-01-02,2019-12-30,490,490,490,0,0,0,0,MATCH,,
001380,EXISTING_OHLC_ANOMALY_CONTROL,2018-01-02,2019-12-30,490,490,490,0,0,0,0,MATCH,,
001420,EXISTING_OHLC_ANOMALY_CONTROL,2018-01-02,2019-12-30,490,490,490,0,0,0,0,MATCH,,
030990,KNOWN_UNSUPPORTED_CONTROL,2018-01-02,2019-12-30,0,0,0,0,0,0,0,NOT_APPLICABLE,,
