ticker,control_category,population_class,expected_count,candidate_count,missing_expected_count,raw_unexpected_count,reconciled_unexpected_count,unreconciled_unexpected_count,first_expected_date,last_expected_date,first_candidate_date,last_candidate_date,pre_listing_rows,post_delisting_rows,future_rows,coverage_status,error_detail
0007J0,ALPHA_23_FULL_SET,ALPHA_TICKER,96,96,0,0,0,0,2026-04-02,2026-08-21,2026-04-02,2026-08-21,0,0,0,COVERAGE_VALID,
0008Z0,ALPHA_23_FULL_SET,ALPHA_TICKER,246,246,0,0,0,0,2025-08-19,2026-08-21,2025-08-19,2026-08-21,0,0,0,COVERAGE_VALID,
0009K0,ALPHA_23_FULL_SET,ALPHA_TICKER,174,174,0,0,0,0,2025-12-04,2026-08-21,2025-12-04,2026-08-21,0,0,0,COVERAGE_VALID,
0010F0,ALPHA_23_FULL_SET,ALPHA_TICKER,95,95,0,0,0,0,2026-04-03,2026-08-21,2026-04-03,2026-08-21,0,0,0,COVERAGE_VALID,
0010V0,ALPHA_23_FULL_SET,ALPHA_TICKER,244,244,0,0,0,0,2025-08-21,2026-08-21,2025-08-21,2026-08-21,0,0,0,COVERAGE_VALID,
0011A0,ALPHA_23_FULL_SET,ALPHA_TICKER,114,114,0,0,0,0,2026-03-09,2026-08-21,2026-03-09,2026-08-21,0,0,0,COVERAGE_VALID,
0011T0,ALPHA_23_FULL_SET,ALPHA_TICKER,77,77,0,0,0,0,2026-04-29,2026-08-21,2026-04-29,2026-08-21,0,0,0,COVERAGE_VALID,
0013V0,ALPHA_23_FULL_SET,ALPHA_TICKER,162,162,0,0,0,0,2025-12-22,2026-08-21,2025-12-22,2026-08-21,0,0,0,COVERAGE_VALID,
0015G0,ALPHA_23_FULL_SET,ALPHA_TICKER,187,187,0,0,0,0,2025-11-17,2026-08-21,2025-11-17,2026-08-21,0,0,0,COVERAGE_VALID,
0015N0,ALPHA_23_FULL_SET,ALPHA_TICKER,179,179,0,0,0,0,2025-11-27,2026-08-21,2025-11-27,2026-08-21,0,0,0,COVERAGE_VALID,
0015S0,ALPHA_23_FULL_SET,ALPHA_TICKER,170,170,0,0,0,0,2025-12-10,2026-08-21,2025-12-10,2026-08-21,0,0,0,COVERAGE_VALID,
0017J0,ALPHA_23_FULL_SET,ALPHA_TICKER,51,51,0,0,0,0,2026-06-10,2026-08-21,2026-06-10,2026-08-21,0,0,0,COVERAGE_VALID,
0039P0,ALPHA_23_FULL_SET,ALPHA_TICKER,36,36,0,0,0,0,2026-07-01,2026-08-21,2026-07-01,2026-08-21,0,0,0,COVERAGE_VALID,
0082N0,ALPHA_23_FULL_SET,ALPHA_TICKER,109,109,0,0,0,0,2026-03-16,2026-08-21,2026-03-16,2026-08-21,0,0,0,COVERAGE_VALID,
0088M0,ALPHA_23_FULL_SET,ALPHA_TICKER,101,101,0,0,0,0,2026-03-26,2026-08-21,2026-03-26,2026-08-21,0,0,0,COVERAGE_VALID,
0117P0,ALPHA_23_FULL_SET,ALPHA_TICKER,53,53,0,0,0,0,2026-06-08,2026-08-21,2026-06-08,2026-08-21,0,0,0,COVERAGE_VALID,
0156T0,ALPHA_23_FULL_SET,ALPHA_TICKER,20,20,0,0,0,0,2026-07-24,2026-08-21,2026-07-24,2026-08-21,0,0,0,COVERAGE_VALID,
