ticker,horizon,legacy_sector_code,canonical_sector_code,legacy_rs,canonical_rs,rs_delta,status
000370,3m,1021,1025,0.07808820821337781,0.017143488083526393,-0.060944720129851415,COMPUTED_LOCAL
000370,6m,1021,1025,-0.09296228756865466,-0.1881597476912834,-0.09519746012262875,COMPUTED_LOCAL
000370,12m,1021,1025,-0.3193790595360977,-0.3413752909626434,-0.02199623142654572,COMPUTED_LOCAL
001200,3m,1021,1024,-0.23518537005536477,0.11626590406620929,0.35145127412157406,COMPUTED_LOCAL
001200,6m,1021,1024,-0.11717509145824312,0.24340834113273657,0.3605834325909797,COMPUTED_LOCAL
001200,12m,1021,1024,-0.20801387029736318,-0.10575901550682543,0.10225485479053775,COMPUTED_LOCAL
000020,3m,1009,1009,-0.14625132714716682,-0.14625132714716682,0.0,COMPUTED_LOCAL
000020,6m,1009,1009,-0.039150157853011125,-0.039150157853011125,0.0,COMPUTED_LOCAL
000020,12m,1009,1009,-0.2247612077664617,-0.2247612077664617,0.0,COMPUTED_LOCAL
000660,3m,1013,1013,-0.05013852529434626,-0.05013852529434626,0.0,COMPUTED_LOCAL
000660,6m,1013,1013,0.1251814108805942,0.1251814108805942,0.0,COMPUTED_LOCAL
000660,12m,1013,1013,0.6154086837329755,0.6154086837329755,0.0,COMPUTED_LOCAL
005290,3m,,2065,,-0.02218573238227628,,CANONICAL_ONLY_OR_MISSING_LEGACY
005290,6m,,2065,,0.11991011839405075,,CANONICAL_ONLY_OR_MISSING_LEGACY
005290,12m,,2065,,0.43395308100982466,,CANONICAL_ONLY_OR_MISSING_LEGACY
005930,3m,1013,1013,0.054899861104910075,0.054899861104910075,0.0,COMPUTED_LOCAL
005930,6m,1013,1013,-0.006751831475407255,-0.006751831475407255,0.0,COMPUTED_LOCAL
005930,12m,1013,1013,0.00939080373434975,0.00939080373434975,0.0,COMPUTED_LOCAL
