ticker,status,first_date,last_date,row_count,null_count,duplicate_date_count,ordered,raw_fields_present,session_exact
0115D0,PASS,2025-10-28,2026-08-21,201,0,0,true,true,true
069500,PASS,2023-01-02,2026-08-21,887,0,0,true,true,true
091160,PASS,2023-01-02,2026-08-21,882,0,0,true,true,true
091170,PASS,2023-01-02,2026-08-21,887,0,0,true,true,true
091180,PASS,2023-01-02,2026-08-21,887,0,0,true,true,true
102960,PASS,2023-01-02,2026-08-21,877,0,0,true,true,true
102970,PASS,2023-01-02,2026-08-21,887,0,0,true,true,true
117460,PASS,2023-01-02,2026-08-21,887,0,0,true,true,true
117680,PASS,2023-01-02,2026-08-21,887,0,0,true,true,true
117700,PASS,2023-01-02,2026-08-21,887,0,0,true,true,true
140700,PASS,2023-01-02,2026-08-21,887,0,0,true,true,true
140710,PASS,2023-01-02,2026-08-21,887,0,0,true,true,true
229200,PASS,2023-01-02,2026-08-21,884,0,0,true,true,true
244580,PASS,2023-01-02,2026-08-21,885,0,0,true,true,true
266410,PASS,2023-01-02,2026-08-21,887,0,0,true,true,true
300950,PASS,2023-01-02,2026-08-21,878,0,0,true,true,true
305720,PASS,2023-01-02,2026-08-21,880,0,0,true,true,true
