horizon,sessions,formula,exact_anchor,production_parity
3m,63,((1+stock_return)/(1+sector_return))-1,PASS,BLOCKED_MAPPING_AUTHORITY
6m,126,((1+stock_return)/(1+sector_return))-1,PASS,BLOCKED_MAPPING_AUTHORITY
12m,252,((1+stock_return)/(1+sector_return))-1,PASS,BLOCKED_MAPPING_AUTHORITY
