ticker,market,canonical_sector_code,canonical_sector_name,classification,sector_code,sector_name,comparison,reason
000250,KOSDAQ,2066,제약,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
000440,KOSDAQ,2027,유통,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
001000,KOSDAQ,,,,,,UNMAPPED_BOTH,no_native_membership
001540,KOSDAQ,2066,제약,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
001810,KOSDAQ,2062,종이·목재,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
001840,KOSDAQ,2026,건설,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
002230,KOSDAQ,2074,의료·정밀기기,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
002290,KOSDAQ,2026,건설,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
002680,KOSDAQ,2056,음식료·담배,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
002800,KOSDAQ,2066,제약,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
003100,KOSDAQ,2029,운송·창고,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
003310,KOSDAQ,2056,음식료·담배,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
003380,KOSDAQ,2031,금융,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
003800,KOSDAQ,2077,기타제조,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
004590,KOSDAQ,2027,유통,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
004650,KOSDAQ,2056,음식료·담배,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
004780,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
005160,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
005290,KOSDAQ,2065,화학,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
005670,KOSDAQ,2056,음식료·담배,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
005710,KOSDAQ,2075,운송장비·부품,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
005860,KOSDAQ,2056,음식료·담배,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
005990,KOSDAQ,2056,음식료·담배,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
006050,KOSDAQ,2067,비금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
006140,KOSDAQ,2074,의료·정밀기기,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
006620,KOSDAQ,2066,제약,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
006730,KOSDAQ,2012,일반서비스,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
006910,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
006920,KOSDAQ,2067,비금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
007330,KOSDAQ,2031,금융,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
007370,KOSDAQ,2066,제약,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
007390,KOSDAQ,2066,제약,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
007530,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
007680,KOSDAQ,2026,건설,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
007720,KOSDAQ,2027,유통,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
007770,KOSDAQ,2065,화학,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
007820,KOSDAQ,2070,기계·장비,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
008290,KOSDAQ,2058,섬유·의류,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
008370,KOSDAQ,2065,화학,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
008470,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
008830,KOSDAQ,2070,기계·장비,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
009300,KOSDAQ,2066,제약,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
009520,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
009620,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
009730,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
009780,KOSDAQ,2056,음식료·담배,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
010170,KOSDAQ,2072,전기전자,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
010240,KOSDAQ,2070,기계·장비,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
010280,KOSDAQ,2118,IT 서비스,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
010470,KOSDAQ,2012,일반서비스,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
011040,KOSDAQ,2066,제약,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
011080,KOSDAQ,2058,섬유·의류,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
011320,KOSDAQ,2075,운송장비·부품,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
011370,KOSDAQ,2026,건설,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
011560,KOSDAQ,2026,건설,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
012210,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
012340,KOSDAQ,2075,운송장비·부품,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
012620,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
012700,KOSDAQ,2027,유통,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
012790,KOSDAQ,2066,제약,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
012860,KOSDAQ,2075,운송장비·부품,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
013030,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
013120,KOSDAQ,2026,건설,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
013310,KOSDAQ,2075,운송장비·부품,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
013720,KOSDAQ,2075,운송장비·부품,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
013810,KOSDAQ,2070,기계·장비,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
013990,KOSDAQ,2027,유통,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
014100,KOSDAQ,2027,유통,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
014190,KOSDAQ,2027,유통,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
014470,KOSDAQ,,,,,,UNMAPPED_BOTH,no_native_membership
014570,KOSDAQ,2066,제약,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
014620,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
014940,KOSDAQ,2070,기계·장비,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
014950,KOSDAQ,2066,제약,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
014970,KOSDAQ,2062,종이·목재,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
015710,KOSDAQ,2072,전기전자,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
015750,KOSDAQ,2075,운송장비·부품,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
016100,KOSDAQ,2062,종이·목재,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
016250,KOSDAQ,2026,건설,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
016600,KOSDAQ,2031,금융,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
016670,KOSDAQ,2027,유통,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
016790,KOSDAQ,2056,음식료·담배,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
016920,KOSDAQ,2027,유통,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
017000,KOSDAQ,2026,건설,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
017250,KOSDAQ,2072,전기전자,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
017480,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
017510,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
017650,KOSDAQ,2062,종이·목재,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
017890,KOSDAQ,2065,화학,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
018000,KOSDAQ,2070,기계·장비,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
018120,KOSDAQ,2056,음식료·담배,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
018290,KOSDAQ,2065,화학,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
018310,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
018620,KOSDAQ,2066,제약,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
018680,KOSDAQ,2066,제약,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
018700,KOSDAQ,2027,유통,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
019010,KOSDAQ,2027,유통,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
019210,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
019540,KOSDAQ,2075,운송장비·부품,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
019550,KOSDAQ,2031,금융,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
019570,KOSDAQ,2031,금융,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
019660,KOSDAQ,2027,유통,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
019770,KOSDAQ,2070,기계·장비,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
019990,KOSDAQ,2070,기계·장비,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
020180,KOSDAQ,2118,IT 서비스,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
020400,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
020710,KOSDAQ,2012,일반서비스,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
021040,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
021080,KOSDAQ,2031,금융,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
021320,KOSDAQ,2026,건설,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
021650,KOSDAQ,2065,화학,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
021880,KOSDAQ,2031,금융,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
022220,KOSDAQ,2065,화학,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
023160,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
023410,KOSDAQ,2067,비금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
023440,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
023600,KOSDAQ,2062,종이·목재,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
023760,KOSDAQ,2031,금융,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
023770,KOSDAQ,2118,IT 서비스,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
023790,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
023900,KOSDAQ,2056,음식료·담배,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
023910,KOSDAQ,2066,제약,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
024060,KOSDAQ,2027,유통,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
024120,KOSDAQ,2075,운송장비·부품,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
024740,KOSDAQ,2075,운송장비·부품,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
024800,KOSDAQ,2029,운송·창고,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
024830,KOSDAQ,2075,운송장비·부품,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
024840,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
024850,KOSDAQ,2072,전기전자,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
024880,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
024910,KOSDAQ,2075,운송장비·부품,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
024940,KOSDAQ,2027,유통,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
024950,KOSDAQ,2027,유통,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
025320,KOSDAQ,2072,전기전자,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
025440,KOSDAQ,2072,전기전자,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
025550,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
025770,KOSDAQ,2114,통신,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
025870,KOSDAQ,2027,유통,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
025880,KOSDAQ,2056,음식료·담배,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
025900,KOSDAQ,2062,종이·목재,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
025950,KOSDAQ,2026,건설,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
025980,KOSDAQ,2012,일반서비스,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
026040,KOSDAQ,2077,기타제조,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
026150,KOSDAQ,2026,건설,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
026910,KOSDAQ,2068,금속,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
027040,KOSDAQ,2072,전기전자,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
027050,KOSDAQ,2065,화학,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
027360,KOSDAQ,2031,금융,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
027580,KOSDAQ,2065,화학,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
027710,KOSDAQ,2056,음식료·담배,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
027830,KOSDAQ,2031,금융,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
028080,KOSDAQ,2118,IT 서비스,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
028300,KOSDAQ,2066,제약,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
029480,KOSDAQ,2072,전기전자,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
030350,KOSDAQ,2118,IT 서비스,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
030520,KOSDAQ,2118,IT 서비스,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
030530,KOSDAQ,2065,화학,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
030960,KOSDAQ,2063,출판·매체복제,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
031310,KOSDAQ,2114,통신,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
031330,KOSDAQ,2027,유통,CANONICAL_UNIQUE,,,CANONICAL_ONLY,legacy_validation_mapping_absent
