ticker,close,market_cap,volume,trading_value,shares_outstanding,effective_date
000250,184000,4316174848000,601031,108720699000,23457472,2025-01-31
298040,448500,4182059778000,250120,113093954500,9324548,2025-01-31
016360,45600,4072080000000,384649,17417043700,89300000,2025-01-31
271560,101400,4008963784800,112263,11183559100,39536132,2025-01-31
307950,143000,3921629426000,91432,12952916200,27423982,2025-01-31
138930,12160,3896510600320,1260990,15287315130,320436727,2025-01-31
175330,19770,3856794824460,349460,6845665580,195083198,2025-01-31
005385,161000,3843390068000,131855,21052981800,23871988,2025-01-31
302440,49000,3839017357000,95724,4724697050,78347293,2025-01-31
006260,118700,3822140000000,398605,46898302500,32200000,2025-01-31
251270,44300,3807740138600,88819,3917867550,85953502,2025-01-31
036570,172700,3791459599400,79477,13700682800,21954022,2025-01-31
097950,242000,3643113012000,54228,12958343000,15054186,2025-01-31
377300,27000,3635138007000,432985,11544451850,134634741,2025-01-31
035250,16780,3589921590000,382960,6405761130,213940500,2025-01-31
078930,38500,3577242053000,154900,5934705600,92915378,2025-01-31
214150,54200,3550406717800,137403,7477104400,65505659,2025-01-31
028050,18010,3529960000000,1234195,22177553990,196000000,2025-01-31
011070,148700,3519298810900,190020,28252866600,23667107,2025-01-31
000720,31050,3457596503250,2004842,61619658200,111355765,2025-01-31
462870,58800,3430081536000,170744,9984120200,58334720,2025-01-31
009830,19770,3398315436720,1318668,26175834270,171892536,2025-01-31
058470,214500,3269488365000,87498,18538126000,15242370,2025-01-31
066970,88100,3197781029400,180441,15705240400,36297174,2025-01-31
039490,125200,3195943591200,62413,7801740000,25526706,2025-01-31
036460,34200,3157104600000,443545,15211884300,92313000,2025-01-31
128940,244000,3125881804000,38778,9451573500,12810991,2025-01-31
004020,23150,3089269922750,368383,8586986300,133445785,2025-01-31
145020,237500,2993457837500,79978,18713249500,12604033,2025-01-31
018880,4275,2901709909800,1547819,6610395140,678762552,2025-01-31
011780,105500,2883798928500,83978,8755671900,27334587,2025-01-31
022100,18850,2865854641650,526156,9795768210,152034729,2025-01-31
001040,95400,2783485609200,83628,8023176100,29176998,2025-01-31
348370,130000,2746583710000,120971,15816165900,21127567,2025-01-31
035900,75000,2664936900000,399828,30166786700,35532492,2025-01-31
052690,68900,2633358000000,249066,17051568700,38220000,2025-01-31
403870,30550,2550881252400,1026058,31811568850,83498568,2025-01-31
065350,92500,2542265190000,321062,29458290700,27483948,2025-01-31
214450,241500,2538068400000,104368,24987236500,10509600,2025-01-31
383220,64300,2463144922500,89697,5751643100,38307075,2025-01-31
