strategy,metric,value
CONTROL,final_equity,230372653.50166008
CONTROL,final_equity_at_effective_close,230372653.50166008
CONTROL,cumulative_return_pct,15.186326750830048
CONTROL,CAGR_pct,3.265588638865413
CONTROL,mdd_pct,-30.192885
CONTROL,peak_date,2021-05-11
CONTROL,trough_date,2023-03-14
CONTROL,recovery_date,2025-05-29
CONTROL,recovered,True
CONTROL,trade_count,199
CONTROL,realized_trade_count,161
CONTROL,win_rate_pct,22.981366459627328
CONTROL,average_holding_trading_days,120.69565217391305
CONTROL,median_holding_trading_days,74
CONTROL,average_concurrent_positions,31.26709796672828
CONTROL,maximum_concurrent_positions,40
CONTROL,average_capital_utilization_pct,86.36741251861349
CONTROL,maximum_capital_utilization_pct,99.99300156953528
CONTROL,average_cash_ratio_pct,13.632587481386501
CONTROL,cash_drag_pct,13.632587481386501
CONTROL,turnover_krw,1768957441.37
CONTROL,turnover_multiple,8.844787206849999
CONTROL,turnover_pct_initial_capital,884.4787206849999
CONTROL,total_buy_notional_krw,981584788.1839999
CONTROL,total_sell_notional_krw,787372653.1859999
CONTROL,total_commissions_krw,265343.61620549986
CONTROL,total_sell_tax_krw,1619859.8841345
CONTROL,slippage_impact_krw,1768764.9979998863
CONTROL,cash_shortage_skipped_entries,156
CONTROL,realized_return_le_neg_30_count,2
CONTROL,realized_return_le_neg_40_count,0
CONTROL,realized_return_le_neg_50_count,0
CONTROL,realized_return_le_neg_60_count,0
CONTROL,realized_return_ge_pos_50_count,11
CONTROL,realized_return_ge_pos_100_count,7
CONTROL,open_at_effective_cutoff_count,38
CONTROL,open_at_effective_cutoff_market_value_krw,226469992.0
CONTROL,pending_sale_proceeds_at_support_krw,0.0
CONTROL,unresolved_count,0
CONTROL,cash_conservation_pass,True
CONTROL,position_cap,
CANDIDATE,final_equity,230676555.73309398
CANDIDATE,final_equity_at_effective_close,230676555.73309398
CANDIDATE,cumulative_return_pct,15.338277866546978
CANDIDATE,CAGR_pct,3.2965351507671103
CANDIDATE,mdd_pct,-30.020965
CANDIDATE,peak_date,2021-05-11
CANDIDATE,trough_date,2023-03-14
CANDIDATE,recovery_date,2025-05-29
CANDIDATE,recovered,True
CANDIDATE,trade_count,201
CANDIDATE,realized_trade_count,165
CANDIDATE,win_rate_pct,23.03030303030303
CANDIDATE,average_holding_trading_days,132.6909090909091
CANDIDATE,median_holding_trading_days,74
CANDIDATE,average_concurrent_positions,30.8456561922366
CANDIDATE,maximum_concurrent_positions,40
CANDIDATE,average_capital_utilization_pct,86.1243359194247
CANDIDATE,maximum_capital_utilization_pct,99.98978086582568
CANDIDATE,average_cash_ratio_pct,13.875664080575287
CANDIDATE,cash_drag_pct,13.875664080575287
CANDIDATE,turnover_krw,1790877688.7239997
CANDIDATE,turnover_multiple,8.95438844362
CANDIDATE,turnover_pct_initial_capital,895.4388443619999
CANDIDATE,total_buy_notional_krw,991812549.728
CANDIDATE,total_sell_notional_krw,799065138.9959997
CANDIDATE,total_commissions_krw,268631.6533085999
CANDIDATE,total_sell_tax_krw,1645373.8815975
CANDIDATE,slippage_impact_krw,1790686.7319998837
CANDIDATE,cash_shortage_skipped_entries,154
CANDIDATE,realized_return_le_neg_30_count,5
CANDIDATE,realized_return_le_neg_40_count,3
CANDIDATE,realized_return_le_neg_50_count,1
CANDIDATE,realized_return_le_neg_60_count,1
CANDIDATE,realized_return_ge_pos_50_count,10
CANDIDATE,realized_return_ge_pos_100_count,7
CANDIDATE,open_at_effective_cutoff_count,36
CANDIDATE,open_at_effective_cutoff_market_value_krw,225337972.0
CANDIDATE,pending_sale_proceeds_at_support_krw,0.0
CANDIDATE,unresolved_count,0
CANDIDATE,cash_conservation_pass,True
CANDIDATE,position_cap,
CANDIDATE_MINUS_CONTROL,final_equity,303902.2314338982
CANDIDATE_MINUS_CONTROL,cumulative_return_pct,0.15195111571692976
CANDIDATE_MINUS_CONTROL,CAGR_pct,0.03094651190169717
CANDIDATE_MINUS_CONTROL,mdd_pct,0.17192000000000007
CANDIDATE_MINUS_CONTROL,trade_count,2
CANDIDATE_MINUS_CONTROL,win_rate_pct,0.04893657067570345
CANDIDATE_MINUS_CONTROL,average_holding_trading_days,11.995256916996041
CANDIDATE_MINUS_CONTROL,median_holding_trading_days,0
CANDIDATE_MINUS_CONTROL,average_concurrent_positions,-0.4214417744916794
CANDIDATE_MINUS_CONTROL,maximum_concurrent_positions,0
CANDIDATE_MINUS_CONTROL,average_capital_utilization_pct,-0.24307659918879665
CANDIDATE_MINUS_CONTROL,average_cash_ratio_pct,0.243076599188786
CANDIDATE_MINUS_CONTROL,turnover_multiple,0.10960123677000055
CANDIDATE_MINUS_CONTROL,total_commissions_krw,3288.0371031000395
CANDIDATE_MINUS_CONTROL,total_sell_tax_krw,25513.997463000007
CANDIDATE_MINUS_CONTROL,slippage_impact_krw,21921.733999997377
CANDIDATE_MINUS_CONTROL,cash_shortage_skipped_entries,-2
CANDIDATE_MINUS_CONTROL,realized_return_le_neg_30_count,3
CANDIDATE_MINUS_CONTROL,realized_return_le_neg_40_count,3
CANDIDATE_MINUS_CONTROL,realized_return_le_neg_50_count,1
CANDIDATE_MINUS_CONTROL,realized_return_le_neg_60_count,1
CANDIDATE_MINUS_CONTROL,realized_return_ge_pos_50_count,-1
CANDIDATE_MINUS_CONTROL,realized_return_ge_pos_100_count,0
CANDIDATE_MINUS_CONTROL,open_at_effective_cutoff_count,-2
