ticker,identity,market,valuation_date,gap_classification,adjusted_close_exact_valid_missing,raw_row_present,raw_open,raw_high,raw_low,raw_close,raw_volume,raw_trading_value,placeholder_predicate,adjusted_source_nonusable_authority_member,adjusted_source_closure_checkpoint_sha256,adjusted_source_row_present,adjusted_open,adjusted_high,adjusted_low,adjusted_close,adjusted_invalid_relation_fields,adjusted_store_authority_id,adjusted_store_content_sha256,adjusted_store_parquet_sha256,raw_partition_status,raw_partition_file_sha256,raw_partition_content_sha256
003690,,KOSPI,2024-02-16,ADJUSTED_ANALYTICALLY_NONUSABLE,True,True,7920,8030,7910,8030,539449,4288506060,NON_TRADING_PLACEHOLDER_V01,False,32cafe722c4ab868d6e93979077fbde777c5abd98d5fdc90d64488e7c87f4e51,True,6721.0,6814.0,6713.0,6815.0,high_below_close,NAVER_DIRECT_DATE_RANGE_ADJUSTED_V1,eb3362c5d9c7c39def2be1b528c8776197ecbe01b7579cc5b9be12bd048bd6d6,eb3362c5d9c7c39def2be1b528c8776197ecbe01b7579cc5b9be12bd048bd6d6,COMPLETE,103407415d674a599746fb17ede0ada90c66e402b6a2668d17918d30dc967039,906a257a61176a2687e2d82eb9de47286c6f57fb672925e937efb9b8fb814fdf
003690,,KOSPI,2024-06-27,ADJUSTED_ANALYTICALLY_NONUSABLE,True,True,7910,7950,7850,7950,79014,623983070,NON_TRADING_PLACEHOLDER_V01,False,32cafe722c4ab868d6e93979077fbde777c5abd98d5fdc90d64488e7c87f4e51,True,6713.0,6746.0,6662.0,6747.0,high_below_close,NAVER_DIRECT_DATE_RANGE_ADJUSTED_V1,eb3362c5d9c7c39def2be1b528c8776197ecbe01b7579cc5b9be12bd048bd6d6,eb3362c5d9c7c39def2be1b528c8776197ecbe01b7579cc5b9be12bd048bd6d6,COMPLETE,dd04c38c0141f4bc9bc14a2fefde7b9a54abc8f397b7c12d068b0b39346eb987,45d397a7a1eb3230db6627fa27c31ece51fb0cad5d3a4e563176ec21246a0a12
006400,,KOSPI,2022-11-01,ADJUSTED_ANALYTICALLY_NONUSABLE,True,True,735000,760000,732000,760000,407364,304321509000,NON_TRADING_PLACEHOLDER_V01,False,32cafe722c4ab868d6e93979077fbde777c5abd98d5fdc90d64488e7c87f4e51,True,719589.0,744064.0,716652.0,744065.0,high_below_close,NAVER_DIRECT_DATE_RANGE_ADJUSTED_V1,7e146635ddd48296300e81408113b8e11d53deb42ccadb9df6ef5241698dc1c9,7e146635ddd48296300e81408113b8e11d53deb42ccadb9df6ef5241698dc1c9,COMPLETE,40c40dac6976645f8386faa3f7f1951ff5f583237ce49e1c623c0955110b34c1,df4defef32562123116c21e913601b8ba93801a2fcdef82e3255b462ee76626a
007340,,KOSPI,2024-09-25,NON_TRADING_PLACEHOLDER,True,True,0,0,0,102100,0,0,NON_TRADING_PLACEHOLDER_V01,False,32cafe722c4ab868d6e93979077fbde777c5abd98d5fdc90d64488e7c87f4e51,False,,,,,,NAVER_DIRECT_DATE_RANGE_ADJUSTED_V1,28029d47296a80e9f76c0f82f5a6d82f491352cb5f6a2edc7da601eac62853f7,28029d47296a80e9f76c0f82f5a6d82f491352cb5f6a2edc7da601eac62853f7,COMPLETE,8715625a78170d7b4e7b6c904d7676ded0e0e9e1482c6a7e51b5609ca84cfca6,fbf8a811da64a7074e7c259c9d790ed58a171eea27a80ab6b95d06f2dde41ba3
007340,,KOSPI,2024-09-26,NON_TRADING_PLACEHOLDER,True,True,0,0,0,102100,0,0,NON_TRADING_PLACEHOLDER_V01,False,32cafe722c4ab868d6e93979077fbde777c5abd98d5fdc90d64488e7c87f4e51,False,,,,,,NAVER_DIRECT_DATE_RANGE_ADJUSTED_V1,28029d47296a80e9f76c0f82f5a6d82f491352cb5f6a2edc7da601eac62853f7,28029d47296a80e9f76c0f82f5a6d82f491352cb5f6a2edc7da601eac62853f7,COMPLETE,7b1048b1b7a53cb297c5c09fd6edc13fd6caf884b5058d9f2b274002d875a7f5,bbc1fc708b571770eaa10298e3023f54ac31ac63eb61a9623b3edb6478cb0bc4
007340,,KOSPI,2024-09-27,NON_TRADING_PLACEHOLDER,True,True,0,0,0,102100,0,0,NON_TRADING_PLACEHOLDER_V01,False,32cafe722c4ab868d6e93979077fbde777c5abd98d5fdc90d64488e7c87f4e51,False,,,,,,NAVER_DIRECT_DATE_RANGE_ADJUSTED_V1,28029d47296a80e9f76c0f82f5a6d82f491352cb5f6a2edc7da601eac62853f7,28029d47296a80e9f76c0f82f5a6d82f491352cb5f6a2edc7da601eac62853f7,COMPLETE,17394f9d2ab8534d19420416e33cd0c7b7f75b9f0a7a008c55aec9670f03029f,cb0ef529ba9362031f53b7928d99c8fa9c1629e08a91d79721ad08f653153d6f
007340,,KOSPI,2024-09-30,NON_TRADING_PLACEHOLDER,True,True,0,0,0,102100,0,0,NON_TRADING_PLACEHOLDER_V01,False,32cafe722c4ab868d6e93979077fbde777c5abd98d5fdc90d64488e7c87f4e51,False,,,,,,NAVER_DIRECT_DATE_RANGE_ADJUSTED_V1,28029d47296a80e9f76c0f82f5a6d82f491352cb5f6a2edc7da601eac62853f7,28029d47296a80e9f76c0f82f5a6d82f491352cb5f6a2edc7da601eac62853f7,COMPLETE,b0a2fd3cdf1c1b77af0f14d43985701cf67891ccd348254de6319197724ead14,3fb81b9cac79aceb139a8972d5b64370c120d3fe7b004d726d57f155d1770112
007340,,KOSPI,2024-10-02,NON_TRADING_PLACEHOLDER,True,True,0,0,0,102100,0,0,NON_TRADING_PLACEHOLDER_V01,False,32cafe722c4ab868d6e93979077fbde777c5abd98d5fdc90d64488e7c87f4e51,False,,,,,,NAVER_DIRECT_DATE_RANGE_ADJUSTED_V1,28029d47296a80e9f76c0f82f5a6d82f491352cb5f6a2edc7da601eac62853f7,28029d47296a80e9f76c0f82f5a6d82f491352cb5f6a2edc7da601eac62853f7,COMPLETE,7df8f8ddc8271d72263a427d2e50e9a751ef63ab9c26fde3063130ba95f1be75,61fdfadbbe325e30368b05e576af67aa7a5d054a3e9a93e08589d34c05c6c920
007340,,KOSPI,2024-10-04,NON_TRADING_PLACEHOLDER,True,True,0,0,0,102100,0,0,NON_TRADING_PLACEHOLDER_V01,False,32cafe722c4ab868d6e93979077fbde777c5abd98d5fdc90d64488e7c87f4e51,False,,,,,,NAVER_DIRECT_DATE_RANGE_ADJUSTED_V1,28029d47296a80e9f76c0f82f5a6d82f491352cb5f6a2edc7da601eac62853f7,28029d47296a80e9f76c0f82f5a6d82f491352cb5f6a2edc7da601eac62853f7,COMPLETE,0a605734010df6fe61dc0e5300205954f9c0029918afd18016600515fe24f5db,a52c13de365ccd5b63777958ceacbcea34fab1e9db4bd55967ad2f18b56ec05c
007340,,KOSPI,2024-10-07,NON_TRADING_PLACEHOLDER,True,True,0,0,0,102100,0,0,NON_TRADING_PLACEHOLDER_V01,False,32cafe722c4ab868d6e93979077fbde777c5abd98d5fdc90d64488e7c87f4e51,False,,,,,,NAVER_DIRECT_DATE_RANGE_ADJUSTED_V1,28029d47296a80e9f76c0f82f5a6d82f491352cb5f6a2edc7da601eac62853f7,28029d47296a80e9f76c0f82f5a6d82f491352cb5f6a2edc7da601eac62853f7,COMPLETE,3a646e4231ea9279c46f7ea5dd8b4da7fa3f1b5c7dcf97c0d7c3e5a51770ff09,6eb4dc7158f6ac0972195e70f6c6644e80c26fc428aba85259652851a36d3de9
