strategy_id,ticker,name,entry_execution_date,entry_open,exit_execution_date,exit_price,terminal_return,exit_type,rank_group
JULIA,003620,KG모빌리티,2013-06-03,42656.0,,,-93.82,NO_EXIT_BEFORE_CUTOFF,WORST
JULIA,092040,아미코젠,2020-07-13,15295.0,,,-93.38,NO_EXIT_BEFORE_CUTOFF,WORST
JULIA,083790,CG인바이츠,2020-08-31,13304.0,,,-93.33,NO_PROGRESSED_BEFORE_CUTOFF,WORST
JULIA,027410,BGF,2017-05-02,56668.0,,,-93.14,NO_EXIT_BEFORE_CUTOFF,WORST
JULIA,058820,CMG제약,2020-12-14,6150.0,,,-89.76,NO_EXIT_BEFORE_CUTOFF,WORST
JULIA,006840,AK홀딩스,2017-07-03,74300.0,,,-89.62,NO_PROGRESSED_BEFORE_CUTOFF,WORST
JULIA,078130,국일제지,2021-03-29,31710.0,,,-88.87,NO_PROGRESSED_BEFORE_CUTOFF,WORST
JULIA,048530,인트론바이오,2018-01-29,24584.0,,,-88.31,NO_EXIT_BEFORE_CUTOFF,WORST
JULIA,035760,CJ ENM,2013-01-02,278100.0,,,-88.12,NO_EXIT_BEFORE_CUTOFF,WORST
JULIA,044340,위닉스,2021-02-22,27050.0,,,-87.67,NO_PROGRESSED_BEFORE_CUTOFF,WORST
JULIA,019680,대교,2013-04-22,7750.0,,,-87.1,NO_EXIT_BEFORE_CUTOFF,WORST
JULIA,095270,웨이브일렉트로,2017-09-11,29247.0,,,-85.91,NO_PROGRESSED_BEFORE_CUTOFF,WORST
JULIA,278280,천보,2023-04-10,278500.0,,,-85.75,NO_PROGRESSED_BEFORE_CUTOFF,WORST
JULIA,089590,제주항공,2019-03-25,30475.0,,,-84.53,NO_PROGRESSED_BEFORE_CUTOFF,WORST
JULIA,060590,씨티씨바이오,2015-03-02,19900.0,,,-84.37,NO_EXIT_BEFORE_CUTOFF,WORST
JULIA,101360,에코앤드림,2024-02-26,51945.0,,,-84.23,NO_EXIT_BEFORE_CUTOFF,WORST
JULIA,002790,아모레퍼시픽홀딩스,2016-07-04,164620.0,,,-83.96,NO_PROGRESSED_BEFORE_CUTOFF,WORST
