ticker,entry_signal_date,comparison_class
001440,2024-05-03,SHARED_ENTRY
001440,2025-06-20,FASTCORE_ONLY_REENTRY
001450,2014-08-22,SHARED_ENTRY
001450,2015-06-26,FASTCORE_ONLY_REENTRY
001460,2023-03-03,SHARED_ENTRY
001460,2023-03-17,FASTCORE_ONLY_REENTRY
001460,2024-03-22,FASTCORE_ONLY_REENTRY
001500,2014-08-01,SHARED_ENTRY
001500,2015-04-03,FASTCORE_ONLY_REENTRY
001500,2017-03-31,FASTCORE_ONLY_REENTRY
001500,2020-10-23,FASTCORE_ONLY_REENTRY
001500,2024-03-15,SHARED_REENTRY
001500,2025-06-13,FASTCORE_ONLY_REENTRY
001630,2019-04-19,SHARED_ENTRY
001680,2019-03-15,SHARED_ENTRY
001680,2020-05-15,FASTCORE_ONLY_REENTRY
001680,2022-04-22,FASTCORE_ONLY_REENTRY
001680,2024-05-24,FASTCORE_ONLY_REENTRY
001680,2025-02-28,FASTCORE_ONLY_REENTRY
001720,2016-03-18,SHARED_ENTRY
001720,2017-07-14,FASTCORE_ONLY_REENTRY
001720,2024-03-08,FASTCORE_ONLY_REENTRY
001740,2014-03-07,SHARED_ENTRY
001800,2014-08-01,SHARED_ENTRY
001800,2014-12-19,FASTCORE_ONLY_REENTRY
001800,2021-04-30,FASTCORE_ONLY_REENTRY
001800,2022-08-19,FASTCORE_ONLY_REENTRY
001820,2022-01-21,SHARED_ENTRY
001820,2025-10-10,FASTCORE_ONLY_REENTRY
001940,2021-06-04,SHARED_ENTRY
001940,2023-01-27,SHARED_REENTRY
001940,2025-05-30,SHARED_REENTRY
002020,2013-05-03,SHARED_ENTRY
002020,2014-07-18,FASTCORE_ONLY_REENTRY
002020,2015-03-20,FASTCORE_ONLY_REENTRY
002030,2023-03-03,SHARED_ENTRY
002100,2021-06-18,SHARED_ENTRY
002150,2021-04-23,SHARED_ENTRY
002150,2022-05-13,FASTCORE_ONLY_REENTRY
002240,2013-05-03,SHARED_ENTRY
002240,2026-01-02,SHARED_REENTRY
002310,2020-12-04,SHARED_ENTRY
002310,2024-02-16,SHARED_REENTRY
002310,2025-07-11,FASTCORE_ONLY_REENTRY
002320,2014-03-07,SHARED_ENTRY
002320,2018-10-19,SHARED_REENTRY
002320,2020-01-17,SHARED_REENTRY
002320,2020-03-06,FASTCORE_ONLY_REENTRY
002320,2025-07-11,FASTCORE_ONLY_REENTRY
002350,2014-06-20,SHARED_ENTRY
002350,2021-04-23,FASTCORE_ONLY_REENTRY
002350,2022-09-02,FASTCORE_ONLY_REENTRY
002350,2023-03-31,FASTCORE_ONLY_REENTRY
002350,2024-02-16,FASTCORE_ONLY_REENTRY
002350,2025-11-07,FASTCORE_ONLY_REENTRY
002380,2013-05-10,SHARED_ENTRY
002380,2017-06-30,SHARED_REENTRY
002380,2019-05-03,FASTCORE_ONLY_REENTRY
002380,2024-05-24,SHARED_REENTRY
002380,2025-05-30,FASTCORE_ONLY_REENTRY
002390,2014-05-23,SHARED_ENTRY
002390,2018-03-16,SHARED_REENTRY
002390,2018-12-21,FASTCORE_ONLY_REENTRY
002390,2019-03-08,FASTCORE_ONLY_REENTRY
002390,2020-07-03,FASTCORE_ONLY_REENTRY
002790,2013-11-22,SHARED_ENTRY
002790,2016-07-01,SHARED_REENTRY
002790,2021-05-28,FASTCORE_ONLY_REENTRY
002790,2025-07-04,FASTCORE_ONLY_REENTRY
002790,2026-02-13,FASTCORE_ONLY_REENTRY
002810,2016-03-11,SHARED_ENTRY
002810,2021-04-23,FASTCORE_ONLY_REENTRY
002810,2026-02-27,FASTCORE_ONLY_REENTRY
002840,2023-02-24,SHARED_ENTRY
002960,2012-12-28,SHARED_ENTRY
002960,2015-10-02,SHARED_REENTRY
002960,2024-10-11,FASTCORE_ONLY_REENTRY
002990,2018-04-20,SHARED_ENTRY
002990,2018-12-21,FASTCORE_ONLY_REENTRY
002990,2021-06-04,FASTCORE_ONLY_REENTRY
003000,2013-05-03,SHARED_ENTRY
003000,2014-01-03,FASTCORE_ONLY_REENTRY
003000,2026-02-27,SHARED_REENTRY
003000,2026-03-20,FASTCORE_ONLY_REENTRY
003030,2013-05-03,SHARED_ENTRY
003030,2014-03-07,FASTCORE_ONLY_REENTRY
003030,2016-11-11,FASTCORE_ONLY_REENTRY
003030,2021-04-30,SHARED_REENTRY
003030,2025-01-24,SHARED_REENTRY
003070,2015-05-29,SHARED_ENTRY
003070,2026-03-20,SHARED_REENTRY
003090,2019-02-15,SHARED_ENTRY
003090,2024-10-11,SHARED_REENTRY
003090,2025-05-30,SHARED_REENTRY
003090,2026-02-13,FASTCORE_ONLY_REENTRY
003120,2014-12-26,SHARED_ENTRY
003160,2025-10-10,SHARED_ENTRY
003200,2023-02-24,SHARED_ENTRY
003220,2017-02-24,SHARED_ENTRY
003220,2018-01-26,FASTCORE_ONLY_REENTRY
003220,2019-11-29,FASTCORE_ONLY_REENTRY
003220,2022-12-16,FASTCORE_ONLY_REENTRY
003220,2023-09-08,FASTCORE_ONLY_REENTRY
003230,2019-03-29,SHARED_ENTRY
003230,2019-11-01,FASTCORE_ONLY_REENTRY
003230,2020-04-03,FASTCORE_ONLY_REENTRY
003230,2022-04-22,SHARED_REENTRY
003230,2022-12-23,FASTCORE_ONLY_REENTRY
003240,2013-10-04,SHARED_ENTRY
003240,2019-03-15,SHARED_REENTRY
003240,2024-02-02,FASTCORE_ONLY_REENTRY
003240,2025-02-28,FASTCORE_ONLY_REENTRY
003300,2012-12-28,SHARED_ENTRY
003300,2020-12-18,SHARED_REENTRY
003380,2023-02-03,SHARED_ENTRY
003470,2018-01-26,SHARED_ENTRY
003480,2014-02-07,SHARED_ENTRY
003490,2016-09-30,SHARED_ENTRY
003490,2017-06-09,FASTCORE_ONLY_REENTRY
