ticker,name,shared_entry_date,shared_entry_price,fastcore_loss_cut_signal_date,fastcore_loss_cut_execution_date,fastcore_realized_return,julia_exit_type,julia_exit_execution_date,julia_terminal_return,julia_mfe,julia_mae,julia_recovered_above_entry,julia_eventually_positive,julia_trade_status
003380,하림지주,2023-02-03,9650.0,2023-05-31,2023-06-01,-15.44,EXIT4_SCORE_DRAWDOWN_GE_15,2026-03-03,66.74,103.21,-48.29,True,True,REALIZED
003800,에이스침대,2020-02-07,44050.0,2020-03-13,2020-03-16,-17.37,NO_EXIT_BEFORE_CUTOFF,,-25.54,53.01,-46.88,True,False,OPEN_AT_CUTOFF
000250,삼천당제약,2020-03-06,43200.0,2020-03-16,2020-03-17,-28.24,EXIT4_SCORE_DRAWDOWN_GE_15,2021-04-01,19.91,121.53,-50.58,True,True,REALIZED
005290,동진쎄미켐,2019-06-07,11950.0,2019-06-21,2019-06-24,-15.48,EXIT3_PROGRESSED_TO_TRANSITION,2022-04-01,225.94,335.98,-23.43,True,True,REALIZED
005990,매일홀딩스,2015-05-08,21796.0,2015-08-03,2015-08-04,-15.57,NO_PROGRESSED_BEFORE_CUTOFF,,-49.72,59.43,-72.01,True,False,OPEN_AT_CUTOFF
006730,서부T&D,2014-08-22,12132.0,2014-11-12,2014-11-13,-15.41,EXIT3_PROGRESSED_TO_TRANSITION,2015-12-01,-1.26,38.23,-25.9,True,False,REALIZED
011040,경동제약,2018-01-26,14629.0,2018-02-06,2018-02-07,-13.36,NO_EXIT_BEFORE_CUTOFF,,-65.07,25.09,-67.87,True,False,OPEN_AT_CUTOFF
013120,동원개발,2016-08-12,5080.0,2016-11-02,2016-11-03,-13.98,EXIT4_SCORE_DRAWDOWN_GE_15,2021-08-02,26.18,38.58,-43.7,True,True,REALIZED
014620,성광벤드,2013-11-01,29200.0,2014-01-09,2014-01-10,-17.47,EXIT4_SCORE_DRAWDOWN_GE_15,2022-12-01,-47.77,0.68,-86.1,True,False,REALIZED
015750,성우하이텍,2013-05-31,12102.0,2015-05-08,2015-05-11,-14.2,EXIT4_SCORE_DRAWDOWN_GE_15,2021-05-03,-53.89,43.65,-85.5,True,False,REALIZED
019210,와이지-원,2013-08-02,13400.0,2014-01-06,2014-01-07,-17.91,NO_EXIT_BEFORE_CUTOFF,,6.42,112.69,-76.64,True,True,OPEN_AT_CUTOFF
018310,삼목에스폼,2025-06-13,22300.0,2025-09-01,2025-09-02,-15.25,NO_PROGRESSED_BEFORE_CUTOFF,,-38.16,5.83,-43.63,True,False,OPEN_AT_CUTOFF
023410,유진기업,2017-04-21,5700.0,2017-12-08,2017-12-11,-15.7,NO_EXIT_BEFORE_CUTOFF,,-44.04,92.11,-52.63,True,False,OPEN_AT_CUTOFF
023160,태광,2013-09-13,25206.0,2013-10-16,2013-10-17,-15.98,EXIT3_PROGRESSED_TO_TRANSITION,2019-01-02,-53.38,1.88,-68.34,True,False,REALIZED
024950,삼천리자전거,2015-06-05,26474.0,2015-08-20,2015-08-21,-19.68,EXIT4_SCORE_DRAWDOWN_GE_15,2021-01-04,-63.77,15.42,-87.91,True,False,REALIZED
025770,한국정보통신,2021-07-09,11050.0,2021-08-13,2021-08-17,-15.29,NO_EXIT_BEFORE_CUTOFF,,-28.42,65.88,-37.42,True,False,OPEN_AT_CUTOFF
