ticker,name,market,official_stage,candidate_state,pattern_a_score,market_cap_eok,avg_trading_value_20d_eok,investability_status,investability_reason,requested_as_of,effective_as_of,cache_present,cache_last_date,row_status
419080,엔젯,KOSDAQ,weak,blocked,0.0,695.8,2.93,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (695.8억),2026-08-14,2026-08-14,True,2026-08-14,OK
419120,산돌,KOSDAQ,weak,blocked,0.0,349.89,0.6,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (349.9억),2026-08-14,2026-08-14,True,2026-08-14,OK
419530,SAMG엔터,KOSDAQ,progressed,late,35.15566484015747,2434.45,32.57,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK
419540,비스토스,KOSDAQ,weak,blocked,0.0,199.6,1.0,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (199.6억),2026-08-14,2026-08-14,True,2026-08-14,OK
420570,제이투케이바이오,KOSDAQ,,insufficient_data,,563.11,8.16,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (563.1억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
420770,기가비스,KOSDAQ,progressed,late,0.0,15223.59,160.69,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,PARTIAL
424760,벨로크,KOSDAQ,weak,blocked,1.161323459919133,203.1,1.55,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (203.1억),2026-08-14,2026-08-14,True,2026-08-14,OK
424870,이뮨온시아,KOSDAQ,,insufficient_data,,2995.87,8.73,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
424960,스마트레이더시스템,KOSDAQ,weak,blocked,0.0,685.78,1.16,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (685.8억),2026-08-14,2026-08-14,True,2026-08-14,PARTIAL
424980,마이크로투나노,KOSDAQ,weak,blocked,0.0,449.84,1.12,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (449.8억),2026-08-14,2026-08-14,True,2026-08-14,PARTIAL
425040,티이엠씨,KOSDAQ,weak,blocked,0.0,2198.87,19.8,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK
425420,티에프이,KOSDAQ,progressed,late,0.0,4611.67,24.03,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK
429270,시지트로닉스,KOSDAQ,weak,blocked,0.0,237.98,2.55,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (238.0억),2026-08-14,2026-08-14,True,2026-08-14,PARTIAL
430690,한싹,KOSDAQ,,insufficient_data,,298.53,6.4,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (298.5억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
431190,케이쓰리아이,KOSDAQ,,insufficient_data,,198.77,0.93,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (198.8억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
432430,와이랩,KOSDAQ,weak,blocked,0.0,373.91,0.27,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (373.9억),2026-08-14,2026-08-14,True,2026-08-14,PARTIAL
432470,케이엔에스,KOSDAQ,,insufficient_data,,732.42,6.63,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (732.4억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
432720,퀄리타스반도체,KOSDAQ,,insufficient_data,,1359.17,10.02,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
432980,엠에프씨,KOSDAQ,,insufficient_data,,229.4,0.14,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (229.4억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
434480,모니터랩,KOSDAQ,weak,blocked,0.0,342.84,1.72,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (342.8억),2026-08-14,2026-08-14,True,2026-08-14,PARTIAL
435570,에르코스,KOSDAQ,,insufficient_data,,543.09,1.84,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (543.1억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
437730,삼현,KOSDAQ,,insufficient_data,,12714.73,126.15,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
438700,버넥트,KOSDAQ,weak,blocked,0.0,205.96,0.38,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (206.0억),2026-08-14,2026-08-14,True,2026-08-14,PARTIAL
