ticker,name,market,official_stage,candidate_state,pattern_a_score,market_cap_eok,avg_trading_value_20d_eok,investability_status,investability_reason,requested_as_of,effective_as_of,cache_present,cache_last_date,row_status,is_investable
282330,BGF리테일,KOSPI,transition,candidate,86.36317960386219,25096.23,103.81,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
066620,국보디자인,KOSDAQ,transition,candidate,86.18730685579848,1890.0,1.62,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.62억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
037710,광주신세계,KOSPI,transition,candidate,86.13442372401853,3035.61,49.29,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
140860,파크시스템스,KOSDAQ,transition,candidate,85.90560980041481,19571.9,99.71,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
030200,KT,KOSPI,transition,candidate,85.39111279369075,134579.58,238.52,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
026960,동서,KOSPI,transition,candidate,85.38198074105433,26221.1,20.61,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
017650,대림제지,KOSDAQ,transition,candidate,84.28486401555422,911.88,1.5,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (911.9억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
014440,영보화학,KOSPI,transition,candidate,82.99206498597836,934.0,0.75,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (934.0억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
204620,글로벌텍스프리,KOSDAQ,transition,candidate,82.10736042369744,3689.87,35.8,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
080010,이상네트웍스,KOSDAQ,transition,candidate,82.02137595196386,796.64,0.65,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (796.6억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
003800,에이스침대,KOSDAQ,transition,candidate,82.00029173407705,3698.51,1.03,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.03억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
383220,F&F,KOSPI,transition,candidate,81.84169680391221,25665.74,68.69,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
028100,동아지질,KOSPI,transition,candidate,81.6649931543775,2372.62,5.33,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
096760,JW홀딩스,KOSPI,transition,candidate,81.37524246101633,3056.8,5.02,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
018670,SK가스,KOSPI,transition,candidate,80.76615150312915,22616.96,38.83,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
139480,이마트,KOSPI,transition,candidate,80.69926004533595,21773.1,93.54,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
003480,한진중공업홀딩스,KOSPI,transition,candidate,80.65641559241642,1435.15,1.22,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.22억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
001800,오리온홀딩스,KOSPI,transition,candidate,80.53733223588422,16121.98,21.08,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
036570,NC,KOSPI,transition,candidate,80.47047169538418,53321.45,191.4,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
091970,LSK아이로봇,KOSDAQ,transition,candidate,80.43881197795497,308.55,4.02,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (308.6억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
207940,삼성바이오로직스,KOSPI,transition,candidate,80.2088821476101,716583.92,1059.19,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
003300,한일홀딩스,KOSPI,transition,candidate,80.1832364373859,5309.17,3.54,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
011760,현대코퍼레이션,KOSPI,transition,candidate,80.07666195090725,3637.97,7.3,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
004590,한국가구,KOSDAQ,transition,candidate,79.9812142757694,853.5,2.21,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (853.5억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
072870,메가스터디,KOSDAQ,transition,candidate,79.9176098082185,1589.06,2.71,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (2.71억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
004700,조광피혁,KOSPI,transition,candidate,79.8063302805243,4355.19,1.38,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.38억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
060980,HL홀딩스,KOSPI,transition,candidate,79.67574069597083,3731.41,6.61,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
030190,NICE평가정보,KOSPI,transition,candidate,79.41255928723525,9349.26,9.65,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
005720,넥센,KOSPI,transition,candidate,79.11513682121586,3294.51,1.93,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.93억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
034950,한국기업평가,KOSDAQ,transition,candidate,79.059251384649,4672.19,1.63,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.63억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
036190,금화피에스시,KOSDAQ,transition,candidate,79.02322876809335,2055.0,1.63,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.63억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
038390,레드캡투어,KOSDAQ,transition,candidate,78.95524892026201,1652.02,1.53,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.53억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
007330,푸른저축은행,KOSDAQ,transition,candidate,78.75461047751185,1523.36,1.03,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.03억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
051600,한전KPS,KOSPI,transition,candidate,78.70027013057896,20857.5,48.21,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
900070,글로벌에스엠,KOSDAQ,transition,candidate,78.56015494937081,269.53,0.46,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (269.5억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
036000,예림당,KOSDAQ,transition,candidate,78.30929172318774,650.72,1.04,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (650.7억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
027410,BGF,KOSPI,transition,candidate,78.21468077205549,4015.32,3.99,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
373220,LG에너지솔루션,KOSPI,transition,candidate,78.17185375206606,864630.0,996.93,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
088790,진도,KOSPI,transition,candidate,78.14503642916726,278.21,0.52,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (278.2억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
009160,SIMPAC,KOSPI,transition,candidate,77.97740911774937,3268.55,6.04,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
009680,모토닉,KOSPI,transition,candidate,77.85518704687415,2223.3,1.72,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.72억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
004150,한솔홀딩스,KOSPI,transition,candidate,77.42258999585708,1427.73,3.02,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
377740,바이오노트,KOSPI,transition,candidate,77.3331738573399,5022.98,3.71,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
383800,LX홀딩스,KOSPI,transition,candidate,77.1410960204477,6323.67,6.82,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
004690,삼천리,KOSPI,transition,candidate,76.82439356072982,4522.59,9.77,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
007390,네이처셀,KOSDAQ,transition,candidate,76.61073923767214,15077.8,89.83,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
044450,KSS해운,KOSPI,transition,candidate,76.48359083964534,2391.7,4.97,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
002170,SYTS,KOSPI,transition,candidate,76.4093227229365,1704.0,1.64,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.64억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
192440,슈피겐코리아,KOSDAQ,transition,candidate,76.29075294860378,1765.45,3.23,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
009450,경동나비엔,KOSPI,transition,candidate,76.1305693827423,9921.21,44.33,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
033920,무학,KOSPI,transition,candidate,75.92800849890558,2288.55,2.45,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (2.45억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
002460,HS화성,KOSPI,transition,candidate,75.55711952588241,1195.67,1.76,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.76억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
051390,YW,KOSDAQ,transition,candidate,75.43322909493232,472.95,0.33,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (472.9억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
227840,현대코퍼레이션홀딩스,KOSPI,transition,candidate,75.2178755719104,1244.99,1.91,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.91억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
068270,셀트리온,KOSPI,transition,candidate,75.18276117020477,467560.52,1461.08,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
034310,NICE,KOSPI,transition,candidate,75.16463552097954,4774.75,7.11,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
012750,에스원,KOSPI,transition,candidate,75.16096903455744,29525.36,41.7,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
192400,쿠쿠홀딩스,KOSPI,transition,candidate,75.1421832237662,9370.64,5.37,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
092130,이크레더블,KOSDAQ,transition,candidate,75.05542014698484,1731.87,0.64,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (0.64억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
008370,원풍,KOSDAQ,transition,candidate,74.40175513017763,595.8,0.15,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (595.8억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
001260,남광토건,KOSPI,transition,candidate,74.37369302278428,758.09,12.12,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (758.1억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
025000,KPX케미칼,KOSPI,transition,candidate,74.34161677123089,2211.25,2.09,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (2.09억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
000850,화천기공,KOSPI,transition,candidate,74.3146204680565,751.3,3.85,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (751.3억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
069510,에스텍,KOSDAQ,transition,candidate,73.68964114203825,1370.3,0.53,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (0.53억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
018120,진로발효,KOSDAQ,transition,candidate,72.4927554412594,1112.35,0.19,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (0.19억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
