ticker,name,market,asset_type,requested_as_of,effective_as_of,cache_present,cache_first_date,cache_last_date,daily_rows,completed_month_count,freshness_status,staleness_trading_days,raw_data_ready,feature_ready,score_ready,stage_ready,evaluator_ready,momentum_current_ready,momentum_1m_ready,momentum_3m_ready,momentum_6m_ready,pattern_a_score,official_stage,candidate_state,base_score,transition_score,core_score,support_score,confirmation_bonus,balanced_core_score,alignment_bonus,progressed_penalty,score_delta_1m,score_delta_3m,score_delta_6m,base_score_delta_1m,base_score_delta_3m,base_score_delta_6m,transition_score_delta_1m,transition_score_delta_3m,transition_score_delta_6m,row_status,quality_flags,quality_reason_codes,evaluator_reason_codes,momentum_reason_codes_1m,momentum_reason_codes_3m,momentum_reason_codes_6m,error_type,error_message,scanner_commit,scanner_as_of,source_artifact
001540,안국약품,KOSDAQ,COMMON,2026-08-14,2026-08-14,True,2021-08-17,2026-08-14,1222,60,FRESH,0,True,True,True,True,True,True,True,True,True,97.4527038834332,early_trend,candidate,80.91803872716129,100.0,90.061468601174,81.00751390435211,16.201502780870424,89.4527038834332,8.0,0.0,-0.5689,30.5111,35.0381,-2.3366,-15.8664,-19.082,2.0142,48.8349,54.6358,OK,,,state_candidate;stage_early_trend,,,,,,13ab6f4,2026-08-14,pattern_a_universe_scan_20260814.csv
033560,블루콤,KOSDAQ,COMMON,2026-08-14,2026-08-14,True,2021-08-17,2026-08-14,1222,60,FRESH,0,True,True,True,True,True,True,True,True,True,97.99849587607686,early_trend,candidate,97.17499065886165,83.80908962680678,71.95137515155388,81.02714107922434,11.857714475252903,89.99849587607686,8.0,0.0,17.8492,33.8285,40.3151,-2.825,-2.825,18.6232,20.4959,35.7484,37.6186,OK,,,state_candidate;stage_early_trend,,,,,,13ab6f4,2026-08-14,pattern_a_universe_scan_20260814.csv
071200,인피니트헬스케어,KOSDAQ,COMMON,2026-08-14,2026-08-14,True,2021-08-17,2026-08-14,1222,60,FRESH,0,True,True,True,True,True,True,True,True,True,91.53986221405818,early_trend,candidate,71.7325806084891,100.0,90.10169690220098,55.55464828604437,11.110929657208874,83.53986221405818,8.0,0.0,3.9448,5.9153,8.8677,2.7507,-3.105,-7.036,5.932,19.3728,29.0192,OK,,,state_candidate;stage_early_trend,,,,,,13ab6f4,2026-08-14,pattern_a_universe_scan_20260814.csv
086060,진바이오텍,KOSDAQ,COMMON,2026-08-14,2026-08-14,True,2021-08-17,2026-08-14,1222,60,FRESH,0,True,True,True,True,True,True,True,True,True,73.81157812590835,early_trend,candidate,84.22615703015376,65.68910848480172,62.540243838074616,37.665112665112645,3.1488646467271,73.81157812590835,0.0,0.0,1.874,-15.5275,10.1655,-0.169,1.1816,-12.2032,2.9801,-13.8884,18.0166,OK,,,state_candidate;stage_early_trend,,,,,,13ab6f4,2026-08-14,pattern_a_universe_scan_20260814.csv
094840,슈프리마에이치큐,KOSDAQ,COMMON,2026-08-14,2026-08-14,True,2021-08-17,2026-08-14,1222,60,FRESH,0,True,True,True,True,True,True,True,True,True,54.8917019724657,early_trend,candidate,50.25359272389518,100.0,95.22734161867233,77.88069764033415,15.57613952806683,66.8917019724657,8.0,20.0,-36.9629,-37.2543,7.1145,-21.9444,-34.1919,-39.4108,0.0,16.1514,67.4355,OK,,,state_candidate;stage_early_trend,,,,,,13ab6f4,2026-08-14,pattern_a_universe_scan_20260814.csv
121440,골프존홀딩스,KOSDAQ,COMMON,2026-08-14,2026-08-14,True,2021-08-17,2026-08-14,1222,60,FRESH,0,True,True,True,True,True,True,True,True,True,97.07617195846515,early_trend,candidate,80.30391082888977,100.0,91.04683195592284,74.40919568208383,14.881839136416763,89.07617195846515,8.0,0.0,11.0529,11.5122,20.4315,1.2052,8.6941,7.9005,5.7234,15.4019,18.5862,OK,,,state_candidate;stage_early_trend,,,,,,13ab6f4,2026-08-14,pattern_a_universe_scan_20260814.csv
001450,현대해상,KOSPI,COMMON,2026-08-14,2026-08-14,True,2021-08-17,2026-08-14,1222,60,FRESH,0,True,True,True,True,True,True,True,True,True,71.13760805511733,early_trend,candidate,85.02746732604915,56.845763483294206,55.22344747533374,46.58750802859773,1.6223160079604615,68.13760805511733,3.0,0.0,2.0243,1.5121,14.4655,-6.48,-6.7264,-13.8561,5.1046,4.5541,17.1543,OK,,,state_candidate;stage_early_trend,,,,,,13ab6f4,2026-08-14,pattern_a_universe_scan_20260814.csv
003650,미창석유,KOSPI,COMMON,2026-08-14,2026-08-14,True,2021-08-17,2026-08-14,1222,60,FRESH,0,True,True,True,True,True,True,True,True,True,91.29534286584358,early_trend,candidate,71.6872865178416,99.38904164959143,91.17078323041922,41.091292095861064,8.218258419172212,83.29534286584358,8.0,0.0,2.145,13.5254,-5.4598,2.1138,6.2213,-8.7883,2.04,3.6193,0.456,OK,,,state_candidate;stage_early_trend,,,,,,13ab6f4,2026-08-14,pattern_a_universe_scan_20260814.csv
005430,한국공항,KOSPI,COMMON,2026-08-14,2026-08-14,True,2021-08-17,2026-08-14,1222,60,FRESH,0,True,True,True,True,True,True,True,True,True,82.91330668374464,early_trend,candidate,70.20247085290957,80.30184659747822,71.13724530807684,65.03639302917671,9.16460128940138,74.91330668374464,8.0,0.0,16.7718,17.6414,-3.3754,-5.7436,-22.7822,-21.9274,22.031,30.486,-0.6178,OK,,,state_candidate;stage_early_trend,,,,,,13ab6f4,2026-08-14,pattern_a_universe_scan_20260814.csv
089860,롯데렌탈,KOSPI,COMMON,2026-08-14,2026-08-14,True,2021-08-19,2026-08-14,1220,60,FRESH,0,True,True,True,True,True,True,True,True,True,77.79038102158971,early_trend,candidate,100.0,63.65323914096506,60.2983244789538,48.86592963060454,3.354914662011258,77.79038102158971,0.0,0.0,3.2281,-14.8905,-11.6538,0.0,0.0,0.0,4.1663,-9.669,-4.988,OK,,,state_candidate;stage_early_trend,,,,,,13ab6f4,2026-08-14,pattern_a_universe_scan_20260814.csv
161890,한국콜마,KOSPI,COMMON,2026-08-14,2026-08-14,True,2021-08-17,2026-08-14,1222,60,FRESH,0,True,True,True,True,True,True,True,True,True,85.0160696146914,early_trend,candidate,76.82495775395002,95.16231928366732,86.95790263902516,41.022083223210856,8.204416644642173,85.0160696146914,0.0,0.0,-11.5252,-6.422,13.4071,-3.4931,5.7351,11.7287,-3.4858,-5.6747,15.5797,OK,,,state_candidate;stage_early_trend,,,,,,13ab6f4,2026-08-14,pattern_a_universe_scan_20260814.csv
317400,자이에스앤디,KOSPI,COMMON,2026-08-14,2026-08-14,True,2021-08-17,2026-08-14,1222,60,FRESH,0,True,True,True,True,True,True,True,True,True,65.57716182824541,early_trend,candidate,67.34741118849281,58.437972288458,55.83052322419242,67.08100535762985,2.607449064265579,62.577161828245416,3.0,0.0,3.8855,-2.7144,30.098,-22.0517,-12.6626,-14.3362,11.1808,3.2025,35.5171,OK,,,state_candidate;stage_early_trend,,,,,,13ab6f4,2026-08-14,pattern_a_universe_scan_20260814.csv
003100,선광,KOSDAQ,COMMON,2026-08-14,2026-08-14,True,2021-08-17,2026-08-14,1222,60,FRESH,0,True,True,True,True,True,True,True,True,True,71.37753729343403,transition,candidate,81.25093163530507,63.64372345950568,61.69462010814773,25.0,1.949103351357954,71.37753729343403,0.0,0.0,-3.5551,3.1757,11.1417,2.6881,31.6654,37.2255,-7.9794,-12.9588,-0.5668,OK,,,state_candidate;stage_transition,,,,,,13ab6f4,2026-08-14,pattern_a_universe_scan_20260814.csv
003800,에이스침대,KOSDAQ,COMMON,2026-08-14,2026-08-14,True,2021-08-17,2026-08-14,1222,60,FRESH,0,True,True,True,True,True,True,True,True,True,82.00029173407705,transition,candidate,92.2791609651408,73.78181996710614,70.38441711466241,25.0,3.3974028524437356,82.00029173407705,0.0,0.0,-0.7004,-15.3998,-14.0366,1.5948,0.5051,-7.7208,-2.2272,-13.364,-4.8484,OK,,,state_candidate;stage_transition,,,,,,13ab6f4,2026-08-14,pattern_a_universe_scan_20260814.csv
004590,한국가구,KOSDAQ,COMMON,2026-08-14,2026-08-14,True,2021-08-17,2026-08-14,1222,60,FRESH,0,True,True,True,True,True,True,True,True,True,79.9812142757694,transition,candidate,72.6153344367872,89.01013286769621,82.10272873194225,34.53702067876981,6.9074041357539615,79.9812142757694,0.0,0.0,-6.8577,0.5749,-9.6037,4.7243,-11.9292,-16.0214,-4.9863,14.1533,13.4377,OK,,,state_candidate;stage_transition,,,,,,13ab6f4,2026-08-14,pattern_a_universe_scan_20260814.csv
005670,푸드웰,KOSDAQ,COMMON,2026-08-14,2026-08-14,True,2021-08-17,2026-08-14,1222,60,FRESH,0,True,True,True,True,True,True,True,True,True,64.5647815421553,transition,candidate,71.37057902163636,58.94396810529096,57.666258375963686,25.0,1.277709729327281,64.5647815421553,0.0,0.0,-6.5171,-12.6164,-11.1655,-0.1178,-3.1373,-0.633,-11.7361,-21.1096,-20.9198,OK,,,state_candidate;stage_transition,,,,,,13ab6f4,2026-08-14,pattern_a_universe_scan_20260814.csv
005990,매일홀딩스,KOSDAQ,COMMON,2026-08-14,2026-08-14,True,2021-08-17,2026-08-14,1222,60,FRESH,0,True,True,True,True,True,True,True,True,True,87.86655057247829,transition,candidate,94.00825346112887,82.47812837904276,77.83839575346522,25.0,4.639732625577537,87.86655057247829,0.0,0.0,-0.6447,-8.2956,-5.5989,2.1766,7.2074,9.7598,-2.9444,-7.0886,-4.2399,OK,,,state_candidate;stage_transition,,,,,,13ab6f4,2026-08-14,pattern_a_universe_scan_20260814.csv
