window,layer,version,comparison,first,second,first_n,second_n,mean_return_first,mean_return_second,mean_return_diff,mean_return_favorable,median_return_first,median_return_second,median_return_diff,median_return_favorable,ge_50_rate_pct_first,ge_50_rate_pct_second,ge_50_rate_pct_diff,ge_50_rate_pct_favorable,ge_100_rate_pct_first,ge_100_rate_pct_second,ge_100_rate_pct_diff,ge_100_rate_pct_favorable,le_neg_30_rate_pct_first,le_neg_30_rate_pct_second,le_neg_30_rate_pct_diff,le_neg_30_rate_pct_favorable,le_neg_50_rate_pct_first,le_neg_50_rate_pct_second,le_neg_50_rate_pct_diff,le_neg_50_rate_pct_favorable,le_neg_60_rate_pct_first,le_neg_60_rate_pct_second,le_neg_60_rate_pct_diff,le_neg_60_rate_pct_favorable,positive_rate_pct_diff,ge_30_rate_pct_diff,le_neg_15_rate_pct_diff,le_neg_40_rate_pct_diff,return_auc,return_auc_effect,favorable,unfavorable,evaluable,filled_key_favorable,filled_key_unfavorable
P2-2,ELIGIBLE,CLOSED_ONLY,NORMAL_vs_WITHOUT_DIRECT,NORMAL_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,264,52,27.314,9.5244,17.7896,FAVORABLE,-3.645,-15.175,11.53,FAVORABLE,28.0303,19.2308,8.7995,FAVORABLE,12.1212,9.6154,2.5058,FAVORABLE,1.5152,0.0,1.5152,UNFAVORABLE,0.3788,0.0,0.3788,UNFAVORABLE,0.0,0.0,0.0,TIE,19.2599,9.8776,-15.5595,0.7576,0.5874,0.0874,4,2,True,,
P2-2,ELIGIBLE,CLOSED_ONLY,SKIPPED_vs_WITHOUT_DIRECT,SKIPPED_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,22,52,3.6691,9.5244,-5.8553,UNFAVORABLE,-15.155,-15.175,0.02,FAVORABLE,13.6364,19.2308,-5.5944,UNFAVORABLE,4.5455,9.6154,-5.0699,UNFAVORABLE,4.5455,0.0,4.5455,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-1.5735,-4.8951,2.6224,0.0,0.4628,-0.0372,1,4,True,,
P2-2,FILLED,ALL,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,138,37,29.2386,4.4089,24.8297,FAVORABLE,-7.93,-14.84,6.91,FAVORABLE,26.087,13.5135,12.5735,FAVORABLE,13.7681,8.1081,5.66,FAVORABLE,2.8986,2.7027,0.1959,UNFAVORABLE,0.7246,2.7027,-1.9781,FAVORABLE,0.0,0.0,0.0,TIE,20.0744,11.5159,-10.2428,-1.2534,0.6035,0.1035,5,1,True,3.0,0.0
P2-2,FILLED,ALL,NORMAL_vs_SKIPPED,NORMAL_EARLY_TREND_HANDOFF,SKIPPED_EARLY_TREND_HANDOFF,138,12,29.2386,-10.4192,39.6578,FAVORABLE,-7.93,-15.495,7.565,FAVORABLE,26.087,8.3333,17.7537,FAVORABLE,13.7681,0.0,13.7681,FAVORABLE,2.8986,8.3333,-5.4347,FAVORABLE,0.7246,8.3333,-7.6087,FAVORABLE,0.0,0.0,0.0,TIE,38.7681,22.1015,-28.2609,-6.884,0.6914,0.1914,6,0,True,3.0,0.0
P2-2,FILLED,ALL,NORMAL_vs_WITHOUT_DIRECT,NORMAL_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,138,25,29.2386,11.5264,17.7122,FAVORABLE,-7.93,-13.35,5.42,FAVORABLE,26.087,16.0,10.087,FAVORABLE,13.7681,12.0,1.7681,FAVORABLE,2.8986,0.0,2.8986,UNFAVORABLE,0.7246,0.0,0.7246,UNFAVORABLE,0.0,0.0,0.0,TIE,11.1014,6.4348,-1.5942,1.4493,0.5613,0.0613,4,2,True,3.0,0.0
P2-2,FILLED,ALL,SKIPPED_vs_WITHOUT_DIRECT,SKIPPED_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,12,25,-10.4192,11.5264,-21.9456,UNFAVORABLE,-15.495,-13.35,-2.145,UNFAVORABLE,8.3333,16.0,-7.6667,UNFAVORABLE,0.0,12.0,-12.0,UNFAVORABLE,8.3333,0.0,8.3333,UNFAVORABLE,8.3333,0.0,8.3333,UNFAVORABLE,0.0,0.0,0.0,TIE,-27.6667,-15.6667,26.6667,8.3333,0.35,-0.15,0,6,True,0.0,3.0
P2-2,FILLED,CLOSED_ONLY,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,132,30,28.2179,2.8503,25.3676,FAVORABLE,-10.15,-15.485,5.335,FAVORABLE,25.0,13.3333,11.6667,FAVORABLE,13.6364,10.0,3.6364,FAVORABLE,3.0303,0.0,3.0303,UNFAVORABLE,0.7576,0.0,0.7576,UNFAVORABLE,0.0,0.0,0.0,TIE,25.4545,12.8788,-16.5152,1.5152,0.6264,0.1264,4,2,True,3.0,0.0
P2-2,FILLED,CLOSED_ONLY,NORMAL_vs_SKIPPED,NORMAL_EARLY_TREND_HANDOFF,SKIPPED_EARLY_TREND_HANDOFF,132,10,28.2179,-6.209,34.4269,FAVORABLE,-10.15,-15.495,5.345,FAVORABLE,25.0,10.0,15.0,FAVORABLE,13.6364,0.0,13.6364,FAVORABLE,3.0303,0.0,3.0303,UNFAVORABLE,0.7576,0.0,0.7576,UNFAVORABLE,0.0,0.0,0.0,TIE,35.4545,19.5455,-29.8485,1.5152,0.6705,0.1705,4,2,True,3.0,0.0
P2-2,FILLED,CLOSED_ONLY,NORMAL_vs_WITHOUT_DIRECT,NORMAL_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,132,20,28.2179,7.38,20.8379,FAVORABLE,-10.15,-15.215,5.065,FAVORABLE,25.0,15.0,10.0,FAVORABLE,13.6364,15.0,-1.3636,UNFAVORABLE,3.0303,0.0,3.0303,UNFAVORABLE,0.7576,0.0,0.7576,UNFAVORABLE,0.0,0.0,0.0,TIE,20.4545,9.5455,-9.8485,1.5152,0.6044,0.1044,3,3,True,2.0,1.0
P2-2,FILLED,CLOSED_ONLY,SKIPPED_vs_WITHOUT_DIRECT,SKIPPED_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,10,20,-6.209,7.38,-13.589,UNFAVORABLE,-15.495,-15.215,-0.28,UNFAVORABLE,10.0,15.0,-5.0,UNFAVORABLE,0.0,15.0,-15.0,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-15.0,-10.0,20.0,0.0,0.425,-0.075,0,4,True,0.0,3.0
