window,layer,version,lifecycle_group,role,trades,mean_return,median_return,q25_return,q75_return,positive_rate_pct,ge_30_count,ge_30_rate_pct,ge_50_count,ge_50_rate_pct,ge_100_count,ge_100_rate_pct,le_neg_15_count,le_neg_15_rate_pct,le_neg_30_count,le_neg_30_rate_pct,le_neg_40_count,le_neg_40_rate_pct,le_neg_50_count,le_neg_50_rate_pct,le_neg_60_count,le_neg_60_rate_pct,open_at_cutoff_rate_pct,closed_rate_pct,holding_days_mean,holding_days_median,mfe_mean,mfe_median,mae_mean,mae_median,peak_giveback_mean,peak_giveback_median
P2-2,ELIGIBLE,ALL,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,273,29.5919,-0.46,-15.66,60.44,49.4505,93,34.0659,80,29.304,36,13.1868,96,35.1648,4,1.4652,2,0.7326,1,0.3663,0,0.0,3.2967,96.7033,200.5641,115.0,68.035,38.03,-14.7518,-15.58,38.4431,24.81
P2-2,ELIGIBLE,ALL,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,27,-3.2574,-15.38,-19.715,-9.015,22.2222,4,14.8148,3,11.1111,1,3.7037,16,59.2593,3,11.1111,2,7.4074,2,7.4074,1,3.7037,18.5185,81.4815,250.9259,66.0,34.2274,18.85,-21.9552,-17.22,37.4848,26.31
P2-2,ELIGIBLE,ALL,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,62,14.0665,-14.495,-15.975,32.1325,38.7097,17,27.4194,13,20.9677,5,8.0645,27,43.5484,0,0.0,0,0.0,0,0.0,0,0.0,16.129,83.871,241.3871,157.0,47.2979,22.505,-14.8834,-16.065,33.2315,25.43
P2-2,ELIGIBLE,ALL,COVERAGE_PATH_COMBINED,PRIMARY,89,8.8109,-14.79,-16.24,28.65,33.7079,21,23.5955,16,17.9775,6,6.7416,43,48.3146,3,3.3708,2,2.2472,2,2.2472,1,1.1236,16.8539,83.1461,244.2809,127.0,43.3327,22.34,-17.0288,-16.22,34.5218,25.62
P2-2,ELIGIBLE,ALL,NEVER_PROGRESSED,REFERENCE_ONLY,123,-11.477,-15.64,-16.675,-14.815,8.9431,3,2.439,3,2.439,0,0.0,87,70.7317,1,0.813,0,0.0,0,0.0,0,0.0,12.1951,87.8049,107.8455,51.0,15.8435,8.78,-16.7412,-16.92,27.3205,22.44
P2-2,ELIGIBLE,CLOSED_ONLY,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,264,27.314,-3.645,-15.7775,59.0125,48.1061,87,32.9545,74,28.0303,32,12.1212,96,36.3636,4,1.5152,2,0.7576,1,0.3788,0,0.0,0.0,100.0,200.2348,107.5,60.8036,34.65,-14.9355,-15.675,33.4897,24.215
P2-2,ELIGIBLE,CLOSED_ONLY,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,22,3.6691,-15.155,-16.96,16.0825,27.2727,4,18.1818,3,13.6364,1,4.5455,12,54.5455,1,4.5455,0,0.0,0,0.0,0,0.0,0.0,100.0,92.8636,61.5,34.4736,15.385,-17.9973,-17.195,30.8045,24.52
P2-2,ELIGIBLE,CLOSED_ONLY,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,52,9.5244,-15.175,-16.1575,19.735,28.8462,12,23.0769,10,19.2308,5,9.6154,27,51.9231,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,175.5,134.5,39.2648,13.74,-14.8204,-16.155,29.7404,24.515
P2-2,ELIGIBLE,CLOSED_ONLY,COVERAGE_PATH_COMBINED,PRIMARY,74,7.7836,-15.175,-16.2325,23.285,28.3784,16,21.6216,13,17.5676,6,8.1081,39,52.7027,1,1.3514,0,0.0,0,0.0,0,0.0,0.0,100.0,150.9324,94.5,37.8404,13.74,-15.7649,-16.385,30.0568,24.515
P2-2,ELIGIBLE,CLOSED_ONLY,NEVER_PROGRESSED,REFERENCE_ONLY,108,-16.0155,-15.875,-16.74,-15.245,0.0,0,0.0,0,0.0,0,0.0,87,80.5556,1,0.9259,0,0.0,0,0.0,0,0.0,0.0,100.0,89.1944,47.0,12.3211,7.56,-17.5264,-16.97,28.3366,23.245
