window,layer,comparison,extreme_contrast,feature,feature_kind,level,feature_role,n_group_rows,n_reference_rows,group_n,reference_n,group_median,reference_median,group_share_pct,reference_share_pct,auc,effect,effect_unit,profile_allowed,broad_pooled_effect,broad_pooled_grade,same_sign_as_broad
P2-1,ELIGIBLE,LOSS_ANY_vs_POSITIVE,False,range_position_24m,numeric,,ENTRY,225,130,209,119,0.5379,0.6485,,,0.4151,-0.0849,AUC-0.5,True,-0.0571,CONSISTENT,True
P2-1,ELIGIBLE,LOSS_ANY_vs_POSITIVE,False,wma12_vs_wma26_pct,numeric,,ENTRY,225,130,209,119,0.0371,0.041,,,0.4595,-0.0405,AUC-0.5,True,0.0077,WEAK,False
P2-1,ELIGIBLE,LOSS_ANY_vs_POSITIVE,False,close_vs_wma200_pct,numeric,,ENTRY,225,130,201,115,0.1327,0.1147,,,0.5291,0.0291,AUC-0.5,True,0.0144,WEAK,True
P2-1,ELIGIBLE,LOSS_ANY_vs_POSITIVE,False,post_breakout_min_low_vs_level_pct_26w,numeric,,ENTRY,225,130,82,54,-0.0414,-0.026,,,0.4447,-0.0553,AUC-0.5,True,-0.0284,WEAK,True
P2-1,ELIGIBLE,LOSS_ANY_vs_POSITIVE,False,market,categorical,KOSDAQ,ENTRY,225,130,225,130,,,21.7778,13.0769,,8.7009,share_pp,True,3.7284,WEAK,True
P2-1,ELIGIBLE,LOSS_ANY_vs_POSITIVE,False,entry_pattern_a_stage,categorical,EARLY_TREND,ENTRY,225,130,225,130,,,17.3333,13.8462,,3.4872,share_pp,True,-0.337,WEAK,False
P2-1,ELIGIBLE,LOSS_ANY_vs_POSITIVE,False,fast_score_state,categorical,PARTIAL,ENTRY,225,130,225,130,,,4.0,3.0769,,0.9231,share_pp,True,2.15,WEAK,True
P2-1,ELIGIBLE,LOSS_ANY_vs_POSITIVE,False,is_normal_handoff,numeric,,POST_ENTRY_LIFECYCLE,225,130,225,130,0.0,0.0,,,0.3294,-0.1706,AUC-0.5,True,,,
P2-1,ELIGIBLE,LOSS_ANY_vs_POSITIVE,False,is_coverage_path,numeric,,POST_ENTRY_LIFECYCLE,225,130,225,130,0.0,0.0,,,0.4895,-0.0105,AUC-0.5,True,,,
P2-1,ELIGIBLE,LOSS_30_vs_REST,False,pattern_a_score,numeric,,ENTRY,8,347,6,322,47.1266,60.0952,,,0.3499,-0.1501,AUC-0.5,False,-0.0092,WEAK,
P2-1,ELIGIBLE,LOSS_30_vs_REST,False,fast_score,numeric,,ENTRY,8,347,8,347,73.24,76.94,,,0.2354,-0.2646,AUC-0.5,False,0.06,CONSISTENT,
P2-1,ELIGIBLE,LOSS_30_vs_REST,False,market_cap_eok,numeric,,ENTRY,8,347,8,347,14316.5473,24521.7356,,,0.4117,-0.0883,AUC-0.5,False,-0.0144,WEAK,
P2-1,ELIGIBLE,LOSS_30_vs_REST,False,avg_trading_value_20d_eok,numeric,,ENTRY,8,347,6,322,406.425,199.73,,,0.5766,0.0766,AUC-0.5,False,0.0449,WEAK,
P2-1,ELIGIBLE,LOSS_30_vs_REST,False,wma52_slope_1w,numeric,,ENTRY,8,347,6,322,0.0039,0.003,,,0.5357,0.0357,AUC-0.5,False,0.1487,CONSISTENT,
P2-1,ELIGIBLE,LOSS_30_vs_REST,False,atr_14_pct,numeric,,ENTRY,8,347,6,322,0.0476,0.0362,,,0.6918,0.1918,AUC-0.5,False,0.0971,CONSISTENT,
P2-1,ELIGIBLE,LOSS_30_vs_REST,False,range_position_24m,numeric,,ENTRY,8,347,6,322,0.4606,0.5746,,,0.2945,-0.2055,AUC-0.5,False,0.0821,CONSISTENT,
P2-1,ELIGIBLE,LOSS_30_vs_REST,False,wma12_vs_wma26_pct,numeric,,ENTRY,8,347,6,322,0.0796,0.0379,,,0.56,0.06,AUC-0.5,False,0.0794,CONSISTENT,
P2-1,ELIGIBLE,LOSS_30_vs_REST,False,close_vs_wma200_pct,numeric,,ENTRY,8,347,6,310,0.103,0.1209,,,0.4624,-0.0376,AUC-0.5,False,0.0574,CONSISTENT,
P2-1,ELIGIBLE,LOSS_30_vs_REST,False,post_breakout_min_low_vs_level_pct_26w,numeric,,ENTRY,8,347,5,131,-0.0636,-0.0322,,,0.371,-0.129,AUC-0.5,False,-0.0828,CONSISTENT,
P2-1,ELIGIBLE,LOSS_30_vs_REST,False,market,categorical,KOSDAQ,ENTRY,8,347,8,347,,,62.5,17.5793,,44.9207,share_pp,False,16.2998,CONSISTENT,
P2-1,ELIGIBLE,LOSS_30_vs_REST,False,entry_pattern_a_stage,categorical,EARLY_TREND,ENTRY,8,347,8,347,,,0.0,16.4265,,-16.4265,share_pp,False,2.6634,WEAK,
P2-1,ELIGIBLE,LOSS_30_vs_REST,False,fast_score_state,categorical,PARTIAL,ENTRY,8,347,8,347,,,0.0,3.7464,,-3.7464,share_pp,False,1.506,WEAK,
P2-1,ELIGIBLE,LOSS_30_vs_REST,False,is_normal_handoff,numeric,,POST_ENTRY_LIFECYCLE,8,347,8,347,0.0,0.0,,,0.3588,-0.1412,AUC-0.5,False,,,
P2-1,ELIGIBLE,LOSS_30_vs_REST,False,is_coverage_path,numeric,,POST_ENTRY_LIFECYCLE,8,347,8,347,1.0,0.0,,,0.8482,0.3482,AUC-0.5,False,,,
P2-1,ELIGIBLE,LOSS_50_vs_REST,False,pattern_a_score,numeric,,ENTRY,0,355,0,328,,60.0952,,,,,AUC-0.5,False,-0.0771,CONSISTENT,
P2-1,ELIGIBLE,LOSS_50_vs_REST,False,fast_score,numeric,,ENTRY,0,355,0,355,,76.94,,,,,AUC-0.5,False,0.0316,WEAK,
P2-1,ELIGIBLE,LOSS_50_vs_REST,False,market_cap_eok,numeric,,ENTRY,0,355,0,355,,24513.5216,,,,,AUC-0.5,False,0.0032,WEAK,
