window,layer,comparison,extreme_contrast,feature,feature_kind,level,feature_role,n_group_rows,n_reference_rows,group_n,reference_n,group_median,reference_median,group_share_pct,reference_share_pct,auc,effect,effect_unit,profile_allowed,broad_pooled_effect,broad_pooled_grade,same_sign_as_broad
P2-1,FILLED,WIN_100_vs_REST,False,market,categorical,KOSDAQ,ENTRY,8,191,8,191,,,0.0,16.2304,,-16.2304,share_pp,False,-0.6041,WEAK,
P2-1,FILLED,WIN_100_vs_REST,False,entry_pattern_a_stage,categorical,EARLY_TREND,ENTRY,8,191,8,191,,,25.0,18.8482,,6.1518,share_pp,False,-3.5803,WEAK,
P2-1,FILLED,WIN_100_vs_REST,False,fast_score_state,categorical,PARTIAL,ENTRY,8,191,8,191,,,12.5,4.1885,,8.3115,share_pp,False,-1.8268,WEAK,
P2-1,FILLED,WIN_100_vs_REST,False,is_normal_handoff,numeric,,POST_ENTRY_LIFECYCLE,8,191,8,191,1.0,0.0,,,0.7467,0.2467,AUC-0.5,False,,,
P2-1,FILLED,WIN_100_vs_REST,False,is_coverage_path,numeric,,POST_ENTRY_LIFECYCLE,8,191,8,191,0.0,0.0,,,0.5438,0.0438,AUC-0.5,False,,,
P2-1,FILLED,LOSS_ANY_vs_POSITIVE,False,pattern_a_score,numeric,,ENTRY,128,71,124,68,64.29,60.5118,,,0.525,0.025,AUC-0.5,True,-0.0137,WEAK,False
P2-1,FILLED,LOSS_ANY_vs_POSITIVE,False,fast_score,numeric,,ENTRY,128,71,128,71,76.17,77.05,,,0.4732,-0.0268,AUC-0.5,True,-0.0353,WEAK,True
P2-1,FILLED,LOSS_ANY_vs_POSITIVE,False,market_cap_eok,numeric,,ENTRY,128,71,128,71,28506.0712,33892.1384,,,0.4794,-0.0206,AUC-0.5,True,0.0155,WEAK,False
P2-1,FILLED,LOSS_ANY_vs_POSITIVE,False,avg_trading_value_20d_eok,numeric,,ENTRY,128,71,124,68,218.105,253.605,,,0.5007,0.0007,AUC-0.5,True,0.0506,CONSISTENT,True
P2-1,FILLED,LOSS_ANY_vs_POSITIVE,False,wma52_slope_1w,numeric,,ENTRY,128,71,124,68,0.0026,0.0031,,,0.4235,-0.0765,AUC-0.5,True,-0.0309,WEAK,True
P2-1,FILLED,LOSS_ANY_vs_POSITIVE,False,atr_14_pct,numeric,,ENTRY,128,71,124,68,0.0366,0.0348,,,0.5645,0.0645,AUC-0.5,True,0.0525,CONSISTENT,True
P2-1,FILLED,LOSS_ANY_vs_POSITIVE,False,range_position_24m,numeric,,ENTRY,128,71,124,68,0.5447,0.678,,,0.3901,-0.1099,AUC-0.5,True,-0.0571,CONSISTENT,True
