window,layer,version,lifecycle_group,role,trades,mean_return,median_return,q25_return,q75_return,positive_rate_pct,ge_30_count,ge_30_rate_pct,ge_50_count,ge_50_rate_pct,ge_100_count,ge_100_rate_pct,le_neg_15_count,le_neg_15_rate_pct,le_neg_30_count,le_neg_30_rate_pct,le_neg_40_count,le_neg_40_rate_pct,le_neg_50_count,le_neg_50_rate_pct,le_neg_60_count,le_neg_60_rate_pct,open_at_cutoff_rate_pct,closed_rate_pct,holding_days_mean,holding_days_median,mfe_mean,mfe_median,mae_mean,mae_median,peak_giveback_mean,peak_giveback_median,net_realized_closed_n,net_realized_mean,net_realized_median
P2-1,FILLED,ALL,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,55,24.8331,14.32,-15.195,30.59,63.6364,14,25.4545,10,18.1818,6,10.9091,16,29.0909,0,0.0,0,0.0,0,0.0,0,0.0,3.6364,96.3636,191.9818,97.0,56.1624,40.44,-11.8678,-11.84,31.3293,21.64,53,23.9124,13.791
P2-1,FILLED,ALL,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,16,-0.1381,-15.155,-21.36,14.405,31.25,3,18.75,2,12.5,1,6.25,9,56.25,3,18.75,1,6.25,0,0.0,0,0.0,31.25,68.75,385.0625,116.5,33.0969,23.325,-26.93,-18.275,33.235,26.32,11,-1.6794,-15.501
P2-1,FILLED,ALL,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,17,1.2024,-14.52,-16.07,1.53,29.4118,3,17.6471,1,5.8824,1,5.8824,6,35.2941,1,5.8824,0,0.0,0,0.0,0,0.0,23.5294,76.4706,235.4118,117.0,30.4465,13.85,-16.0271,-15.87,29.2441,22.72,13,-2.689,-15.3394
P2-1,FILLED,ALL,COVERAGE_PATH_COMBINED,PRIMARY,33,0.5524,-14.84,-16.43,11.89,30.303,6,18.1818,3,9.0909,2,6.0606,15,45.4545,4,12.1212,1,3.0303,0,0.0,0,0.0,27.2727,72.7273,307.9697,117.0,31.7315,19.73,-21.3133,-16.6,31.1791,25.66,24,-2.2263,-15.4202
P2-1,FILLED,ALL,NEVER_PROGRESSED,REFERENCE_ONLY,111,-6.4103,-15.35,-16.54,-12.85,23.4234,8,7.2072,4,3.6036,0,0.0,70,63.0631,1,0.9009,0,0.0,0,0.0,0,0.0,24.3243,75.6757,118.7477,61.0,17.14,9.94,-15.2387,-16.57,23.5503,19.21,84,-16.7603,-16.3406
P2-1,FILLED,CLOSED_ONLY,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,53,24.4528,14.32,-15.25,29.8,62.2642,13,24.5283,9,16.9811,6,11.3208,16,30.1887,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,160.8679,97.0,56.0668,36.3,-11.5732,-11.84,31.614,21.64,53,23.9124,13.791
P2-1,FILLED,CLOSED_ONLY,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,11,-1.2518,-15.11,-15.495,-0.925,27.2727,2,18.1818,1,9.0909,0,0.0,6,54.5455,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,102.0,66.0,27.2273,18.85,-16.9545,-17.18,28.4791,26.31,11,-1.6794,-15.501
P2-1,FILLED,CLOSED_ONLY,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,13,-2.2577,-14.95,-16.43,-14.45,15.3846,2,15.3846,1,7.6923,1,7.6923,6,46.1538,1,7.6923,0,0.0,0,0.0,0,0.0,0.0,100.0,106.6154,76.0,25.7877,9.22,-17.1962,-16.46,28.0454,22.72,13,-2.689,-15.3394
P2-1,FILLED,CLOSED_ONLY,COVERAGE_PATH_COMBINED,PRIMARY,24,-1.7967,-15.03,-16.16,-14.04,20.8333,4,16.6667,2,8.3333,1,4.1667,12,50.0,1,4.1667,0,0.0,0,0.0,0,0.0,0.0,100.0,104.5,71.0,26.4475,12.42,-17.0854,-16.53,28.2442,24.665,24,-2.2263,-15.4202
P2-1,FILLED,CLOSED_ONLY,NEVER_PROGRESSED,REFERENCE_ONLY,84,-16.3968,-15.955,-16.8075,-15.25,0.0,0,0.0,0,0.0,0,0.0,70,83.3333,1,1.1905,0,0.0,0,0.0,0,0.0,0.0,100.0,99.3452,50.0,12.2329,5.935,-17.5464,-16.965,28.6296,21.855,84,-16.7603,-16.3406
