request_index,request_started_at,previous_request_started_at,interval_seconds,endpoint_class,sector_code,page,page_size,http_status,content_type,content_length,response_sha256,response_prefix_sha256,block_markers,elapsed_seconds,secrets_recorded,response_count,response_count_basis
14,2026-09-02T00:45:56.231265+00:00,2026-09-02T00:45:54.228277+00:00,2.003,sector_detail,298.0,1.0,100.0,200,text/html;charset=EUC-KR,73145,87be556136005a4cd57cfbe5d63544a102d3ecfa2658d865099ef044a1bed718,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.061,False,20,parsed_rows_from_deduplicated_raw_snapshot
15,2026-09-02T00:45:58.235114+00:00,2026-09-02T00:45:56.231265+00:00,2.004,sector_detail,294.0,1.0,100.0,200,text/html;charset=EUC-KR,119716,77bcb8f608fed4667c10f2af4ad92af6ed73e7589981762b243b347ac9a8fd81,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.046,False,55,parsed_rows_from_deduplicated_raw_snapshot
16,2026-09-02T00:46:00.240138+00:00,2026-09-02T00:45:58.235114+00:00,2.005,sector_detail,290.0,1.0,100.0,200,text/html;charset=EUC-KR,78302,64278b007310309af1d4c49ac53bb7f01615f92e5a0c94e546dcb91ae37c079e,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.035,False,24,parsed_rows_from_deduplicated_raw_snapshot
17,2026-09-02T00:46:02.243990+00:00,2026-09-02T00:46:00.240138+00:00,2.004,sector_detail,310.0,1.0,100.0,200,text/html;charset=EUC-KR,71682,3ca2f1531fd37c99db90491d4a51bb5057e64d60f30623e25832437b46b8a7ed,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.042,False,19,parsed_rows_from_deduplicated_raw_snapshot
18,2026-09-02T00:46:04.249007+00:00,2026-09-02T00:46:02.243990+00:00,2.005,sector_detail,327.0,1.0,100.0,200,text/html;charset=EUC-KR,54348,9b93521bab99530909088a1970dca7c40b4b12956de12de51038b7da0a5cdec1,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.044,False,6,parsed_rows_from_deduplicated_raw_snapshot
19,2026-09-02T00:46:06.249387+00:00,2026-09-02T00:46:04.249007+00:00,2.0,sector_detail,321.0,1.0,100.0,200,text/html;charset=EUC-KR,98620,d04fcaac1c23d0d011e8f17411b9fe6773b0c17e11a839333b6251a2d0bb2c87,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.061,False,39,parsed_rows_from_deduplicated_raw_snapshot
20,2026-09-02T00:46:08.254421+00:00,2026-09-02T00:46:06.249387+00:00,2.005,sector_detail,337.0,1.0,100.0,200,text/html;charset=EUC-KR,47724,cb893790c62b33ccbbd5f32b3cd6ec9de38b5faf429ab08488b351106ca5f0b7,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.045,False,1,parsed_rows_from_deduplicated_raw_snapshot
21,2026-09-02T00:46:10.259421+00:00,2026-09-02T00:46:08.254421+00:00,2.005,sector_detail,320.0,1.0,100.0,200,text/html;charset=EUC-KR,61118,fc46b6f447cda7364878d0c6938797a9f7027c4c42e4909bdb821ec9eb86c550,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.042,False,11,parsed_rows_from_deduplicated_raw_snapshot
22,2026-09-02T00:46:12.262437+00:00,2026-09-02T00:46:10.259421+00:00,2.003,sector_detail,332.0,1.0,100.0,200,text/html;charset=EUC-KR,47721,d1870ae8cf0ce1da7c0a36aaf629fb68c58e65423f833651ef1eb4edfe73267f,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.053,False,1,parsed_rows_from_deduplicated_raw_snapshot
23,2026-09-02T00:46:14.265466+00:00,2026-09-02T00:46:12.262437+00:00,2.003,sector_detail,309.0,1.0,100.0,200,text/html;charset=EUC-KR,67648,3af1c7419ce609de593822929d8648541afa26d97b3f9d5e3a735e73643587d5,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.038,False,16,parsed_rows_from_deduplicated_raw_snapshot
24,2026-09-02T00:46:16.270494+00:00,2026-09-02T00:46:14.265466+00:00,2.005,sector_detail,271.0,1.0,100.0,200,text/html;charset=EUC-KR,63776,5781096176ac06e386623748a7dd668348c67dc1050dea47e30ffbb97ce9e4b3,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.046,False,13,parsed_rows_from_deduplicated_raw_snapshot
25,2026-09-02T00:46:18.275498+00:00,2026-09-02T00:46:16.270494+00:00,2.005,sector_detail,302.0,1.0,100.0,200,text/html;charset=EUC-KR,55781,95f59f4e0b28f591664fdf46f18e2c9419e0e2f9bd13390ce2b8a8b963af7ca1,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.032,False,7,parsed_rows_from_deduplicated_raw_snapshot
26,2026-09-02T00:46:20.276439+00:00,2026-09-02T00:46:18.275498+00:00,2.001,sector_detail,318.0,1.0,100.0,200,text/html;charset=EUC-KR,65119,75591c2471d36bfd436c0e89835e3efff5745d48fbe82e24f35e8ae79e9d787d,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.033,False,14,parsed_rows_from_deduplicated_raw_snapshot
27,2026-09-02T00:46:22.281443+00:00,2026-09-02T00:46:20.276439+00:00,2.005,sector_detail,303.0,1.0,100.0,200,text/html;charset=EUC-KR,61001,aa50b7f3030d4770caf6ef75a2e8c40765fe61077282badd920e7d0b69fc98bd,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.042,False,11,parsed_rows_from_deduplicated_raw_snapshot
28,2026-09-02T00:46:24.286450+00:00,2026-09-02T00:46:22.281443+00:00,2.005,sector_detail,293.0,1.0,100.0,200,text/html;charset=EUC-KR,74423,efe64c4e169dfa7442462bddba2005fc7342dff90dd5bfc89f3485e23fa5e297,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.041,False,21,parsed_rows_from_deduplicated_raw_snapshot
29,2026-09-02T00:46:26.288962+00:00,2026-09-02T00:46:24.286450+00:00,2.003,sector_detail,274.0,1.0,100.0,200,text/html;charset=EUC-KR,156031,49e15deaeff8c0e70167bb8f927655910d7e9a68c1e64fac219ea0e725d15042,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.054,False,82,parsed_rows_from_deduplicated_raw_snapshot
30,2026-09-02T00:46:28.293981+00:00,2026-09-02T00:46:26.288962+00:00,2.005,sector_detail,288.0,1.0,100.0,200,text/html;charset=EUC-KR,62484,e214a781739426d800cd36fa528d4d80a24e368d717f30455d95fd1a115d0242,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.029,False,12,parsed_rows_from_deduplicated_raw_snapshot
31,2026-09-02T00:46:30.295821+00:00,2026-09-02T00:46:28.293981+00:00,2.002,sector_detail,324.0,1.0,100.0,200,text/html;charset=EUC-KR,87650,a281babede837c3c1150ac76b9087bc2f5fd413412ab0646cbb43e75bba2f94e,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.044,False,31,parsed_rows_from_deduplicated_raw_snapshot
32,2026-09-02T00:46:32.299669+00:00,2026-09-02T00:46:30.295821+00:00,2.004,sector_detail,311.0,1.0,100.0,200,text/html;charset=EUC-KR,82507,7c7bf3c86ad0fd46ba3dc26246ad6e4da041d219dc552ba8551595f196e3855c,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.086,False,27,parsed_rows_from_deduplicated_raw_snapshot
33,2026-09-02T00:46:34.301930+00:00,2026-09-02T00:46:32.299669+00:00,2.002,sector_detail,266.0,1.0,100.0,200,text/html;charset=EUC-KR,133433,ed4507674f5340d1f6a6d11d209669d07e26d09d2aafe9fc316be79938bc38fc,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.059,False,65,parsed_rows_from_deduplicated_raw_snapshot
34,2026-09-02T00:46:36.306955+00:00,2026-09-02T00:46:34.301930+00:00,2.005,sector_detail,336.0,1.0,100.0,200,text/html;charset=EUC-KR,50445,dd8ab24b416f9bcb0320214016716ece90719c6f93b18db80edcdf2caa83f330,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.033,False,3,parsed_rows_from_deduplicated_raw_snapshot
35,2026-09-02T00:46:38.311954+00:00,2026-09-02T00:46:36.306955+00:00,2.005,sector_detail,265.0,1.0,100.0,200,text/html;charset=EUC-KR,63727,8096faf172c60f8d958d487bb3540410bc4ebcf14e7f7df0d9e5f0714c5f0333,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.054,False,13,parsed_rows_from_deduplicated_raw_snapshot
36,2026-09-02T00:46:40.316984+00:00,2026-09-02T00:46:38.311954+00:00,2.005,sector_detail,315.0,1.0,100.0,200,text/html;charset=EUC-KR,62530,7fcfb4a24c7960e2ea12f73944f470b97d0e18113e611040e8081c895d4eee0d,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.042,False,12,parsed_rows_from_deduplicated_raw_snapshot
37,2026-09-02T00:46:42.321389+00:00,2026-09-02T00:46:40.316984+00:00,2.004,sector_detail,331.0,1.0,100.0,200,text/html;charset=EUC-KR,47748,108bfcf52bafa999e572c49282105ef46173bf2d2b923f5751e437de568e8d53,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.037,False,1,parsed_rows_from_deduplicated_raw_snapshot
38,2026-09-02T00:46:44.325653+00:00,2026-09-02T00:46:42.321389+00:00,2.004,sector_detail,300.0,1.0,100.0,200,text/html;charset=EUC-KR,67890,63d9f3aef0c6e0be93a8df1c1328b8365ed7116935c50b1fede97fda54c2c6e4,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.047,False,16,parsed_rows_from_deduplicated_raw_snapshot
