interpretation,comparison,group,reference,extreme_contrast,feature,feature_kind,level,n_group_rows,n_reference_rows,group_n,group_mean,group_median,group_q25,group_q75,reference_n,reference_mean,reference_median,reference_q25,reference_q75,median_difference,mean_difference,auc,effect,effect_unit,direction,grade,window_signs_P1_P21_P22_P31_P32,disjoint_signs_pre2021_from2021,qualifying_windows,windows_same_sign,disjoint_evaluable,disjoint_same_sign,group_share_pct,reference_share_pct,group_level_count,reference_level_count
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,exit_type,categorical,LOSS_GUARD_CLOSE_LE_NEG_15,830,4550,830,,,,,4550,,,,,,,,-72.7253,share_pp,LOWER_IN_GROUP,CONSISTENT,-----,--,5,5,True,2,0.0,72.7253,0.0,3309.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,exit_type,categorical,NO_EXIT_BEFORE_CUTOFF,830,4550,830,,,,,4550,,,,,,,,1.5885,share_pp,HIGHER_IN_GROUP,WEAK,+++++,-+,5,5,True,1,4.8193,3.2308,40.0,147.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,exit_type,categorical,NO_PROGRESSED_BEFORE_CUTOFF,830,4550,830,,,,,4550,,,,,,,,-1.2332,share_pp,LOWER_IN_GROUP,WEAK,-----,+-,5,5,True,1,0.7229,1.956,6.0,89.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,trade_status,categorical,OPEN_AT_CUTOFF,830,4550,830,,,,,4550,,,,,,,,0.3554,share_pp,HIGHER_IN_GROUP,WEAK,+++++,-+,5,5,True,1,5.5422,5.1868,46.0,236.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,trade_status,categorical,REALIZED,830,4550,830,,,,,4550,,,,,,,,-0.3554,share_pp,LOWER_IN_GROUP,WEAK,-----,+-,5,5,True,1,94.4578,94.8132,784.0,4314.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,loss_guard_triggered,categorical,False,830,4550,830,,,,,4550,,,,,,,,72.7253,share_pp,HIGHER_IN_GROUP,CONSISTENT,+++++,++,5,5,True,2,100.0,27.2747,830.0,1241.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,loss_guard_triggered,categorical,True,830,4550,830,,,,,4550,,,,,,,,-72.7253,share_pp,LOWER_IN_GROUP,CONSISTENT,-----,--,5,5,True,2,0.0,72.7253,0.0,3309.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,days_to_first_progressed,numeric,,346,5034,346,260.8382,169.5,116.0,283.5,3956,629.4977,277.0,134.75,893.0,-107.5,-368.6595,0.3587,-0.1413,AUC-0.5,LOWER_IN_GROUP,CONSISTENT,-----,--,5,5,True,2,,,,
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,holding_days,numeric,,346,5034,346,585.6069,284.5,139.25,906.5,5034,190.6224,81.0,29.0,177.0,203.5,394.9845,0.8008,0.3008,AUC-0.5,HIGHER_IN_GROUP,CONSISTENT,+++++,++,5,5,True,2,,,,
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,mfe,numeric,,346,5034,346,309.6354,211.115,157.69,343.61,5034,38.1082,19.03,5.47,54.305,192.085,271.5272,0.9814,0.4814,AUC-0.5,HIGHER_IN_GROUP,CONSISTENT,+++++,++,5,5,True,2,,,,
