comparison,group,reference,extreme_contrast,feature,feature_kind,level,scope,group_n,reference_n,group_median,reference_median,group_share_pct,reference_share_pct,auc,effect,effect_unit
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,entry_kind,categorical,REENTRY,WINDOW_P2-2,336,2088,,,46.131,41.7146,,4.4164,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,entry_kind,categorical,REENTRY,WINDOW_P3-1,106,1067,,,35.8491,26.4292,,9.4198,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,entry_kind,categorical,REENTRY,WINDOW_P3-2,249,1543,,,43.7751,33.1821,,10.593,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,entry_kind,categorical,REENTRY,ENTRY_BEFORE_2021,480,2409,,,44.375,50.6849,,-6.3099,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,entry_kind,categorical,REENTRY,ENTRY_FROM_2021,350,2141,,,69.7143,71.0883,,-1.374,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,fast_conditional_status,categorical,EVENT_OBSERVED,WINDOW_P1,757,4225,,,37.7807,38.4615,,-0.6808,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,fast_conditional_status,categorical,EVENT_OBSERVED,WINDOW_P2-1,187,1613,,,43.3155,40.1736,,3.1419,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,fast_conditional_status,categorical,EVENT_OBSERVED,WINDOW_P2-2,336,2088,,,42.8571,40.8046,,2.0525,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,fast_conditional_status,categorical,EVENT_OBSERVED,WINDOW_P3-1,106,1067,,,46.2264,39.269,,6.9574,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,fast_conditional_status,categorical,EVENT_OBSERVED,WINDOW_P3-2,249,1543,,,43.3735,40.5703,,2.8032,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,fast_conditional_status,categorical,EVENT_OBSERVED,ENTRY_BEFORE_2021,480,2409,,,35.8333,36.6542,,-0.8209,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,fast_conditional_status,categorical,EVENT_OBSERVED,ENTRY_FROM_2021,350,2141,,,43.7143,40.8688,,2.8455,share_pp
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,investability_status,categorical,FILTERED_LIQUIDITY,WINDOW_P1,757,4225,,,5.5482,3.6686,,1.8796,share_pp
