comparison,group,reference,extreme_contrast,feature,feature_kind,level,scope,group_n,reference_n,group_median,reference_median,group_share_pct,reference_share_pct,auc,effect,effect_unit
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,distance_to_prior_26w_high_pct,numeric,,WINDOW_P2-2,336,2088,0.0049,0.0094,,,0.4879,-0.0121,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,distance_to_prior_26w_high_pct,numeric,,WINDOW_P3-1,106,1067,0.004,0.0087,,,0.4801,-0.0199,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,distance_to_prior_26w_high_pct,numeric,,WINDOW_P3-2,249,1543,0.0047,0.0086,,,0.4818,-0.0182,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,distance_to_prior_26w_high_pct,numeric,,ENTRY_BEFORE_2021,480,2409,0.0108,0.0116,,,0.4915,-0.0085,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,distance_to_prior_26w_high_pct,numeric,,ENTRY_FROM_2021,350,2141,0.0047,0.0094,,,0.4831,-0.0169,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,close_vs_wma200_pct,numeric,,WINDOW_P1,729,3992,0.1387,0.1651,,,0.4781,-0.0219,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,close_vs_wma200_pct,numeric,,WINDOW_P2-1,177,1536,0.1421,0.1515,,,0.4834,-0.0166,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,close_vs_wma200_pct,numeric,,WINDOW_P2-2,323,1988,0.1191,0.1371,,,0.4818,-0.0182,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,close_vs_wma200_pct,numeric,,WINDOW_P3-1,99,1018,0.1861,0.145,,,0.5253,0.0253,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,close_vs_wma200_pct,numeric,,WINDOW_P3-2,240,1471,0.1195,0.128,,,0.4995,-0.0005,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,close_vs_wma200_pct,numeric,,ENTRY_BEFORE_2021,463,2275,0.1482,0.1892,,,0.4679,-0.0321,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,close_vs_wma200_pct,numeric,,ENTRY_FROM_2021,337,2042,0.1101,0.1371,,,0.4751,-0.0249,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,higher_weekly_low_count_13w,numeric,,WINDOW_P1,757,4225,8.0,8.0,,,0.4948,-0.0052,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,higher_weekly_low_count_13w,numeric,,WINDOW_P2-1,187,1613,8.0,8.0,,,0.5003,0.0003,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,higher_weekly_low_count_13w,numeric,,WINDOW_P2-2,336,2088,8.0,8.0,,,0.4705,-0.0295,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,higher_weekly_low_count_13w,numeric,,WINDOW_P3-1,106,1067,8.0,8.0,,,0.522,0.022,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,higher_weekly_low_count_13w,numeric,,WINDOW_P3-2,249,1543,8.0,8.0,,,0.4862,-0.0138,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,higher_weekly_low_count_13w,numeric,,ENTRY_BEFORE_2021,480,2409,8.0,8.0,,,0.5097,0.0097,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,higher_weekly_low_count_13w,numeric,,ENTRY_FROM_2021,350,2141,8.0,8.0,,,0.4786,-0.0214,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,wma52_slope_1w,numeric,,WINDOW_P1,757,4225,0.0033,0.0038,,,0.4683,-0.0317,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,wma52_slope_1w,numeric,,WINDOW_P2-1,187,1613,0.0045,0.0041,,,0.5296,0.0296,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,wma52_slope_1w,numeric,,WINDOW_P2-2,336,2088,0.0038,0.0044,,,0.4793,-0.0207,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,wma52_slope_1w,numeric,,WINDOW_P3-1,106,1067,0.003,0.0028,,,0.5245,0.0245,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,wma52_slope_1w,numeric,,WINDOW_P3-2,249,1543,0.0027,0.0035,,,0.4694,-0.0306,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,wma52_slope_1w,numeric,,ENTRY_BEFORE_2021,480,2409,0.0031,0.0035,,,0.4694,-0.0306,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,wma52_slope_1w,numeric,,ENTRY_FROM_2021,350,2141,0.0037,0.0043,,,0.4742,-0.0258,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,wma12_vs_wma26_pct,numeric,,WINDOW_P1,757,4225,0.0405,0.0457,,,0.4612,-0.0388,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,wma12_vs_wma26_pct,numeric,,WINDOW_P2-1,187,1613,0.0507,0.0479,,,0.5151,0.0151,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,wma12_vs_wma26_pct,numeric,,WINDOW_P2-2,336,2088,0.0485,0.0481,,,0.4972,-0.0028,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,wma12_vs_wma26_pct,numeric,,WINDOW_P3-1,106,1067,0.0439,0.0401,,,0.5079,0.0079,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,wma12_vs_wma26_pct,numeric,,WINDOW_P3-2,249,1543,0.0422,0.043,,,0.4907,-0.0093,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,wma12_vs_wma26_pct,numeric,,ENTRY_BEFORE_2021,480,2409,0.039,0.0448,,,0.4491,-0.0509,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,wma12_vs_wma26_pct,numeric,,ENTRY_FROM_2021,350,2141,0.0466,0.0474,,,0.4962,-0.0038,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,weeks_since_26w_close_breakout,numeric,,WINDOW_P1,757,4225,0.0,0.0,,,0.4933,-0.0067,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,weeks_since_26w_close_breakout,numeric,,WINDOW_P2-1,187,1613,0.0,0.0,,,0.5205,0.0205,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,weeks_since_26w_close_breakout,numeric,,WINDOW_P2-2,336,2088,0.0,0.0,,,0.5092,0.0092,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,weeks_since_26w_close_breakout,numeric,,WINDOW_P3-1,106,1067,0.0,0.0,,,0.5392,0.0392,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,weeks_since_26w_close_breakout,numeric,,WINDOW_P3-2,249,1543,0.0,0.0,,,0.5077,0.0077,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,weeks_since_26w_close_breakout,numeric,,ENTRY_BEFORE_2021,480,2409,0.0,0.0,,,0.4945,-0.0055,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,weeks_since_26w_close_breakout,numeric,,ENTRY_FROM_2021,350,2141,0.0,0.0,,,0.5122,0.0122,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,post_breakout_min_low_vs_level_pct_26w,numeric,,WINDOW_P1,286,1625,-0.0394,-0.0421,,,0.5041,0.0041,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,post_breakout_min_low_vs_level_pct_26w,numeric,,WINDOW_P2-1,81,648,-0.0483,-0.0397,,,0.4659,-0.0341,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,post_breakout_min_low_vs_level_pct_26w,numeric,,WINDOW_P2-2,144,852,-0.0336,-0.0396,,,0.5183,0.0183,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,post_breakout_min_low_vs_level_pct_26w,numeric,,WINDOW_P3-1,49,419,-0.0615,-0.0418,,,0.4068,-0.0932,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,post_breakout_min_low_vs_level_pct_26w,numeric,,WINDOW_P3-2,108,626,-0.0383,-0.042,,,0.5099,0.0099,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,post_breakout_min_low_vs_level_pct_26w,numeric,,ENTRY_BEFORE_2021,172,883,-0.0469,-0.044,,,0.4955,-0.0045,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,post_breakout_min_low_vs_level_pct_26w,numeric,,ENTRY_FROM_2021,153,875,-0.0372,-0.0401,,,0.5158,0.0158,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,recent_5d_max_gap_abs_pct,numeric,,WINDOW_P1,757,4225,0.0153,0.0165,,,0.4825,-0.0175,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,recent_5d_max_gap_abs_pct,numeric,,WINDOW_P2-1,187,1613,0.016,0.0162,,,0.5079,0.0079,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,recent_5d_max_gap_abs_pct,numeric,,WINDOW_P2-2,336,2088,0.0156,0.0166,,,0.4892,-0.0108,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,recent_5d_max_gap_abs_pct,numeric,,WINDOW_P3-1,106,1067,0.0145,0.0155,,,0.4864,-0.0136,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,recent_5d_max_gap_abs_pct,numeric,,WINDOW_P3-2,249,1543,0.0151,0.0164,,,0.4707,-0.0293,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,recent_5d_max_gap_abs_pct,numeric,,ENTRY_BEFORE_2021,480,2409,0.0151,0.0163,,,0.4758,-0.0242,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,recent_5d_max_gap_abs_pct,numeric,,ENTRY_FROM_2021,350,2141,0.0154,0.0166,,,0.4855,-0.0145,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,atr_14_pct,numeric,,WINDOW_P1,757,4225,0.0396,0.0429,,,0.4483,-0.0517,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,atr_14_pct,numeric,,WINDOW_P2-1,187,1613,0.042,0.0428,,,0.5026,0.0026,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,atr_14_pct,numeric,,WINDOW_P2-2,336,2088,0.0402,0.0436,,,0.4657,-0.0343,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,atr_14_pct,numeric,,WINDOW_P3-1,106,1067,0.041,0.0425,,,0.5015,0.0015,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,atr_14_pct,numeric,,WINDOW_P3-2,249,1543,0.04,0.0436,,,0.4509,-0.0491,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,atr_14_pct,numeric,,ENTRY_BEFORE_2021,480,2409,0.0384,0.0419,,,0.4441,-0.0559,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,atr_14_pct,numeric,,ENTRY_FROM_2021,350,2141,0.0398,0.0433,,,0.4559,-0.0441,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,market_cap_eok,numeric,,WINDOW_P1,757,4225,1659.0,1864.79,,,0.4684,-0.0316,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,market_cap_eok,numeric,,WINDOW_P2-1,187,1613,2276.74,2467.65,,,0.4956,-0.0044,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,market_cap_eok,numeric,,WINDOW_P2-2,336,2088,3270.595,2291.925,,,0.5669,0.0669,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,market_cap_eok,numeric,,WINDOW_P3-1,106,1067,3976.33,2866.24,,,0.5848,0.0848,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,market_cap_eok,numeric,,WINDOW_P3-2,249,1543,5363.61,2552.58,,,0.6298,0.1298,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,market_cap_eok,numeric,,ENTRY_BEFORE_2021,480,2409,1162.715,1619.03,,,0.4154,-0.0846,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,market_cap_eok,numeric,,ENTRY_FROM_2021,350,2141,3591.855,2311.79,,,0.5777,0.0777,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,avg_trading_value_20d_eok,numeric,,WINDOW_P1,757,4225,17.25,24.8,,,0.4407,-0.0593,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,avg_trading_value_20d_eok,numeric,,WINDOW_P2-1,187,1613,35.89,38.98,,,0.4899,-0.0101,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,avg_trading_value_20d_eok,numeric,,WINDOW_P2-2,336,2088,39.27,33.54,,,0.5268,0.0268,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,avg_trading_value_20d_eok,numeric,,WINDOW_P3-1,106,1067,50.925,34.57,,,0.5603,0.0603,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,avg_trading_value_20d_eok,numeric,,WINDOW_P3-2,249,1543,50.37,28.2,,,0.5789,0.0789,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,avg_trading_value_20d_eok,numeric,,ENTRY_BEFORE_2021,480,2409,10.62,20.97,,,0.3893,-0.1107,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,avg_trading_value_20d_eok,numeric,,ENTRY_FROM_2021,350,2141,40.835,33.56,,,0.5339,0.0339,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,avg_trading_value_60d_eok,numeric,,WINDOW_P1,757,4225,12.13,17.23,,,0.4421,-0.0579,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,avg_trading_value_60d_eok,numeric,,WINDOW_P2-1,187,1613,21.95,27.79,,,0.4908,-0.0092,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,avg_trading_value_60d_eok,numeric,,WINDOW_P2-2,336,2088,29.03,23.635,,,0.5309,0.0309,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,avg_trading_value_60d_eok,numeric,,WINDOW_P3-1,106,1067,37.05,22.78,,,0.5684,0.0684,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,avg_trading_value_60d_eok,numeric,,WINDOW_P3-2,249,1543,36.86,19.54,,,0.5888,0.0888,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,avg_trading_value_60d_eok,numeric,,ENTRY_BEFORE_2021,480,2409,7.515,14.69,,,0.3899,-0.1101,AUC-0.5
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,avg_trading_value_60d_eok,numeric,,ENTRY_FROM_2021,350,2141,30.02,23.28,,,0.5398,0.0398,AUC-0.5
