ticker,isu_cd,identity_effective_from,entry_signal_date,ledger_entry_pattern_a_stage,ledger_fast_score,enrichment_status,enrichment_error,reconstructed_pattern_a_stage,pattern_a_score,pattern_a_evaluation_status,reconstructed_fast_score,fast_weekly_core_score,fast_conditional_status,reconstructed_fast_machine_stage,range_position_24m,monthly_down_month_ratio_12m,distance_to_prior_26w_high_pct,close_vs_wma200_pct,higher_weekly_low_count_13w,wma52_slope_1w,wma12_vs_wma26_pct,weeks_since_26w_close_breakout,post_breakout_min_low_vs_level_pct_26w,recent_5d_max_gap_abs_pct,atr_14_pct,market_cap_eok,avg_trading_value_20d_eok,avg_trading_value_60d_eok,investability_status,stage_match,fast_score_match
170900,KR7170900005,2013-04-08,2025-12-12,TRANSITION,77.99,READY,,TRANSITION,51.9243,READY,77.99,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.292841,0.5,0.003501,-0.00575,8.0,0.000279,0.031927,0.0,,0.012118,0.034721,5368.42,16.13,14.13,INVESTABLE,True,True
170920,KR7170920003,2013-10-08,2018-01-26,TRANSITION,73.24,READY,,TRANSITION,50.4722,READY,73.24,82.75,EVENT_OBSERVED,TRIGGER,0.575087,0.666667,-0.087227,0.063368,6.0,0.001118,0.117584,3.0,-0.134228,0.01087,0.046563,1101.67,16.09,23.85,INVESTABLE,True,True
170920,KR7170920003,2013-10-08,2018-03-02,EARLY_TREND,75.49,READY,,EARLY_TREND,95.591,READY,75.49,82.75,EVENT_OBSERVED,TRIGGER,0.650757,0.5,-0.084112,0.080156,6.0,0.004944,0.126009,8.0,-0.184564,0.02349,0.051506,1105.43,12.74,18.07,INVESTABLE,True,True
170920,KR7170920003,2013-10-08,2021-01-22,EARLY_TREND,76.94,READY,,EARLY_TREND,84.5555,READY,76.94,81.25,EVENT_NOT_OBSERVED,TRIGGER,0.632224,0.5,0.006042,0.453045,7.0,0.005077,-0.001913,0.0,,0.014925,0.061347,1277.77,122.48,47.08,INVESTABLE,True,True
170920,KR7170920003,2013-10-08,2023-03-10,TRANSITION,77.99,READY,,TRANSITION,27.4099,READY,77.99,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.387097,0.416667,0.04697,0.211654,7.0,0.005253,0.013855,0.0,,0.028061,0.063004,1114.55,65.64,25.74,INVESTABLE,True,True
170920,KR7170920003,2013-10-08,2023-12-08,TRANSITION,71.19,READY,,TRANSITION,57.4877,READY,71.19,76.25,EVENT_NOT_OBSERVED,TRIGGER,0.763833,0.666667,0.060606,0.25948,5.0,0.006969,-0.035562,0.0,,0.008475,0.066531,1235.37,44.86,17.76,INVESTABLE,True,True
171010,KR7171010002,2013-11-18,2016-11-18,TRANSITION,69.82,READY,,TRANSITION,73.6429,READY,69.82,81.79,EVENT_NOT_OBSERVED,TRIGGER,0.419672,0.666667,0.006468,,6.0,0.005058,0.045603,0.0,,0.052925,0.060136,442.8,2.1,3.64,FILTERED_MARKET_CAP,True,True
171090,KR7171090004,2017-09-20,2021-01-15,TRANSITION,72.07,READY,,TRANSITION,44.1742,READY,72.07,81.79,EVENT_NOT_OBSERVED,TRIGGER,0.415948,0.583333,0.247148,,8.0,0.005709,0.018188,0.0,,0.041096,0.052192,885.53,44.25,15.98,FILTERED_MARKET_CAP,True,True
171090,KR7171090004,2017-09-20,2025-10-31,EARLY_TREND,77.99,READY,,EARLY_TREND,81.4346,READY,77.99,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.582824,0.583333,0.005848,0.57922,8.0,0.004305,0.06293,0.0,,0.019608,0.047827,4932.19,29.82,27.71,INVESTABLE,True,True
171120,KR7171120009,2013-11-19,2021-04-09,TRANSITION,79.3,READY,,TRANSITION,51.9917,READY,79.3,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.717452,0.416667,0.066202,0.043091,6.0,0.005652,0.045519,0.0,,0.01467,0.029023,1734.43,8.54,6.54,INVESTABLE,True,True
