strategy_id,ticker,isu_cd,name,market,trade_id,trade_sequence,entry_signal_date,entry_signal_information_date,entry_execution_date,entry_open,entry_market_cap,market_cap_source,market_cap_anchor_date,entry_pattern_a_stage,fast_stage,fast_status,monthly_permission_state,daily_risk,fast_score,fast_score_status,hwm_price,mfe,mae,mfe_tier,max_hwm_drawdown_pct,soft_threshold_pct,hard_threshold_pct,fast_state_at_exit,exit_mfe_tier,exit_signal_date,exit_execution_date,exit_price,exit_reason,trade_status,final_valuation_date,final_valuation_price,unexecuted_exit_signal_date,unexecuted_exit_reason,terminal_return,holding_trading_days,identity_effective_from,identity_effective_to,종목명,매수일자,매수금액,매도일자,매도금액,수익률,보유일수,MFE,MAE,매도 사유
FASTCORE_V3_SIMPLE_V00,035610,KR7035610005,솔본,KOSDAQ,FASTCORE_V3_SIMPLE_V00_035610_001,1,2026-07-24,2026-07-24,2026-07-27,4760.0,129073105840.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2026-07-24,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.49,READY,5130.0,7.77,-10.71,BELOW_WINNER_MODE,-11.6,,,,,,,,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,2026-08-21,4700.0,,,-1.26,19,2010-01-04,2026-08-21,솔본,2026-07-27,4760.0,,,-1.26,19,7.77,-10.71,OPEN_AT_CUTOFF
FASTCORE_V3_SIMPLE_V00,035720,KR7035720002,카카오,KOSPI,FASTCORE_V3_SIMPLE_V00_035720_001,1,2025-09-12,2025-09-12,2025-09-15,65000.0,28969045577500.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2025-09-12,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,74.99,READY,69700.0,7.23,-50.38,BELOW_WINNER_MODE,-52.44,,,,,,,,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,2026-08-21,35800.0,,,-44.92,227,2017-07-10,2026-08-21,카카오,2025-09-15,65000.0,,,-44.92,227,7.23,-50.38,OPEN_AT_CUTOFF
FASTCORE_V3_SIMPLE_V00,035760,KR7035760008,CJ ENM,KOSDAQ,FASTCORE_V3_SIMPLE_V00_035760_001,1,2025-06-20,2025-06-20,2025-06-23,77800.0,1747753573800.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2025-06-20,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,71.04,READY,82300.0,5.78,-63.88,BELOW_WINNER_MODE,-64.95,,,,,,,,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,2026-08-21,31800.0,,,-59.13,286,2010-01-04,2026-08-21,CJ ENM,2025-06-23,77800.0,,,-59.13,286,5.78,-63.88,OPEN_AT_CUTOFF
FASTCORE_V3_SIMPLE_V00,035810,KR7035810001,이지홀딩스,KOSDAQ,FASTCORE_V3_SIMPLE_V00_035810_001,1,2025-04-18,2025-04-18,2025-04-21,3140.0,204193725525.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2025-04-18,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,74.05,READY,4230.0,34.71,-0.32,MFE_20_TO_50,-12.17,-10.0,-20.0,SETUP,MFE_20_TO_50,2025-07-25,2025-07-28,3715.0,SOFT_EXIT,REALIZED,2025-07-28,3715.0,,,18.31,66,2010-01-04,2026-08-21,이지홀딩스,2025-04-21,3140.0,2025-07-28,3715.0,18.31,66,34.71,-0.32,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,035810,KR7035810001,이지홀딩스,KOSDAQ,FASTCORE_V3_SIMPLE_V00_035810_002,2,2025-09-05,2025-09-05,2025-09-08,3815.0,246129245775.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2025-09-05,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,79.05,READY,9290.0,143.51,-5.24,MFE_100_TO_200,-32.72,-20.0,-30.0,EXTENDED,MFE_100_TO_200,2026-03-09,2026-03-10,6360.0,HARD_EXIT,REALIZED,2026-03-10,6360.0,,,66.71,120,2010-01-04,2026-08-21,이지홀딩스,2025-09-08,3815.0,2026-03-10,6360.0,66.71,120,143.51,-5.24,HARD_EXIT
FASTCORE_V3_SIMPLE_V00,035890,KR7035890003,서희건설,KOSDAQ,FASTCORE_V3_SIMPLE_V00_035890_001,1,2024-09-20,2024-09-20,2024-09-23,2931.0,340346324817.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2024-09-20,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,74.55,READY,3726.0,27.12,-8.73,MFE_20_TO_50,-17.44,-10.0,-20.0,SETUP,MFE_20_TO_50,2025-06-27,2025-06-30,3343.0,SOFT_EXIT,REALIZED,2025-06-30,3343.0,,,14.06,185,2010-01-04,2026-08-21,서희건설,2024-09-23,2931.0,2025-06-30,3343.0,14.06,185,27.12,-8.73,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,035890,KR7035890003,서희건설,KOSDAQ,FASTCORE_V3_SIMPLE_V00_035890_002,2,2025-07-04,2025-07-04,2025-07-07,3704.0,431810090703.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2025-07-04,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,74.99,READY,4120.0,11.23,-49.62,BELOW_WINNER_MODE,-53.64,,,,,,,,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,2026-08-21,2140.0,,,-42.22,101,2010-01-04,2026-08-21,서희건설,2025-07-07,3704.0,,,-42.22,101,11.23,-49.62,OPEN_AT_CUTOFF
FASTCORE_V3_SIMPLE_V00,036010,KR7036010007,아비코전자,KOSDAQ,FASTCORE_V3_SIMPLE_V00_036010_001,1,2023-04-14,2023-04-14,2023-04-17,12840.0,170282484540.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2023-04-14,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,76.74,READY,19400.0,51.09,-9.58,MFE_50_TO_100,-26.7,-15.0,-25.0,EXTENDED,MFE_50_TO_100,2023-08-10,2023-08-11,14120.0,HARD_EXIT,REALIZED,2023-08-11,14120.0,,,9.97,81,2010-01-04,2026-08-21,아비코전자,2023-04-17,12840.0,2023-08-11,14120.0,9.97,81,51.09,-9.58,HARD_EXIT
FASTCORE_V3_SIMPLE_V00,036030,KR7036030005,케이티알파,KOSDAQ,FASTCORE_V3_SIMPLE_V00_036030_001,1,2025-07-11,2025-07-11,2025-07-14,5150.0,254900271600.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2025-07-11,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,73.24,READY,6100.0,18.45,-18.06,BELOW_WINNER_MODE,-29.51,,,,,,,,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,2026-08-21,4700.0,,,-8.74,271,2010-01-04,2026-08-21,케이티알파,2025-07-14,5150.0,,,-8.74,271,18.45,-18.06,OPEN_AT_CUTOFF
FASTCORE_V3_SIMPLE_V00,036190,KR7036190007,금화피에스시,KOSDAQ,FASTCORE_V3_SIMPLE_V00_036190_001,1,2021-05-07,2021-05-07,2021-05-10,33450.0,200400000000.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2021-05-07,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,80.99,READY,42700.0,27.65,-4.33,MFE_20_TO_50,-15.69,-10.0,-20.0,SETUP,MFE_20_TO_50,2021-06-18,2021-06-21,36450.0,SOFT_EXIT,REALIZED,2021-06-21,36450.0,,,8.97,30,2010-01-04,2026-08-21,금화피에스시,2021-05-10,33450.0,2021-06-21,36450.0,8.97,30,27.65,-4.33,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,036190,KR7036190007,금화피에스시,KOSDAQ,FASTCORE_V3_SIMPLE_V00_036190_002,2,2023-06-02,2023-06-02,2023-06-05,31700.0,189900000000.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2023-06-02,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,76.3,READY,42500.0,34.07,-27.44,MFE_20_TO_50,-26.81,-10.0,-20.0,SETUP,MFE_20_TO_50,2026-04-03,2026-04-06,38700.0,SOFT_EXIT,REALIZED,2026-04-06,38700.0,,,22.08,690,2010-01-04,2026-08-21,금화피에스시,2023-06-05,31700.0,2026-04-06,38700.0,22.08,690,34.07,-27.44,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,036190,KR7036190007,금화피에스시,KOSDAQ,FASTCORE_V3_SIMPLE_V00_036190_003,3,2026-04-17,2026-04-17,2026-04-20,38600.0,231600000000.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2026-04-17,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,80.74,READY,41500.0,7.51,-22.54,BELOW_WINNER_MODE,-27.47,,,,,,,,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,2026-08-21,33550.0,,,-13.08,84,2010-01-04,2026-08-21,금화피에스시,2026-04-20,38600.0,,,-13.08,84,7.51,-22.54,OPEN_AT_CUTOFF
FASTCORE_V3_SIMPLE_V00,036200,KR7036200004,유니셈,KOSDAQ,FASTCORE_V3_SIMPLE_V00_036200_001,1,2025-09-05,2025-09-05,2025-09-08,8010.0,243780572850.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2025-09-05,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,ELEVATED,67.99,READY,12380.0,54.56,-0.5,MFE_50_TO_100,-19.22,-15.0,-25.0,SETUP,MFE_50_TO_100,2025-10-14,2025-10-15,10060.0,SOFT_EXIT,REALIZED,2025-10-15,10060.0,,,25.59,23,2010-01-04,2026-08-21,유니셈,2025-09-08,8010.0,2025-10-15,10060.0,25.59,23,54.56,-0.5,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,036460,KR7036460004,한국가스공사,KOSPI,FASTCORE_V3_SIMPLE_V00_036460_001,1,2021-06-18,2021-06-18,2021-06-21,38250.0,3590975700000.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2021-06-18,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.99,READY,51800.0,35.42,-13.73,MFE_20_TO_50,-15.15,-10.0,-20.0,SETUP,MFE_20_TO_50,2021-10-22,2021-10-25,44400.0,SOFT_EXIT,REALIZED,2021-10-25,44400.0,,,16.08,85,2010-01-04,2026-08-21,한국가스공사,2021-06-21,38250.0,2021-10-25,44400.0,16.08,85,35.42,-13.73,SOFT_EXIT
FASTCORE_V3_SIMPLE_V00,036460,KR7036460004,한국가스공사,KOSPI,FASTCORE_V3_SIMPLE_V00_036460_002,2,2026-02-20,2026-02-20,2026-02-23,45450.0,4209472800000.0,ACTUAL_KRX_LOCAL_RAW_SNAPSHOT,2026-02-20,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,81.55,READY,45500.0,0.11,-31.46,BELOW_WINNER_MODE,-30.33,,,,,,,,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,2026-08-21,35650.0,,,-21.56,123,2010-01-04,2026-08-21,한국가스공사,2026-02-23,45450.0,,,-21.56,123,0.11,-31.46,OPEN_AT_CUTOFF
