signal_reference_date,required,available,source_provider,source_channel,source_role,requested_date,effective_date,date_resolution_status,raw_source_file,normalized_source_file,raw_sha256,normalized_sha256,source_and_normalized_identical_content,raw_row_count,normalized_row_count,source_status,authority_status,integrity_status
2022-05-27,True,True,KRX,KRX_DATA_MARKETPLACE_JSON_ENDPOINT,DERIVED_PROVIDER_RESPONSE_SNAPSHOT,2022-05-27,2022-05-27,EXACT_COMPLETED_WEEK,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220527.csv,artifacts/patterns/pattern_a/validation/investability_history/normalized/krx_market_cap_20220527.csv,ddc6a54407e20e7399ce9320bb582be56911b56dc0b8dcfd97f428f30ca1231c,ddc6a54407e20e7399ce9320bb582be56911b56dc0b8dcfd97f428f30ca1231c,True,2623,2623,CHECKPOINT_DERIVED_KRX_KDM_JSON,CHECKPOINT_ACCEPTED_NOT_FINAL_SOURCE_AUTHORITY,PASS
2022-06-03,True,True,KRX,KRX_DATA_MARKETPLACE_JSON_ENDPOINT,DERIVED_PROVIDER_RESPONSE_SNAPSHOT,2022-06-03,2022-06-03,EXACT_COMPLETED_WEEK,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220603.csv,artifacts/patterns/pattern_a/validation/investability_history/normalized/krx_market_cap_20220603.csv,2879af1cf38d90e781e5abb27e07fc6e8a3eb8f9dd4077dbdd93d3f19c1a0eb7,2879af1cf38d90e781e5abb27e07fc6e8a3eb8f9dd4077dbdd93d3f19c1a0eb7,True,2623,2623,CHECKPOINT_DERIVED_KRX_KDM_JSON,CHECKPOINT_ACCEPTED_NOT_FINAL_SOURCE_AUTHORITY,PASS
2022-06-10,True,True,KRX,KRX_DATA_MARKETPLACE_JSON_ENDPOINT,DERIVED_PROVIDER_RESPONSE_SNAPSHOT,2022-06-10,2022-06-10,EXACT_COMPLETED_WEEK,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220610.csv,artifacts/patterns/pattern_a/validation/investability_history/normalized/krx_market_cap_20220610.csv,8badea135cd37dc708e3b8341387fd56ab9b64e95a753a1150f39293539cf02f,8badea135cd37dc708e3b8341387fd56ab9b64e95a753a1150f39293539cf02f,True,2623,2623,CHECKPOINT_DERIVED_KRX_KDM_JSON,CHECKPOINT_ACCEPTED_NOT_FINAL_SOURCE_AUTHORITY,PASS
2022-06-17,True,True,KRX,KRX_DATA_MARKETPLACE_JSON_ENDPOINT,DERIVED_PROVIDER_RESPONSE_SNAPSHOT,2022-06-17,2022-06-17,EXACT_COMPLETED_WEEK,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220617.csv,artifacts/patterns/pattern_a/validation/investability_history/normalized/krx_market_cap_20220617.csv,5160968b1c2f7eb7af0379aca5af7f1c95bdff89c52e157dd16183d571bb5fb9,5160968b1c2f7eb7af0379aca5af7f1c95bdff89c52e157dd16183d571bb5fb9,True,2624,2624,CHECKPOINT_DERIVED_KRX_KDM_JSON,CHECKPOINT_ACCEPTED_NOT_FINAL_SOURCE_AUTHORITY,PASS
2022-06-24,True,True,KRX,KRX_DATA_MARKETPLACE_UI_CSV,CANONICAL_RAW_UI_EXPORT,2022-06-24,2022-06-24,EXACT_COMPLETED_WEEK,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220624.csv,artifacts/patterns/pattern_a/validation/investability_history/normalized/krx_market_cap_20220624.csv,57f03bf357567a11e9fe7488be50f69d641356a526ec5a9e8f691e942886ab93,cf76fac2463072e58764831ac93b663ac135aff9cebee92eb96cbdc94a1aa4f1,False,2629,2629,AVAILABLE_EXISTING,CANONICAL_UI_AUTHORITY,PASS
2022-07-01,True,True,KRX,KRX_DATA_MARKETPLACE_JSON_ENDPOINT,DERIVED_PROVIDER_RESPONSE_SNAPSHOT,2022-07-01,2022-07-01,EXACT_COMPLETED_WEEK,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220701.csv,artifacts/patterns/pattern_a/validation/investability_history/normalized/krx_market_cap_20220701.csv,79239234a903f35362cb6d66f6c274dbb3adc046ff88040d5cc89f4a84da4cf2,79239234a903f35362cb6d66f6c274dbb3adc046ff88040d5cc89f4a84da4cf2,True,2630,2630,CHECKPOINT_DERIVED_KRX_KDM_JSON,CHECKPOINT_ACCEPTED_NOT_FINAL_SOURCE_AUTHORITY,PASS
2022-07-08,True,True,KRX,KRX_DATA_MARKETPLACE_JSON_ENDPOINT,DERIVED_PROVIDER_RESPONSE_SNAPSHOT,2022-07-08,2022-07-08,EXACT_COMPLETED_WEEK,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220708.csv,artifacts/patterns/pattern_a/validation/investability_history/normalized/krx_market_cap_20220708.csv,09d118dd38a69db7852727f74d3688b30e613c1ab2bcd7f73d666a92851cc6d5,09d118dd38a69db7852727f74d3688b30e613c1ab2bcd7f73d666a92851cc6d5,True,2631,2631,CHECKPOINT_DERIVED_KRX_KDM_JSON,CHECKPOINT_ACCEPTED_NOT_FINAL_SOURCE_AUTHORITY,PASS
2022-07-15,True,True,KRX,KRX_DATA_MARKETPLACE_JSON_ENDPOINT,DERIVED_PROVIDER_RESPONSE_SNAPSHOT,2022-07-15,2022-07-15,EXACT_COMPLETED_WEEK,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220715.csv,artifacts/patterns/pattern_a/validation/investability_history/normalized/krx_market_cap_20220715.csv,52b753eb839353a715630d80983bbce1da177d76ed507862c22b39b6f98393ba,52b753eb839353a715630d80983bbce1da177d76ed507862c22b39b6f98393ba,True,2631,2631,CHECKPOINT_DERIVED_KRX_KDM_JSON,CHECKPOINT_ACCEPTED_NOT_FINAL_SOURCE_AUTHORITY,PASS
2022-07-22,True,True,KRX,KRX_DATA_MARKETPLACE_JSON_ENDPOINT,DERIVED_PROVIDER_RESPONSE_SNAPSHOT,2022-07-22,2022-07-22,EXACT_COMPLETED_WEEK,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220722.csv,artifacts/patterns/pattern_a/validation/investability_history/normalized/krx_market_cap_20220722.csv,a7d2cf16005cc32f88c691fd1795d00601ee6b4bf4cf5f8be30543fa4fc36e53,a7d2cf16005cc32f88c691fd1795d00601ee6b4bf4cf5f8be30543fa4fc36e53,True,2633,2633,CHECKPOINT_DERIVED_KRX_KDM_JSON,CHECKPOINT_ACCEPTED_NOT_FINAL_SOURCE_AUTHORITY,PASS
2022-07-29,True,True,KRX,KRX_DATA_MARKETPLACE_JSON_ENDPOINT,DERIVED_PROVIDER_RESPONSE_SNAPSHOT,2022-07-29,2022-07-29,EXACT_COMPLETED_WEEK,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220729.csv,artifacts/patterns/pattern_a/validation/investability_history/normalized/krx_market_cap_20220729.csv,1c558b39bd36da99d963ef9d79aee46959f21814b68f64ffdfbacd4c2f6768f4,1c558b39bd36da99d963ef9d79aee46959f21814b68f64ffdfbacd4c2f6768f4,True,2637,2637,CHECKPOINT_DERIVED_KRX_KDM_JSON,CHECKPOINT_ACCEPTED_NOT_FINAL_SOURCE_AUTHORITY,PASS
