ticker,name,market,baseline_trade_id,trade_sequence_base,entry_signal_date,entry_execution_date,entry_open,baseline_loss_guard_signal_date,baseline_exit_execution_date,baseline_exit_price,baseline_return,julia_trade_id,julia_exit_type,julia_exit_execution_date,julia_terminal_return,return_delta,julia_reached_progressed,julia_first_progressed_date,pair_status
001130,대한제분,KOSPI,001130_01,1,2025-06-27,2025-06-30,14940.0,2026-05-21,2026-05-22,12790.0,-14.39,001130_01,NO_PROGRESSED_BEFORE_CUTOFF,,-21.02,-6.63,False,,PAIRED_COMMON_ENTRY
001680,대상,KOSPI,001680_01,1,2025-03-28,2025-03-31,23300.0,2026-04-02,2026-04-03,19550.0,-16.09,001680_01,NO_PROGRESSED_BEFORE_CUTOFF,,-21.16,-5.07,False,,PAIRED_COMMON_ENTRY
002200,한국수출포장,KOSPI,002200_01,1,2024-12-27,2024-12-30,2750.0,2026-06-24,2026-06-25,2280.0,-17.09,002200_01,NO_PROGRESSED_BEFORE_CUTOFF,,-8.18,8.91,False,,PAIRED_COMMON_ENTRY
003230,삼양식품,KOSPI,003230_01,1,2022-12-23,2022-12-26,124500.0,2023-05-30,2023-05-31,106000.0,-14.86,003230_01,EXIT4_SCORE_DRAWDOWN_GE_15,2023-10-04,60.48,75.34,True,2023-08-31,PAIRED_COMMON_ENTRY
003490,대한항공,KOSPI,003490_01,1,2025-01-31,2025-02-03,24450.0,2025-04-07,2025-04-08,20950.0,-14.31,003490_01,NO_PROGRESSED_BEFORE_CUTOFF,,7.57,21.88,False,,PAIRED_COMMON_ENTRY
003720,삼영,KOSPI,003720_01,1,2024-09-27,2024-09-30,5450.0,2024-10-22,2024-10-23,4560.0,-16.33,003720_01,EXIT4_SCORE_DRAWDOWN_GE_15,2026-05-04,109.17,125.5,True,2026-03-31,PAIRED_COMMON_ENTRY
004140,동방,KOSPI,004140_01,1,2025-06-27,2025-06-30,2925.0,2026-01-08,2026-01-09,2440.0,-16.58,004140_01,NO_PROGRESSED_BEFORE_CUTOFF,,-35.35,-18.77,False,,PAIRED_COMMON_ENTRY
004170,신세계,KOSPI,004170_01,1,2025-06-27,2025-06-30,191500.0,2025-08-19,2025-08-20,164300.0,-14.2,004170_01,EXIT4_SCORE_DRAWDOWN_GE_15,2026-05-04,120.89,135.09,True,2026-02-28,PAIRED_COMMON_ENTRY
005380,현대차,KOSPI,005380_01,1,2023-06-30,2023-07-03,207500.0,2023-10-27,2023-10-30,175000.0,-15.66,005380_01,EXIT4_SCORE_DRAWDOWN_GE_15,2024-10-02,14.46,30.12,True,2024-07-31,PAIRED_COMMON_ENTRY
005740,크라운해태홀딩스,KOSPI,005740_01,1,2025-06-27,2025-06-30,7790.0,2025-11-03,2025-11-04,6560.0,-15.79,005740_01,NO_PROGRESSED_BEFORE_CUTOFF,,-22.85,-7.06,False,,PAIRED_COMMON_ENTRY
005850,에스엘,KOSPI,005850_01,1,2025-03-28,2025-03-31,38050.0,2025-04-07,2025-04-08,31950.0,-16.03,005850_01,EXIT4_SCORE_DRAWDOWN_GE_15,2026-06-01,93.43,109.46,True,2026-03-31,PAIRED_COMMON_ENTRY
005930,삼성전자,KOSPI,005930_01,1,2023-06-30,2023-07-03,72700.0,2024-09-30,2024-10-02,60500.0,-16.78,005930_01,NO_EXIT_BEFORE_CUTOFF,,277.58,294.36,True,2026-02-28,PAIRED_COMMON_ENTRY
008930,한미사이언스,KOSPI,008930_01,1,2025-06-27,2025-06-30,44800.0,2025-10-10,2025-10-13,36550.0,-18.42,008930_01,NO_PROGRESSED_BEFORE_CUTOFF,,-1.12,17.3,False,,PAIRED_COMMON_ENTRY
009160,SIMPAC,KOSPI,009160_01,1,2025-06-27,2025-06-30,4940.0,2026-06-22,2026-06-23,4175.0,-15.49,009160_01,NO_PROGRESSED_BEFORE_CUTOFF,,1.21,16.7,False,,PAIRED_COMMON_ENTRY
010660,화천기계,KOSPI,010660_01,1,2025-06-27,2025-06-30,5210.0,2025-08-20,2025-08-21,4390.0,-15.74,010660_01,NO_EXIT_BEFORE_CUTOFF,,-43.28,-27.54,True,2025-08-31,PAIRED_COMMON_ENTRY
011780,금호석유화학,KOSPI,011780_01,1,2024-09-27,2024-09-30,159600.0,2024-10-22,2024-10-23,134700.0,-15.6,011780_01,NO_PROGRESSED_BEFORE_CUTOFF,,-18.17,-2.57,False,,PAIRED_COMMON_ENTRY
013890,지누스,KOSPI,013890_01,1,2024-12-27,2024-12-30,23650.0,2025-02-10,2025-02-11,20300.0,-14.16,013890_01,NO_PROGRESSED_BEFORE_CUTOFF,,-65.92,-51.76,False,,PAIRED_COMMON_ENTRY
014830,유니드,KOSPI,014830_01,1,2025-06-27,2025-06-30,89700.0,2025-08-20,2025-08-21,75800.0,-15.5,014830_01,NO_PROGRESSED_BEFORE_CUTOFF,,-28.76,-13.26,False,,PAIRED_COMMON_ENTRY
016090,대현,KOSPI,016090_01,1,2024-12-27,2024-12-30,2280.0,2025-04-07,2025-04-08,1952.0,-14.39,016090_01,NO_PROGRESSED_BEFORE_CUTOFF,,-35.0,-20.61,False,,PAIRED_COMMON_ENTRY
023530,롯데쇼핑,KOSPI,023530_01,1,2022-06-24,2022-06-27,101500.0,2022-11-22,2022-11-23,86100.0,-15.17,023530_01,EXIT4_SCORE_DRAWDOWN_GE_15,2026-06-01,40.49,55.66,True,2026-04-30,PAIRED_COMMON_ENTRY
025860,남해화학,KOSPI,025860_01,1,2025-06-27,2025-06-30,7770.0,2025-10-13,2025-10-14,6520.0,-16.09,025860_01,NO_PROGRESSED_BEFORE_CUTOFF,,-24.45,-8.36,False,,PAIRED_COMMON_ENTRY
028260,삼성물산,KOSPI,028260_01,1,2023-12-22,2023-12-26,127600.0,2025-04-09,2025-04-10,111600.0,-12.54,028260_01,EXIT4_SCORE_DRAWDOWN_GE_15,2026-02-02,135.5,148.04,True,2025-12-31,PAIRED_COMMON_ENTRY
032830,삼성생명,KOSPI,032830_01,1,2022-12-23,2022-12-26,74000.0,2023-03-24,2023-03-27,62700.0,-15.27,032830_01,EXIT4_SCORE_DRAWDOWN_GE_15,2026-02-02,154.05,169.32,True,2024-11-30,PAIRED_COMMON_ENTRY
032830,삼성생명,KOSPI,032830_02,2,2023-12-22,2023-12-26,71700.0,2024-01-18,2024-01-19,60500.0,-15.62,,,,,,,,UNPAIRED_STRATEGY_PATH_DIVERGENCE
035420,NAVER,KOSPI,035420_01,1,2025-06-27,2025-06-30,257000.0,2025-08-27,2025-08-28,217500.0,-15.37,035420_01,NO_PROGRESSED_BEFORE_CUTOFF,,-11.28,4.09,False,,PAIRED_COMMON_ENTRY
068270,셀트리온,KOSPI,068270_01,1,2023-12-22,2023-12-26,164237.0,2025-05-12,2025-05-13,139826.0,-14.86,068270_01,NO_PROGRESSED_BEFORE_CUTOFF,,22.38,37.24,False,,PAIRED_COMMON_ENTRY
069620,대웅제약,KOSPI,069620_01,1,2022-03-25,2022-03-28,166500.0,2023-01-17,2023-01-18,139500.0,-16.22,069620_01,NO_PROGRESSED_BEFORE_CUTOFF,,-25.17,-8.95,False,,PAIRED_COMMON_ENTRY
078930,GS,KOSPI,078930_01,1,2024-03-29,2024-04-01,48700.0,2024-10-31,2024-11-01,41000.0,-15.81,078930_01,EXIT4_SCORE_DRAWDOWN_GE_15,2026-05-04,69.2,85.01,True,2026-03-31,PAIRED_COMMON_ENTRY
090350,노루페인트,KOSPI,090350_01,1,2025-06-27,2025-06-30,9070.0,2026-03-04,2026-03-05,7990.0,-11.91,090350_01,NO_PROGRESSED_BEFORE_CUTOFF,,-13.45,-1.54,False,,PAIRED_COMMON_ENTRY
112610,씨에스윈드,KOSPI,112610_01,1,2024-09-27,2024-09-30,70000.0,2024-10-18,2024-10-21,58000.0,-17.14,112610_01,NO_PROGRESSED_BEFORE_CUTOFF,,-33.07,-15.93,False,,PAIRED_COMMON_ENTRY
145990,삼양사,KOSPI,145990_01,1,2025-06-27,2025-06-30,51400.0,2026-05-20,2026-05-21,43300.0,-15.76,145990_01,NO_PROGRESSED_BEFORE_CUTOFF,,-11.38,4.38,False,,PAIRED_COMMON_ENTRY
183190,아세아시멘트,KOSPI,183190_01,1,2025-06-27,2025-06-30,12270.0,2026-03-31,2026-04-01,10540.0,-14.1,183190_01,NO_PROGRESSED_BEFORE_CUTOFF,,-18.91,-4.81,False,,PAIRED_COMMON_ENTRY
192080,더블유게임즈,KOSPI,192080_01,1,2025-06-27,2025-06-30,56900.0,2026-03-04,2026-03-05,48900.0,-14.06,192080_01,NO_PROGRESSED_BEFORE_CUTOFF,,8.26,22.32,False,,PAIRED_COMMON_ENTRY
204320,HL만도,KOSPI,204320_01,1,2025-01-31,2025-02-03,43000.0,2025-04-07,2025-04-08,34750.0,-19.19,204320_01,EXIT4_SCORE_DRAWDOWN_GE_15,2026-07-01,15.12,34.31,True,2026-03-31,PAIRED_COMMON_ENTRY
241560,두산밥캣,KOSPI,241560_01,1,2025-03-28,2025-03-31,50500.0,2025-04-09,2025-04-10,43100.0,-14.65,241560_01,NO_EXIT_BEFORE_CUTOFF,,30.89,45.54,True,2026-05-31,PAIRED_COMMON_ENTRY
271560,오리온,KOSPI,271560_01,1,2022-12-23,2022-12-26,125500.0,2024-01-16,2024-01-17,97500.0,-22.31,271560_01,NO_PROGRESSED_BEFORE_CUTOFF,,6.77,29.08,False,,PAIRED_COMMON_ENTRY
272210,한화시스템,KOSPI,272210_01,1,2023-06-30,2023-07-03,14800.0,2023-09-19,2023-09-20,12550.0,-15.2,272210_01,EXIT4_SCORE_DRAWDOWN_GE_15,2025-03-04,113.18,128.38,True,2024-09-30,PAIRED_COMMON_ENTRY
306200,세아제강,KOSPI,306200_01,1,2025-01-31,2025-02-03,135500.0,2026-01-07,2026-01-08,114100.0,-15.79,306200_01,NO_PROGRESSED_BEFORE_CUTOFF,,-1.99,13.8,False,,PAIRED_COMMON_ENTRY
383800,LX홀딩스,KOSPI,383800_01,1,2025-06-27,2025-06-30,9430.0,2025-08-01,2025-08-04,7890.0,-16.33,383800_01,NO_PROGRESSED_BEFORE_CUTOFF,,-12.09,4.24,False,,PAIRED_COMMON_ENTRY
