ticker,name,control_trade_id,control_trade_sequence,entry_execution_date,entry_open,v0_mfe,recovery_class,first_mfe20_date,days_to_first_mfe20,prewinner_start_date,prewinner_end_date,prewinner_min_close_return_pct,prewinner_min_close_date,prewinner_min_low_return_pct,prewinner_min_low_date,v2_exit_reason,v0_terminal_return,v0_holding_days
030520,한컴,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_030520_KR7030520001_KOSDAQ_01,1,2025-06-16,28850.0,24.44,RECOVERY,2025-06-23,5.0,2025-06-16,2025-06-20,3.812825,2025-06-16,-2.426343,2025-06-16,LOSS_GUARD_CLOSE_LE_NEG_15,5.37,11
030530,원익홀딩스,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_030530_KR7030530000_KOSDAQ_01,1,2025-05-26,5110.0,22.31,RECOVERY,2025-06-04,6.0,2025-05-26,2025-06-02,4.305284,2025-06-02,0.0,2025-05-26,EXIT4_SCORE_DRAWDOWN_GE_15,4.11,14
030610,교보증권,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_030610_KR7030610000_KOSPI_01,1,2025-02-24,6580.0,64.13,RECOVERY,2025-05-29,64.0,2025-02-24,2025-05-28,-15.957447,2025-04-09,-16.413374,2025-04-09,LOSS_GUARD_CLOSE_LE_NEG_15,38.3,105
030610,교보증권,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_030610_KR7030610000_KOSPI_02,2,2025-04-28,6350.0,70.08,RECOVERY,2025-05-21,14.0,2025-04-28,2025-05-20,0.0,2025-04-28,-0.629921,2025-04-28,EXIT4_SCORE_DRAWDOWN_GE_15,43.31,61
031430,신세계인터내셔날,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_031430_KR7031430002_KOSPI_01,1,2022-06-07,35500.0,1.41,NEVER_WINNER,,,2022-06-07,2026-08-14,-74.957746,2025-04-09,-75.098592,2025-04-09,LOSS_GUARD_CLOSE_LE_NEG_15,-71.3,1030
031430,신세계인터내셔날,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_031430_KR7031430002_KOSPI_02,2,2026-04-27,15260.0,12.25,NEVER_WINNER,,,2026-04-27,2026-08-14,-31.454784,2026-07-29,-34.469201,2026-07-30,LOSS_GUARD_CLOSE_LE_NEG_15,-33.22,79
031440,신세계푸드,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_031440_KR7031440001_KOSPI_01,1,2021-05-10,96000.0,16.67,NEVER_WINNER,,,2021-05-10,2026-07-20,-70.208333,2025-04-09,-70.416667,2025-04-09,EXIT4_SCORE_DRAWDOWN_GE_15,-60.26,1272
031980,피에스케이홀딩스,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_031980_KR7031980006_KOSDAQ_01,1,2025-10-13,50300.0,66.6,RECOVERY,2026-01-19,67.0,2025-10-13,2026-01-16,-18.88668,2025-12-16,-19.483101,2025-12-17,LOSS_GUARD_CLOSE_LE_NEG_15,45.33,83
031980,피에스케이홀딩스,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_031980_KR7031980006_KOSDAQ_02,2,2026-01-19,57100.0,46.76,RECOVERY,2026-01-26,5.0,2026-01-19,2026-01-23,3.677758,2026-01-20,-4.028021,2026-01-19,EXIT4_SCORE_DRAWDOWN_GE_15,28.02,16
032190,다우데이타,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_032190_KR7032190001_KOSDAQ_01,1,2022-10-31,15250.0,260.66,RECOVERY,2022-11-11,9.0,2022-10-31,2022-11-10,1.967213,2022-10-31,-0.655738,2022-10-31,EXIT4_SCORE_DRAWDOWN_GE_15,40.0,123
032190,다우데이타,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_032190_KR7032190001_KOSDAQ_02,2,2025-07-07,17520.0,20.72,RECOVERY,2025-12-11,107.0,2025-07-07,2025-12-10,-13.356164,2025-08-22,-14.66895,2025-08-20,EXIT4_SCORE_DRAWDOWN_GE_15,5.54,122
032350,롯데관광개발,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_032350_KR7032350001_KOSPI_01,1,2023-01-09,14300.0,23.64,RECOVERY,2023-08-28,157.0,2023-01-09,2023-08-25,-35.384615,2023-07-26,-36.643357,2023-07-26,LOSS_GUARD_CLOSE_LE_NEG_15,3.15,168
032350,롯데관광개발,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_032350_KR7032350001_KOSPI_02,2,2025-06-02,12050.0,56.35,RECOVERY,2025-06-16,8.0,2025-06-02,2025-06-13,5.477178,2025-06-02,-0.082988,2025-06-02,EXIT4_SCORE_DRAWDOWN_GE_15,32.53,63
032640,LG유플러스,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_032640_KR7032640005_KOSPI_01,1,2021-05-17,14750.0,21.97,RECOVERY,2026-02-26,1170.0,2021-05-17,2026-02-25,-35.525424,2024-04-16,-35.525424,2024-04-15,LOSS_GUARD_CLOSE_LE_NEG_15,-1.63,1177
032640,LG유플러스,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_032640_KR7032640005_KOSPI_02,2,2024-12-09,11170.0,47.72,RECOVERY,2025-06-12,120.0,2024-12-09,2025-06-11,-11.638317,2025-01-23,-11.727842,2025-01-23,EXIT4_SCORE_DRAWDOWN_GE_15,29.72,259
032830,삼성생명,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_032830_KR7032830002_KOSPI_01,1,2022-05-30,69500.0,56.12,RECOVERY,2024-02-13,420.0,2022-05-30,2024-02-08,-17.985612,2022-07-15,-19.42446,2022-07-15,LOSS_GUARD_CLOSE_LE_NEG_15,30.36,455
032830,삼성생명,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_032830_KR7032830002_KOSPI_02,2,2022-12-12,73900.0,46.82,RECOVERY,2024-02-22,294.0,2022-12-12,2024-02-21,-18.673884,2024-01-18,-18.809202,2024-01-19,LOSS_GUARD_CLOSE_LE_NEG_15,25.58,321
032830,삼성생명,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_032830_KR7032830002_KOSPI_03,3,2023-12-04,69900.0,55.22,RECOVERY,2024-02-13,46.0,2023-12-04,2024-02-08,-14.020029,2024-01-18,-14.16309,2024-01-19,EXIT4_SCORE_DRAWDOWN_GE_15,29.61,81
033100,제룡전기,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_033100_KR7033100009_KOSDAQ_01,1,2026-02-02,47750.0,46.81,RECOVERY,2026-02-04,2.0,2026-02-02,2026-02-03,-8.586387,2026-02-02,-9.005236,2026-02-02,NO_EXIT_BEFORE_CUTOFF,15.18,8
033160,엠케이전자,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_033160_KR7033160003_KOSDAQ_01,1,2023-04-03,15100.0,21.99,RECOVERY,2023-04-12,7.0,2023-04-03,2023-04-11,-3.84106,2023-04-06,-4.238411,2023-04-06,NO_EXIT_BEFORE_CUTOFF,0.53,16
033240,자화전자,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_033240_KR7033240003_KOSPI_01,1,2023-02-20,30700.0,21.5,RECOVERY,2023-06-02,70.0,2023-02-20,2023-06-01,-13.680782,2023-03-14,-13.680782,2023-03-14,EXIT3_PROGRESSED_TO_TRANSITION,4.23,86
033240,자화전자,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_033240_KR7033240003_KOSPI_02,2,2025-11-03,22150.0,28.22,RECOVERY,2025-12-30,40.0,2025-11-03,2025-12-29,-24.650113,2025-11-21,-25.056433,2025-11-24,LOSS_GUARD_CLOSE_LE_NEG_15,-0.45,53
033240,자화전자,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_033240_KR7033240003_KOSPI_03,3,2026-01-05,27100.0,65.87,RECOVERY,2026-02-02,20.0,2026-01-05,2026-01-30,-17.343173,2026-01-16,-18.819188,2026-01-21,LOSS_GUARD_CLOSE_LE_NEG_15,27.49,40
033270,유나이티드제약,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_033270_KR7033270000_KOSPI_01,1,2026-04-20,21350.0,0.23,NEVER_WINNER,,,2026-04-20,2026-08-14,-22.248244,2026-06-26,-24.590164,2026-07-29,LOSS_GUARD_CLOSE_LE_NEG_15,-16.11,84
033290,로젠,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_033290_KR7033290008_KOSDAQ_01,1,2021-04-19,5629.0,33.88,RECOVERY,2021-07-15,61.0,2021-04-19,2021-07-14,-7.408065,2021-07-08,-9.397762,2021-07-09,EXIT4_SCORE_DRAWDOWN_GE_15,11.64,69
033290,로젠,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_033290_KR7033290008_KOSDAQ_02,2,2023-10-10,6071.0,81.24,RECOVERY,2023-11-21,29.0,2023-10-10,2023-11-20,-3.772031,2023-11-07,-7.708779,2023-10-23,LOSS_GUARD_CLOSE_LE_NEG_15,29.47,46
033500,동성화인텍,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_033500_KR7033500000_KOSDAQ_01,1,2022-08-22,12950.0,164.86,RECOVERY,2024-12-17,570.0,2022-08-22,2024-12-16,-20.694981,2023-03-27,-21.698842,2023-03-27,LOSS_GUARD_CLOSE_LE_NEG_15,90.73,788
033500,동성화인텍,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_033500_KR7033500000_KOSDAQ_02,2,2023-07-17,14340.0,139.19,RECOVERY,2025-01-15,365.0,2023-07-17,2025-01-14,-25.174338,2024-10-29,-25.662483,2024-10-31,LOSS_GUARD_CLOSE_LE_NEG_15,72.25,565
033500,동성화인텍,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_033500_KR7033500000_KOSDAQ_03,3,2024-07-29,14070.0,143.78,RECOVERY,2025-01-14,111.0,2024-07-29,2025-01-13,-23.738451,2024-10-29,-24.235963,2024-10-31,LOSS_GUARD_CLOSE_LE_NEG_15,75.55,312
033500,동성화인텍,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_033500_KR7033500000_KOSDAQ_04,4,2024-08-12,13950.0,145.88,RECOVERY,2025-01-14,101.0,2024-08-12,2025-01-13,-23.082437,2024-10-29,-23.584229,2024-10-31,LOSS_GUARD_CLOSE_LE_NEG_15,77.06,302
033500,동성화인텍,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_033500_KR7033500000_KOSDAQ_05,5,2025-01-13,16550.0,107.25,RECOVERY,2025-01-22,7.0,2025-01-13,2025-01-21,-1.510574,2025-01-13,-6.344411,2025-01-13,EXIT4_SCORE_DRAWDOWN_GE_15,49.24,202
033640,네패스,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_033640_KR7033640004_KOSDAQ_01,1,2025-11-03,17430.0,23.35,RECOVERY,2026-03-20,92.0,2025-11-03,2026-03-19,-17.383821,2025-12-24,-22.203098,2025-12-23,NO_EXIT_BEFORE_CUTOFF,-0.92,99
033780,KT&G,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_033780_KR7033780008_KOSPI_01,1,2022-09-26,86100.0,46.81,RECOVERY,2024-08-13,464.0,2022-09-26,2024-08-12,-5.574913,2023-07-07,-5.923345,2023-07-10,EXIT4_SCORE_DRAWDOWN_GE_15,25.78,552
034020,두산에너빌리티,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_034020_KR7034020008_KOSPI_01,1,2023-04-24,18440.0,35.57,RECOVERY,2024-07-09,295.0,2023-04-24,2024-07-08,-27.223427,2023-10-31,-27.603037,2023-10-31,LOSS_GUARD_CLOSE_LE_NEG_15,7.16,307
034020,두산에너빌리티,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_034020_KR7034020008_KOSPI_02,2,2024-06-24,21100.0,46.45,RECOVERY,2025-02-14,155.0,2024-06-24,2025-02-13,-24.834123,2024-08-05,-28.199052,2024-08-05,LOSS_GUARD_CLOSE_LE_NEG_15,17.3,167
034020,두산에너빌리티,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_034020_KR7034020008_KOSPI_03,3,2025-01-31,23500.0,31.49,RECOVERY,2025-02-14,10.0,2025-01-31,2025-02-13,-2.12766,2025-02-10,-3.404255,2025-02-07,EXIT4_SCORE_DRAWDOWN_GE_15,5.32,22
034220,LG디스플레이,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_034220_KR7034220004_KOSPI_01,1,2021-04-05,21350.0,19.48,NEVER_WINNER,,,2021-04-05,2026-08-14,-66.18267,2025-04-09,-66.510539,2025-04-09,EXIT4_SCORE_DRAWDOWN_GE_15,-55.5,1314
034220,LG디스플레이,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_034220_KR7034220004_KOSPI_02,2,2025-09-01,11890.0,31.37,RECOVERY,2025-09-25,18.0,2025-09-01,2025-09-24,-2.102607,2025-09-10,-2.691337,2025-09-01,EXIT3_PROGRESSED_TO_WEAK,15.9,36
034230,파라다이스,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_034230_KR7034230003_KOSDAQ_01,1,2021-05-17,18850.0,6.63,NEVER_WINNER,,,2021-05-17,2024-06-21,-34.748011,2024-01-17,-36.074271,2022-07-12,LOSS_GUARD_CLOSE_LE_NEG_15,-21.17,764
034230,파라다이스,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_034230_KR7034230003_KOSDAQ_02,2,2022-12-05,17550.0,7.12,NEVER_WINNER,,,2022-12-05,2024-06-21,-29.91453,2024-01-17,-30.42735,2024-01-17,LOSS_GUARD_CLOSE_LE_NEG_15,-15.33,380
034310,NICE,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_034310_KR7034310003_KOSPI_01,1,2025-06-30,12500.0,23.44,RECOVERY,2026-02-13,155.0,2025-06-30,2026-02-12,-2.0,2026-01-13,-2.56,2026-01-14,NO_PROGRESSED_BEFORE_CUTOFF,5.92,168
034730,SK,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_034730_KR7034730002_KOSPI_01,1,2024-02-26,199800.0,20.87,RECOVERY,2025-07-01,325.0,2024-02-26,2025-06-30,-42.242242,2025-04-09,-42.542543,2025-04-09,LOSS_GUARD_CLOSE_LE_NEG_15,4.6,345
034730,SK,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_034730_KR7034730002_KOSPI_02,2,2025-06-16,190100.0,27.04,RECOVERY,2025-07-01,11.0,2025-06-16,2025-06-30,1.315097,2025-06-19,-1.104682,2025-06-16,EXIT4_SCORE_DRAWDOWN_GE_15,9.94,31
034810,해성산업,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_034810_KR7034810002_KOSDAQ_01,1,2021-04-05,15723.0,13.43,NEVER_WINNER,,,2021-04-05,2026-08-14,-66.29142,2024-12-09,-66.86383,2024-12-09,EXIT4_SCORE_DRAWDOWN_GE_15,-62.73,1318
034950,한국기업평가,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_034950_KR7034950006_KOSDAQ_01,1,2025-03-04,87800.0,22.89,RECOVERY,2025-06-12,67.0,2025-03-04,2025-06-11,-2.961276,2025-04-09,-3.530752,2025-04-11,NO_PROGRESSED_BEFORE_CUTOFF,10.48,141
035250,강원랜드,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_035250_KR7035250000_KOSPI_01,1,2025-08-11,18910.0,3.6,NEVER_WINNER,,,2025-08-11,2026-08-14,-25.383395,2026-07-21,-26.388154,2026-06-26,LOSS_GUARD_CLOSE_LE_NEG_15,-24.33,251
035420,NAVER,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_035420_KR7035420009_KOSPI_01,1,2025-02-10,229500.0,28.54,RECOVERY,2025-06-23,89.0,2025-02-10,2025-06-20,-22.91939,2025-04-09,-23.224401,2025-04-09,LOSS_GUARD_CLOSE_LE_NEG_15,8.28,100
035420,NAVER,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_035420_KR7035420009_KOSPI_02,2,2025-06-30,257000.0,18.29,NEVER_WINNER,,,2025-06-30,2026-08-14,-28.715953,2026-07-14,-29.533074,2026-07-14,LOSS_GUARD_CLOSE_LE_NEG_15,-13.62,281
035600,KG이니시스,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_035600_KR7035600006_KOSDAQ_01,1,2021-05-31,21950.0,14.58,NEVER_WINNER,,,2021-05-31,2026-08-14,-63.143508,2025-04-09,-63.690205,2025-04-07,LOSS_GUARD_CLOSE_LE_NEG_15,-54.44,1281
035600,KG이니시스,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_035600_KR7035600006_KOSDAQ_02,2,2022-04-04,22450.0,12.03,NEVER_WINNER,,,2022-04-04,2026-08-14,-63.964365,2025-04-09,-64.498886,2025-04-07,LOSS_GUARD_CLOSE_LE_NEG_15,-55.46,1073
035600,KG이니시스,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_035600_KR7035600006_KOSDAQ_03,3,2025-07-14,12710.0,1.89,NEVER_WINNER,,,2025-07-14,2026-08-14,-28.638867,2026-06-26,-29.81904,2026-07-30,LOSS_GUARD_CLOSE_LE_NEG_15,-21.32,271
035600,KG이니시스,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_035600_KR7035600006_KOSDAQ_04,4,2026-02-23,12270.0,0.08,NEVER_WINNER,,,2026-02-23,2026-08-14,-26.07987,2026-06-26,-27.302363,2026-07-30,LOSS_GUARD_CLOSE_LE_NEG_15,-18.5,123
035720,카카오,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_035720_KR7035720002_KOSPI_01,1,2025-09-15,65000.0,7.23,NEVER_WINNER,,,2025-09-15,2026-08-14,-49.0,2026-06-26,-50.384615,2026-06-26,EXIT4_SCORE_DRAWDOWN_GE_15,-44.92,227
035760,CJ ENM,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_035760_KR7035760008_KOSDAQ_01,1,2025-06-23,77800.0,5.78,NEVER_WINNER,,,2025-06-23,2026-08-14,-62.917738,2026-07-20,-63.881748,2026-07-20,LOSS_GUARD_CLOSE_LE_NEG_15,-59.13,286
035760,CJ ENM,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_035760_KR7035760008_KOSDAQ_02,2,2025-08-25,77400.0,6.33,NEVER_WINNER,,,2025-08-25,2026-08-14,-62.726098,2026-07-20,-63.69509,2026-07-20,LOSS_GUARD_CLOSE_LE_NEG_15,-58.91,242
036200,유니셈,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_036200_KR7036200004_KOSDAQ_01,1,2025-09-29,10170.0,21.73,RECOVERY,2025-10-02,3.0,2025-09-29,2025-10-01,2.949853,2025-09-30,-1.671583,2025-09-29,LOSS_GUARD_CLOSE_LE_NEG_15,1.28,6
036460,한국가스공사,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_036460_KR7036460004_KOSPI_01,1,2021-06-21,38250.0,35.42,RECOVERY,2021-09-28,67.0,2021-06-21,2021-09-27,-13.333333,2021-08-20,-13.72549,2021-08-20,EXIT4_SCORE_DRAWDOWN_GE_15,16.08,85
036460,한국가스공사,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_036460_KR7036460004_KOSPI_02,2,2026-02-23,45450.0,0.11,NEVER_WINNER,,,2026-02-23,2026-08-14,-30.253025,2026-07-20,-31.463146,2026-06-26,LOSS_GUARD_CLOSE_LE_NEG_15,-21.56,123
036530,SNT홀딩스,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_036530_KR7036530004_KOSPI_01,1,2024-02-05,20850.0,32.37,RECOVERY,2024-03-29,36.0,2024-02-05,2024-03-28,-4.508393,2024-02-06,-5.227818,2024-02-06,EXIT4_SCORE_DRAWDOWN_GE_15,14.63,43
036540,SFA반도체,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_036540_KR7036540003_KOSDAQ_01,1,2023-06-12,5860.0,20.99,RECOVERY,2024-01-04,139.0,2023-06-12,2024-01-03,-19.539249,2023-10-31,-19.709898,2023-10-31,LOSS_GUARD_CLOSE_LE_NEG_15,4.27,147
