population,recovery_class,metric,stat,value,total_count,total_rate_pct,recovery_count,recovery_rate_pct,never_winner_count,never_winner_rate_pct,recovery_within_bin_rate_pct
LOSS_GUARD_590,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,> -10%,87.0,87.0,14.745763,87.0,14.745763,0.0,0.0,100.0
LOSS_GUARD_590,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,-10% to > -15%,21.0,21.0,3.559322,21.0,3.559322,0.0,0.0,100.0
LOSS_GUARD_590,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,-15% to > -20%,66.0,66.0,11.186441,60.0,10.169492,6.0,1.016949,90.909091
LOSS_GUARD_590,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,-20% to > -25%,77.0,77.0,13.050847,65.0,11.016949,12.0,2.033898,84.415584
LOSS_GUARD_590,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,-25% to > -30%,52.0,52.0,8.813559,37.0,6.271186,15.0,2.542373,71.153846
LOSS_GUARD_590,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,-30% to > -35%,43.0,43.0,7.288136,25.0,4.237288,18.0,3.050847,58.139535
LOSS_GUARD_590,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,-35% to > -40%,35.0,35.0,5.932203,19.0,3.220339,16.0,2.711864,54.285714
LOSS_GUARD_590,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,-40% to > -45%,41.0,41.0,6.949153,20.0,3.389831,21.0,3.559322,48.780488
LOSS_GUARD_590,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,-45% to > -50%,32.0,32.0,5.423729,18.0,3.050847,14.0,2.372881,56.25
LOSS_GUARD_590,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,-50% to > -55%,27.0,27.0,4.576271,11.0,1.864407,16.0,2.711864,40.740741
LOSS_GUARD_590,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,-55% to > -60%,33.0,33.0,5.59322,8.0,1.355932,25.0,4.237288,24.242424
LOSS_GUARD_590,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,<= -60%,72.0,72.0,12.20339,12.0,2.033898,60.0,10.169492,16.666667
