ticker,date,naver_open,naver_high,naver_low,naver_close,naver_volume,raw_open,raw_high,raw_low,raw_close,raw_volume,raw_trading_value,raw_market,activity_type,activity_reason,safe_derivation_available,final_semantic_class,recommended_source_action,recommended_coverage_action
004820,2010-03-24,0.0,0.0,0.0,315.0,261762.0,315,315,315,315,261762,82455140,KOSPI,CONFIRMED_ACTIVITY_VALID_RAW_CANDLE,ADJUSTED_SOURCE_OHL_GAP,False,ADJUDICATED_SOURCE_NONUSABLE,ADJUDICATED_SOURCE_NONUSABLE,ACCOUNT_AS_SOURCE_NONUSABLE
002780,2011-02-15,0.0,0.0,0.0,1070.0,130562.0,280,280,280,280,130562,36671138,KOSPI,CONFIRMED_ACTIVITY_VALID_RAW_CANDLE,ADJUSTED_SOURCE_OHL_GAP,False,ADJUDICATED_SOURCE_NONUSABLE,ADJUDICATED_SOURCE_NONUSABLE,ACCOUNT_AS_SOURCE_NONUSABLE
004450,2011-08-24,0.0,0.0,0.0,19050.0,1.0,0,0,0,19050,1,19050,KOSPI,CONFIRMED_ACTIVITY_NONPHYSICAL_RAW,UPSTREAM_MARKET_DATA_NONUSABLE_CANDLE,False,ADJUDICATED_SOURCE_NONUSABLE,ADJUDICATED_SOURCE_NONUSABLE,ACCOUNT_AS_SOURCE_NONUSABLE
002420,2011-09-22,0.0,0.0,0.0,5916.0,5.0,0,0,0,30900,1,30950,KOSPI,CONFIRMED_ACTIVITY_NONPHYSICAL_RAW,UPSTREAM_MARKET_DATA_NONUSABLE_CANDLE,False,ADJUDICATED_SOURCE_NONUSABLE,ADJUDICATED_SOURCE_NONUSABLE,ACCOUNT_AS_SOURCE_NONUSABLE
002410,2011-10-20,0.0,0.0,0.0,48433.0,1262960.0,1700,1720,1505,1505,1262960,1985525400,KOSPI,CONFIRMED_ACTIVITY_VALID_RAW_CANDLE,ADJUSTED_SOURCE_OHL_GAP,False,ADJUDICATED_SOURCE_NONUSABLE,ADJUDICATED_SOURCE_NONUSABLE,ACCOUNT_AS_SOURCE_NONUSABLE
003530,2011-12-08,0.0,0.0,0.0,4154.0,129640.0,4735,4815,4700,4815,129640,615333750,KOSPI,CONFIRMED_ACTIVITY_VALID_RAW_CANDLE,ADJUSTED_SOURCE_OHL_GAP,False,ADJUDICATED_SOURCE_NONUSABLE,ADJUDICATED_SOURCE_NONUSABLE,ACCOUNT_AS_SOURCE_NONUSABLE
003220,2011-12-21,0.0,0.0,0.0,2951.0,168947.0,4820,5040,4820,4940,100910,498607700,KOSPI,CONFIRMED_ACTIVITY_VALID_RAW_CANDLE,ADJUSTED_SOURCE_OHL_GAP,False,ADJUDICATED_SOURCE_NONUSABLE,ADJUDICATED_SOURCE_NONUSABLE,ACCOUNT_AS_SOURCE_NONUSABLE
003460,2012-06-27,0.0,0.0,0.0,2630.0,1.0,0,0,0,13150,1,13150,KOSPI,CONFIRMED_ACTIVITY_NONPHYSICAL_RAW,UPSTREAM_MARKET_DATA_NONUSABLE_CANDLE,False,ADJUDICATED_SOURCE_NONUSABLE,ADJUDICATED_SOURCE_NONUSABLE,ACCOUNT_AS_SOURCE_NONUSABLE
000360,2012-07-16,0.0,0.0,0.0,6610.0,41680.0,3265,3440,3265,3300,41680,138215850,KOSPI,CONFIRMED_ACTIVITY_VALID_RAW_CANDLE,ADJUSTED_SOURCE_OHL_GAP,False,ADJUDICATED_SOURCE_NONUSABLE,ADJUDICATED_SOURCE_NONUSABLE,ACCOUNT_AS_SOURCE_NONUSABLE
001260,2012-08-01,0.0,0.0,0.0,1288464.0,508550.0,2345,2395,2310,2320,508550,1189074350,KOSPI,CONFIRMED_ACTIVITY_VALID_RAW_CANDLE,ADJUSTED_SOURCE_OHL_GAP,False,ADJUDICATED_SOURCE_NONUSABLE,ADJUDICATED_SOURCE_NONUSABLE,ACCOUNT_AS_SOURCE_NONUSABLE
000950,2012-10-04,0.0,0.0,0.0,23600.0,3.0,0,0,0,23600,3,70800,KOSPI,CONFIRMED_ACTIVITY_NONPHYSICAL_RAW,UPSTREAM_MARKET_DATA_NONUSABLE_CANDLE,False,ADJUDICATED_SOURCE_NONUSABLE,ADJUDICATED_SOURCE_NONUSABLE,ACCOUNT_AS_SOURCE_NONUSABLE
003190,2013-03-21,0.0,0.0,0.0,1335.0,23370.0,0,0,0,1335,23370,31198950,KOSPI,CONFIRMED_ACTIVITY_NONPHYSICAL_RAW,UPSTREAM_MARKET_DATA_NONUSABLE_CANDLE,False,ADJUDICATED_SOURCE_NONUSABLE,ADJUDICATED_SOURCE_NONUSABLE,ACCOUNT_AS_SOURCE_NONUSABLE
004790,2013-03-21,0.0,0.0,0.0,6690.0,4508.0,0,0,0,446,4508,2010568,KOSDAQ,CONFIRMED_ACTIVITY_NONPHYSICAL_RAW,UPSTREAM_MARKET_DATA_NONUSABLE_CANDLE,False,ADJUDICATED_SOURCE_NONUSABLE,ADJUDICATED_SOURCE_NONUSABLE,ACCOUNT_AS_SOURCE_NONUSABLE
001520,2013-09-30,0.0,0.0,0.0,8130.0,1050.0,0,0,0,813,10503,8538939,KOSPI,CONFIRMED_ACTIVITY_NONPHYSICAL_RAW,UPSTREAM_MARKET_DATA_NONUSABLE_CANDLE,False,ADJUDICATED_SOURCE_NONUSABLE,ADJUDICATED_SOURCE_NONUSABLE,ACCOUNT_AS_SOURCE_NONUSABLE
