date,ticker,market,open,high,low,close,volume,trading_value,file_path,file_sha256,suspension_authority_present,manifest
2012-07-13,000360,KOSPI,3190,3440,3125,3360,78072,256215790,/Users/june/Documents/projects/krx-trend-scanner/data/market/raw/krx_stocks/v01/market=KOSPI/year=2012/2012-07-13.parquet,f044dd79240fa68571e54f448832768fda4668ba94bc5da5aa15b4754c52194d,False,"{'market': 'KOSPI', 'date': '2012-07-13', 'status': 'COMPLETE', 'schema_version': 'KRX_RAW_STOCK_V01', 'source_endpoint': '/sto/stk_bydd_trd', 'file_path': 'market=KOSPI/year=2012/2012-07-13.parquet', 'row_count': 934, 'content_sha256': '4d2afef703f43b5d44579479816cee48af7eb4652bfabd1319535a061c19b998', 'file_sha256': 'f044dd79240fa68571e54f448832768fda4668ba94bc5da5aa15b4754c52194d'}"
2012-07-16,000360,KOSPI,3265,3440,3265,3300,41680,138215850,/Users/june/Documents/projects/krx-trend-scanner/data/market/raw/krx_stocks/v01/market=KOSPI/year=2012/2012-07-16.parquet,96425c6e69ceb21e4f462617f2887dcb4e126e06437fdd50d5fa59d8c6c9a9b9,True,"{'market': 'KOSPI', 'date': '2012-07-16', 'status': 'COMPLETE', 'schema_version': 'KRX_RAW_STOCK_V01', 'source_endpoint': '/sto/stk_bydd_trd', 'file_path': 'market=KOSPI/year=2012/2012-07-16.parquet', 'row_count': 933, 'content_sha256': 'be3c4a406a7b2b843a8720f09b31142c551cf93d625875b216c7228d8ac40051', 'file_sha256': '96425c6e69ceb21e4f462617f2887dcb4e126e06437fdd50d5fa59d8c6c9a9b9'}"
2012-07-17,000360,KOSPI,0,0,0,3300,0,0,/Users/june/Documents/projects/krx-trend-scanner/data/market/raw/krx_stocks/v01/market=KOSPI/year=2012/2012-07-17.parquet,4efdf7186adb098700ad8de2aba8749a8efeedd09be503960c5b105adf8a0e9c,True,"{'market': 'KOSPI', 'date': '2012-07-17', 'status': 'COMPLETE', 'schema_version': 'KRX_RAW_STOCK_V01', 'source_endpoint': '/sto/stk_bydd_trd', 'file_path': 'market=KOSPI/year=2012/2012-07-17.parquet', 'row_count': 933, 'content_sha256': '50d220d29fcee4c557e2ea94aa4404ac1b3f02f34e89b899e616a8c144af2edd', 'file_sha256': '4efdf7186adb098700ad8de2aba8749a8efeedd09be503960c5b105adf8a0e9c'}"
