ticker,date,naver_open,naver_high,naver_low,naver_close,naver_volume,raw_open,raw_high,raw_low,raw_close,raw_volume,raw_trading_value,raw_activity_class,confirmed_nontrading,source_action
002420,2010-08-11,6632.0,6632.0,6632.0,6634.0,0.0,0,0,0,34650,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2012-10-11,6087.0,6087.0,6087.0,6088.0,0.0,0,0,0,31800,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2012-10-26,5934.0,5934.0,5934.0,5935.0,0.0,0,0,0,31000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
001940,2012-11-01,7495.0,7495.0,7495.0,7496.0,0.0,0,0,0,37400,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
001940,2012-12-04,7014.0,7014.0,7014.0,7015.0,0.0,0,0,0,35000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2012-12-17,5761.0,5761.0,5761.0,5763.0,0.0,0,0,0,30100,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
001940,2013-01-02,7555.0,7555.0,7555.0,7556.0,0.0,0,0,0,37700,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2013-01-02,5838.0,5838.0,5838.0,5839.0,0.0,0,0,0,30500,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
001940,2013-01-03,7515.0,7515.0,7515.0,7516.0,0.0,0,0,0,37500,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2013-01-09,5800.0,5800.0,5800.0,5801.0,0.0,0,0,0,30300,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2013-01-23,5800.0,5800.0,5800.0,5801.0,0.0,0,0,0,30300,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2013-01-30,5742.0,5742.0,5742.0,5744.0,0.0,0,0,0,30000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2013-02-12,5771.0,5771.0,5771.0,5772.0,0.0,0,0,0,30150,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2013-02-20,5781.0,5781.0,5781.0,5782.0,0.0,0,0,0,30200,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
