strategy,metric,value
CONTROL,final_equity,369288642.9827043
CONTROL,final_equity_at_effective_close,369418195.0108743
CONTROL,cumulative_return_pct,84.64432149135214
CONTROL,CAGR_pct,11.457314627892234
CONTROL,mdd_pct,-30.802205
CONTROL,peak_date,2021-05-10
CONTROL,trough_date,2022-10-13
CONTROL,recovery_date,2025-05-29
CONTROL,recovered,True
CONTROL,trade_count,242
CONTROL,realized_trade_count,218
CONTROL,win_rate_pct,30.275229357798164
CONTROL,average_holding_trading_days,179.37614678899084
CONTROL,median_holding_trading_days,77.0
CONTROL,average_concurrent_positions,34.18168709444845
CONTROL,maximum_concurrent_positions,54
CONTROL,average_capital_utilization_pct,87.71509777330549
CONTROL,maximum_capital_utilization_pct,99.96289893768792
CONTROL,average_cash_ratio_pct,12.284902226694507
CONTROL,cash_drag_pct,12.284902226694507
CONTROL,turnover_krw,2416285709.658
CONTROL,turnover_multiple,12.08142854829
CONTROL,turnover_pct_initial_capital,1208.142854829
CONTROL,total_buy_notional_krw,1195602840.4320002
CONTROL,total_sell_notional_krw,1220682869.226
CONTROL,total_commissions_krw,362442.8564487005
CONTROL,total_sell_tax_krw,2412582.9548472012
CONTROL,slippage_impact_krw,2416313.205999862
CONTROL,cash_shortage_skipped_entries,243
CONTROL,realized_return_le_neg_30_count,5
CONTROL,realized_return_le_neg_40_count,2
CONTROL,realized_return_le_neg_50_count,1
CONTROL,realized_return_le_neg_60_count,0
CONTROL,realized_return_ge_pos_50_count,37
CONTROL,realized_return_ge_pos_100_count,21
CONTROL,open_at_effective_cutoff_count,27
CONTROL,open_at_effective_cutoff_market_value_krw,168442040.0
CONTROL,pending_sale_proceeds_at_support_krw,21328847.97183
CONTROL,unresolved_count,0
CONTROL,cash_conservation_pass,True
CONTROL,position_cap,
CANDIDATE,final_equity,350225464.82495177
CANDIDATE,final_equity_at_effective_close,350355016.85312176
CANDIDATE,cumulative_return_pct,75.11273241247589
CANDIDATE,CAGR_pct,10.417317163395158
CANDIDATE,mdd_pct,-31.885753
CANDIDATE,peak_date,2021-05-10
CANDIDATE,trough_date,2023-03-14
CANDIDATE,recovery_date,2025-06-04
CANDIDATE,recovered,True
CANDIDATE,trade_count,251
CANDIDATE,realized_trade_count,228
CANDIDATE,win_rate_pct,28.50877192982456
CANDIDATE,average_holding_trading_days,166.08771929824562
CANDIDATE,median_holding_trading_days,77.0
CANDIDATE,average_concurrent_positions,32.439077144917086
CANDIDATE,maximum_concurrent_positions,51
CANDIDATE,average_capital_utilization_pct,87.24359346339587
CANDIDATE,maximum_capital_utilization_pct,99.99560817130217
CANDIDATE,average_cash_ratio_pct,12.756406536604134
CANDIDATE,cash_drag_pct,12.756406536604134
CANDIDATE,turnover_krw,2491785887.7770004
CANDIDATE,turnover_multiple,12.458929438885002
CANDIDATE,turnover_pct_initial_capital,1245.8929438885002
CANDIDATE,total_buy_notional_krw,1240034232.4370003
CANDIDATE,total_sell_notional_krw,1251751655.3400002
CANDIDATE,total_commissions_krw,373767.8831665506
CANDIDATE,total_sell_tax_krw,2490630.1948818
CANDIDATE,slippage_impact_krw,2491800.0969998534
CANDIDATE,cash_shortage_skipped_entries,234
CANDIDATE,realized_return_le_neg_30_count,8
CANDIDATE,realized_return_le_neg_40_count,5
CANDIDATE,realized_return_le_neg_50_count,1
CANDIDATE,realized_return_le_neg_60_count,1
CANDIDATE,realized_return_ge_pos_50_count,37
CANDIDATE,realized_return_ge_pos_100_count,22
CANDIDATE,open_at_effective_cutoff_count,26
CANDIDATE,open_at_effective_cutoff_market_value_krw,162830840.0
CANDIDATE,pending_sale_proceeds_at_support_krw,21328847.97183
CANDIDATE,unresolved_count,0
CANDIDATE,cash_conservation_pass,True
CANDIDATE,position_cap,
CANDIDATE_MINUS_CONTROL,final_equity,-19063178.157752514
CANDIDATE_MINUS_CONTROL,cumulative_return_pct,-9.531589078876252
CANDIDATE_MINUS_CONTROL,CAGR_pct,-1.0399974644970769
CANDIDATE_MINUS_CONTROL,mdd_pct,-1.0835480000000004
CANDIDATE_MINUS_CONTROL,trade_count,9
CANDIDATE_MINUS_CONTROL,win_rate_pct,-1.7664574279736023
CANDIDATE_MINUS_CONTROL,average_holding_trading_days,-13.288427490745221
CANDIDATE_MINUS_CONTROL,median_holding_trading_days,0.0
CANDIDATE_MINUS_CONTROL,average_concurrent_positions,-1.7426099495313636
CANDIDATE_MINUS_CONTROL,maximum_concurrent_positions,-3
CANDIDATE_MINUS_CONTROL,average_capital_utilization_pct,-0.4715043099096192
CANDIDATE_MINUS_CONTROL,average_cash_ratio_pct,0.47150430990962633
CANDIDATE_MINUS_CONTROL,turnover_multiple,0.3775008905950017
CANDIDATE_MINUS_CONTROL,total_commissions_krw,11325.026717850124
CANDIDATE_MINUS_CONTROL,total_sell_tax_krw,78047.24003459886
CANDIDATE_MINUS_CONTROL,slippage_impact_krw,75486.89099999145
CANDIDATE_MINUS_CONTROL,cash_shortage_skipped_entries,-9
CANDIDATE_MINUS_CONTROL,realized_return_le_neg_30_count,3
CANDIDATE_MINUS_CONTROL,realized_return_le_neg_40_count,3
CANDIDATE_MINUS_CONTROL,realized_return_le_neg_50_count,0
CANDIDATE_MINUS_CONTROL,realized_return_le_neg_60_count,1
CANDIDATE_MINUS_CONTROL,realized_return_ge_pos_50_count,0
CANDIDATE_MINUS_CONTROL,realized_return_ge_pos_100_count,1
CANDIDATE_MINUS_CONTROL,open_at_effective_cutoff_count,-1
CANDIDATE_MINUS_CONTROL,maximum_capital_utilization_pct,0.032709233614241384
