date,market,internal_index_code,krx_index_name,classification,mismatch_fields,selection_rule,note
2026-08-19,KOSPI,1001,코스피,INDEX_SELECTION_DIFFERENCE,volume;trading_value,IDX_CLSS == 'KOSPI' AND IDX_NM == '코스피' AND CLSPRC_IDX is nonblank,PyKRX 1001/2001 aligns OHLC with exact-name row but uses KRX aggregate ancillary volume/trading-value row
2026-08-20,KOSPI,1001,코스피,INDEX_SELECTION_DIFFERENCE,volume;trading_value,IDX_CLSS == 'KOSPI' AND IDX_NM == '코스피' AND CLSPRC_IDX is nonblank,PyKRX 1001/2001 aligns OHLC with exact-name row but uses KRX aggregate ancillary volume/trading-value row
2026-08-21,KOSPI,1001,코스피,INDEX_SELECTION_DIFFERENCE,volume;trading_value,IDX_CLSS == 'KOSPI' AND IDX_NM == '코스피' AND CLSPRC_IDX is nonblank,PyKRX 1001/2001 aligns OHLC with exact-name row but uses KRX aggregate ancillary volume/trading-value row
2026-08-19,KOSDAQ,2001,코스닥,INDEX_SELECTION_DIFFERENCE,volume;trading_value,IDX_CLSS == 'KOSDAQ' AND IDX_NM == '코스닥' AND CLSPRC_IDX is nonblank,PyKRX 1001/2001 aligns OHLC with exact-name row but uses KRX aggregate ancillary volume/trading-value row
2026-08-20,KOSDAQ,2001,코스닥,INDEX_SELECTION_DIFFERENCE,volume;trading_value,IDX_CLSS == 'KOSDAQ' AND IDX_NM == '코스닥' AND CLSPRC_IDX is nonblank,PyKRX 1001/2001 aligns OHLC with exact-name row but uses KRX aggregate ancillary volume/trading-value row
2026-08-21,KOSDAQ,2001,코스닥,INDEX_SELECTION_DIFFERENCE,volume;trading_value,IDX_CLSS == 'KOSDAQ' AND IDX_NM == '코스닥' AND CLSPRC_IDX is nonblank,PyKRX 1001/2001 aligns OHLC with exact-name row but uses KRX aggregate ancillary volume/trading-value row
