control_id,ticker,issuer_name,source_event_type,normalized_event_type,event_node_path,event_node_heading,timing_node_path,binding_relationship,lowest_common_ancestor_path,official_anchor_type,official_anchor_date,official_anchor_source_field,official_anchor_source_value,price_window_start,price_window_end,authority_source_tier,authority_source_name,authority_record_id,producing_request_id,raw_evidence_path,raw_evidence_sha256,selection_role,selection_order,selection_algorithm
CORP_005930_STOCK_SPLIT,005930,삼성전자,STOCK_SPLIT,STOCK_SPLIT,DOCUMENT[1]/BODY[1]/SECTION-1[4]/SECTION-2[2]/INSERTION[1]/LIBRARY[4]/SECTION-3[1],□ 정관의 변경,DOCUMENT[1]/BODY[1]/SECTION-1[4]/SECTION-2[2]/INSERTION[1]/LIBRARY[4]/SECTION-3[1]/P[4],ANCESTOR_DESCENDANT,DOCUMENT[1]/BODY[1]/SECTION-1[4]/SECTION-2[2]/INSERTION[1]/LIBRARY[4]/SECTION-3[1],NEW_SHARE_LISTING_DATE,2018-05-16,신주상장예정일,2018년 5월 16,2018-04-11,2018-06-20,TIER_A1_OPENDART,OPENDART_OFFICIAL_API,20180223000294,REQ_DOC_PROBE_OPENDART_005930_20180223000294_R3,artifacts/data/end_to_end_data_parity/v01/adjusted_price_source_authority_review/corporate_action_evidence/v01_fix03_correction_5/raw/005930_STOCK_SPLIT_20180223000294.xml,983a41c0626faad24260e6c37115a81ba2866f1dcdc49b73057fff5c79825deb,AUTHORITY_VALID_FROZEN_CONTROL,1,OPENDART_PAGINATED_TRUE_XML_HIERARCHY_COHORT_V01_FIX03_CORRECTION_5
CORP_035420_STOCK_SPLIT,035420,NAVER,STOCK_SPLIT,STOCK_SPLIT,HTML[1]/BODY[1]/DIV[1]/DIV[1]/TABLE[1],,HTML[1]/BODY[1]/DIV[1]/DIV[1]/TABLE[1]/TBODY[1]/TR[11],ANCESTOR_DESCENDANT,HTML[1]/BODY[1]/DIV[1]/DIV[1]/TABLE[1],NEW_SHARE_LISTING_DATE,2018-10-12,신주상장예정일,2018-10-12,2018-09-07,2018-11-16,TIER_A1_OPENDART,OPENDART_OFFICIAL_API,20180726800004,REQ_DOC_PROBE_OPENDART_035420_20180726800004_R1,artifacts/data/end_to_end_data_parity/v01/adjusted_price_source_authority_review/corporate_action_evidence/v01_fix03_correction_5/raw/035420_STOCK_SPLIT_20180726800004.xml,aaca9996835f51f23fce9794cbf7f004b59678c3d08c5568c9fb733ef2321186,AUTHORITY_VALID_FROZEN_CONTROL,2,OPENDART_PAGINATED_TRUE_XML_HIERARCHY_COHORT_V01_FIX03_CORRECTION_5
CORP_035720_STOCK_SPLIT,035720,카카오,STOCK_SPLIT,STOCK_SPLIT,HTML[1]/BODY[1]/DIV[1]/DIV[1]/TABLE[1],,HTML[1]/BODY[1]/DIV[1]/DIV[1]/TABLE[1]/TBODY[1]/TR[13],ANCESTOR_DESCENDANT,HTML[1]/BODY[1]/DIV[1]/DIV[1]/TABLE[1],NEW_SHARE_LISTING_DATE,2021-04-15,신주상장예정일,2021-04-15,2021-03-11,2021-05-20,TIER_A1_OPENDART,OPENDART_OFFICIAL_API,20210225800978,REQ_DOC_PROBE_OPENDART_035720_20210225800978_R1,artifacts/data/end_to_end_data_parity/v01/adjusted_price_source_authority_review/corporate_action_evidence/v01_fix03_correction_5/raw/035720_STOCK_SPLIT_20210225800978.xml,792f01bfaed53864f11cdeb88dd6a9bfee997f14d3cf31a0a98a993b5ea5b885,AUTHORITY_VALID_FROZEN_CONTROL,3,OPENDART_PAGINATED_TRUE_XML_HIERARCHY_COHORT_V01_FIX03_CORRECTION_5
CORP_003670_RIGHTS_OFFERING,003670,포스코퓨처엠,RIGHTS_OFFERING,RIGHTS_OFFERING,HTML[1]/BODY[1]/DIV[1]/DIV[1]/TABLE[1],,HTML[1]/BODY[1]/DIV[1]/DIV[1]/TABLE[1]/TBODY[1]/TR[9]/TD[2]/SPAN[1]/BR[1]/BR[1]/BR[1],ANCESTOR_DESCENDANT,HTML[1]/BODY[1]/DIV[1]/DIV[1]/TABLE[1],NEW_SHARE_LISTING_DATE,2021-02-03,신주상장일,2021년 02월 03,2020-12-30,2021-03-10,TIER_A1_OPENDART,OPENDART_OFFICIAL_API,20210121800246,REQ_DOC_PROBE_OPENDART_003670_20210121800246_R1,artifacts/data/end_to_end_data_parity/v01/adjusted_price_source_authority_review/corporate_action_evidence/v01_fix03_correction_5/raw/003670_RIGHTS_OFFERING_20210121800246.xml,5067216e5b90bd73f5ba78320f47d7d6a540b2d4d3150a4888d3733c27b9b533,AUTHORITY_VALID_FROZEN_CONTROL,4,OPENDART_PAGINATED_TRUE_XML_HIERARCHY_COHORT_V01_FIX03_CORRECTION_5
CORP_028260_MERGER,028260,삼성물산,MERGER,MERGER,DOCUMENT[1]/BODY[1]/SECTION-1[1]/SECTION-2[1],Ⅰ. 일정,DOCUMENT[1]/BODY[1]/SECTION-1[1]/SECTION-2[1]/TABLE[1]/TBODY[1]/TR[17],ANCESTOR_DESCENDANT,DOCUMENT[1]/BODY[1]/SECTION-1[1]/SECTION-2[1],MERGER_EFFECTIVE_DATE,2015-09-01,합병기일,2015년 09월 01,2015-07-28,2015-10-06,TIER_A1_OPENDART,OPENDART_OFFICIAL_API,20150902000259,REQ_DOC_PROBE_OPENDART_028260_20150902000259_R1,artifacts/data/end_to_end_data_parity/v01/adjusted_price_source_authority_review/corporate_action_evidence/v01_fix03_correction_5/raw/028260_MERGER_20150902000259.xml,cd5416e35e104d75df55f74ad0a645f7ce98b8b09c59f8349badd8b3cc4a212e,AUTHORITY_VALID_FROZEN_CONTROL,5,OPENDART_PAGINATED_TRUE_XML_HIERARCHY_COHORT_V01_FIX03_CORRECTION_5
CORP_000100_BONUS_ISSUE,000100,유한양행,BONUS_ISSUE,BONUS_ISSUE,DOCUMENT[1]/BODY[1]/SECTION-1[1],무상증자 결정,DOCUMENT[1]/BODY[1]/SECTION-1[1]/TABLE-GROUP[1]/TABLE[1]/TBODY[1]/TR[6],ANCESTOR_DESCENDANT,DOCUMENT[1]/BODY[1]/SECTION-1[1],RECORD_DATE,2021-01-01,신주배정기준일,2021년 01월 01,2020-11-27,2021-02-05,TIER_A1_OPENDART,OPENDART_OFFICIAL_API,20201211000171,REQ_DOC_PROBE_OPENDART_000100_20201211000171_R1,artifacts/data/end_to_end_data_parity/v01/adjusted_price_source_authority_review/corporate_action_evidence/v01_fix03_correction_5/raw/000100_BONUS_ISSUE_20201211000171.xml,7695d82e07234e78b75d1d3148de7c95f845b43cadb8a2bb916e0b5799c99b55,AUTHORITY_VALID_FROZEN_CONTROL,6,OPENDART_PAGINATED_TRUE_XML_HIERARCHY_COHORT_V01_FIX03_CORRECTION_5
CORP_004020_MERGER,004020,현대제철,MERGER,MERGER,DOCUMENT[1]/BODY[1]/SECTION-1[1]/SECTION-2[1],Ⅰ. 일정,DOCUMENT[1]/BODY[1]/SECTION-1[1]/SECTION-2[1]/TABLE[1]/TBODY[1]/TR[18],ANCESTOR_DESCENDANT,DOCUMENT[1]/BODY[1]/SECTION-1[1]/SECTION-2[1],MERGER_EFFECTIVE_DATE,2015-07-01,합병기일,2015년 7월 1,2015-05-27,2015-08-05,TIER_A1_OPENDART,OPENDART_OFFICIAL_API,20150701000257,REQ_DOC_PROBE_OPENDART_004020_20150701000257_R1,artifacts/data/end_to_end_data_parity/v01/adjusted_price_source_authority_review/corporate_action_evidence/v01_fix03_correction_5/raw/004020_MERGER_20150701000257.xml,643db7b0f5629ce19e2044597210b572c372d33f7908f4e5f8a04817be39b29c,AUTHORITY_VALID_FROZEN_CONTROL,7,OPENDART_PAGINATED_TRUE_XML_HIERARCHY_COHORT_V01_FIX03_CORRECTION_5
CORP_010130_RIGHTS_OFFERING,010130,고려아연,RIGHTS_OFFERING,RIGHTS_OFFERING,HTML[1]/BODY[1]/DIV[1]/DIV[1]/TABLE[1],,HTML[1]/BODY[1]/DIV[1]/DIV[1]/TABLE[1]/TBODY[1]/TR[9]/TD[2]/SPAN[1]/BR[1]/BR[1]/BR[1],ANCESTOR_DESCENDANT,HTML[1]/BODY[1]/DIV[1]/DIV[1]/TABLE[1],NEW_SHARE_LISTING_DATE,2022-09-08,신주상장일,2022년 09월 08,2022-08-04,2022-10-13,TIER_A1_OPENDART,OPENDART_OFFICIAL_API,20220819800347,REQ_DOC_PROBE_OPENDART_010130_20220819800347_R1,artifacts/data/end_to_end_data_parity/v01/adjusted_price_source_authority_review/corporate_action_evidence/v01_fix03_correction_5/raw/010130_RIGHTS_OFFERING_20220819800347.xml,e7af79722598c55038dc9f9cf8ada0ae2fbf2d03c0195bf1aa058dbc158ab257,AUTHORITY_VALID_FROZEN_CONTROL,8,OPENDART_PAGINATED_TRUE_XML_HIERARCHY_COHORT_V01_FIX03_CORRECTION_5
