note,panel,group,panel_n,trades,mean_return,median_return,q25_return,q75_return,positive_rate_pct,ge_30_count,ge_30_rate_pct,ge_50_count,ge_50_rate_pct,ge_100_count,ge_100_rate_pct,le_neg_15_count,le_neg_15_rate_pct,le_neg_30_count,le_neg_30_rate_pct,le_neg_40_count,le_neg_40_rate_pct,le_neg_50_count,le_neg_50_rate_pct,le_neg_60_count,le_neg_60_rate_pct,open_at_cutoff_rate_pct,closed_rate_pct,holding_days_mean,holding_days_median,mfe_mean,mfe_median,mae_mean,mae_median,peak_giveback_mean,peak_giveback_median,exit_type_mix,open_at_cutoff_count
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,SIMPLE_POOLED_DEDUP,NO_NEXT_STAGE_BEFORE_EXIT_OR_CUTOFF,738,1,-18.34,-18.34,-18.34,-18.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,43.0,43.0,27.89,27.89,-19.1,-19.1,46.23,46.23,LOSS_GUARD_CLOSE_LE_NEG_15=100.0%,0.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,REALISTIC_P2-1_ELIGIBLE,CUTOFF_PASS,57,14,22.8193,12.79,-0.425,23.645,71.4286,3.0,21.4286,3.0,21.4286,2.0,14.2857,2.0,14.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,113.0714,98.0,61.4843,41.535,-11.2286,-8.885,38.665,40.72,EXIT4_SCORE_DRAWDOWN_GE_15=100.0%,0.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,REALISTIC_P2-1_ELIGIBLE,CUTOFF_FAIL,57,41,-8.4134,-15.6,-16.56,-14.88,14.6341,3.0,7.3171,2.0,4.878,0.0,0.0,26.0,63.4146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3171,92.6829,132.8049,59.0,18.3241,7.33,-16.9893,-16.96,26.7376,22.17,LOSS_GUARD_CLOSE_LE_NEG_15=80.5%; EXIT4_SCORE_DRAWDOWN_GE_15=12.2%; NO_EXIT_BEFORE_CUTOFF=4.9%; NO_PROGRESSED_BEFORE_CUTOFF=2.4%,3.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,REALISTIC_P2-1_ELIGIBLE,NO_NEXT_STAGE_BEFORE_EXIT_OR_CUTOFF,57,2,10.94,10.94,7.785,14.095,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,36.0,36.0,21.48,21.48,-6.04,-6.04,10.54,10.54,NO_PROGRESSED_BEFORE_CUTOFF=100.0%,2.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,REALISTIC_P2-1_FILLED,CUTOFF_PASS,38,8,34.9638,12.79,4.2925,40.4875,87.5,2.0,25.0,2.0,25.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,98.0,85.5,65.8825,41.515,-7.1712,-8.01,30.9188,27.97,EXIT4_SCORE_DRAWDOWN_GE_15=100.0%,0.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,REALISTIC_P2-1_FILLED,CUTOFF_FAIL,38,28,-9.3871,-15.845,-16.5875,-14.885,14.2857,2.0,7.1429,1.0,3.5714,0.0,0.0,19.0,67.8571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1429,92.8571,160.8571,58.0,14.9057,7.105,-16.7936,-16.965,24.2929,22.255,LOSS_GUARD_CLOSE_LE_NEG_15=82.1%; EXIT4_SCORE_DRAWDOWN_GE_15=10.7%; NO_EXIT_BEFORE_CUTOFF=7.1%,2.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,REALISTIC_P2-1_FILLED,NO_NEXT_STAGE_BEFORE_EXIT_OR_CUTOFF,38,2,10.94,10.94,7.785,14.095,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,36.0,36.0,21.48,21.48,-6.04,-6.04,10.54,10.54,NO_PROGRESSED_BEFORE_CUTOFF=100.0%,2.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,REALISTIC_P2-2_ELIGIBLE,CUTOFF_PASS,74,29,24.989,11.59,-10.1,58.38,58.6207,8.0,27.5862,8.0,27.5862,4.0,13.7931,5.0,17.2414,1.0,3.4483,1.0,3.4483,0.0,0.0,0.0,0.0,6.8966,93.1034,106.8966,104.0,66.5945,42.14,-13.0548,-11.64,41.6055,39.88,EXIT4_SCORE_DRAWDOWN_GE_15=75.9%; LOSS_GUARD_CLOSE_LE_NEG_15=13.8%; NO_EXIT_BEFORE_CUTOFF=6.9%; EXIT3_PROGRESSED_TO_WEAK=3.4%,2.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,REALISTIC_P2-2_ELIGIBLE,CUTOFF_FAIL,74,45,-2.2329,-15.51,-16.46,-14.77,20.0,7.0,15.5556,6.0,13.3333,0.0,0.0,28.0,62.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4444,95.5556,176.7333,60.0,24.6124,7.54,-18.3349,-16.96,26.8453,22.17,LOSS_GUARD_CLOSE_LE_NEG_15=77.8%; EXIT4_SCORE_DRAWDOWN_GE_15=15.6%; NO_PROGRESSED_BEFORE_CUTOFF=2.2%; NO_EXIT_BEFORE_CUTOFF=2.2%; EXIT3_PROGRESSED_TO_TRANSITION=2.2%,2.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,REALISTIC_P2-2_ELIGIBLE,NO_NEXT_STAGE_BEFORE_EXIT_OR_CUTOFF,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,REALISTIC_P2-2_FILLED,CUTOFF_PASS,46,17,22.8159,11.59,-8.56,19.4,58.8235,4.0,23.5294,4.0,23.5294,2.0,11.7647,2.0,11.7647,1.0,5.8824,1.0,5.8824,0.0,0.0,0.0,0.0,11.7647,88.2353,104.2353,104.0,64.5612,42.14,-12.0653,-9.68,41.7453,38.24,EXIT4_SCORE_DRAWDOWN_GE_15=70.6%; NO_EXIT_BEFORE_CUTOFF=11.8%; LOSS_GUARD_CLOSE_LE_NEG_15=11.8%; EXIT3_PROGRESSED_TO_WEAK=5.9%,2.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,REALISTIC_P2-2_FILLED,CUTOFF_FAIL,46,29,-1.0755,-15.45,-16.46,-14.45,20.6897,5.0,17.2414,4.0,13.7931,0.0,0.0,18.0,62.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4483,96.5517,205.0,62.0,26.5514,7.86,-17.0797,-16.67,27.6269,23.61,LOSS_GUARD_CLOSE_LE_NEG_15=75.9%; EXIT4_SCORE_DRAWDOWN_GE_15=17.2%; NO_EXIT_BEFORE_CUTOFF=3.4%; EXIT3_PROGRESSED_TO_TRANSITION=3.4%,1.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,REALISTIC_P2-2_FILLED,NO_NEXT_STAGE_BEFORE_EXIT_OR_CUTOFF,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,REALISTIC_P3-2_ELIGIBLE,CUTOFF_PASS,62,22,31.5605,15.905,-13.2875,76.42,54.5455,8.0,36.3636,8.0,36.3636,4.0,18.1818,4.0,18.1818,1.0,4.5455,1.0,4.5455,0.0,0.0,0.0,0.0,9.0909,90.9091,104.2273,119.0,76.6877,57.22,-13.1705,-11.525,45.1273,43.5,EXIT4_SCORE_DRAWDOWN_GE_15=68.2%; LOSS_GUARD_CLOSE_LE_NEG_15=18.2%; NO_EXIT_BEFORE_CUTOFF=9.1%; EXIT3_PROGRESSED_TO_WEAK=4.5%,2.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,REALISTIC_P3-2_ELIGIBLE,CUTOFF_FAIL,62,40,4.41,-15.435,-16.4375,-12.5675,22.5,7.0,17.5,7.0,17.5,4.0,10.0,23.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,95.0,141.925,64.5,33.115,7.385,-17.1973,-16.775,28.705,21.795,LOSS_GUARD_CLOSE_LE_NEG_15=75.0%; EXIT4_SCORE_DRAWDOWN_GE_15=20.0%; NO_PROGRESSED_BEFORE_CUTOFF=2.5%; NO_EXIT_BEFORE_CUTOFF=2.5%,2.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,REALISTIC_P3-2_ELIGIBLE,NO_NEXT_STAGE_BEFORE_EXIT_OR_CUTOFF,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,REALISTIC_P3-2_FILLED,CUTOFF_PASS,38,11,29.0355,-8.56,-16.6,88.945,36.3636,4.0,36.3636,4.0,36.3636,3.0,27.2727,4.0,36.3636,1.0,9.0909,1.0,9.0909,0.0,0.0,0.0,0.0,9.0909,90.9091,97.3636,118.0,70.0064,46.75,-17.1645,-11.82,40.9709,54.35,EXIT4_SCORE_DRAWDOWN_GE_15=63.6%; LOSS_GUARD_CLOSE_LE_NEG_15=18.2%; EXIT3_PROGRESSED_TO_WEAK=9.1%; NO_EXIT_BEFORE_CUTOFF=9.1%,1.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,REALISTIC_P3-2_FILLED,CUTOFF_FAIL,38,27,10.9652,-15.32,-16.445,2.88,25.9259,6.0,22.2222,6.0,22.2222,4.0,14.8148,15.0,55.5556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7037,96.2963,165.7037,68.0,40.8652,7.54,-15.5426,-16.46,29.9,22.38,LOSS_GUARD_CLOSE_LE_NEG_15=70.4%; EXIT4_SCORE_DRAWDOWN_GE_15=25.9%; NO_EXIT_BEFORE_CUTOFF=3.7%,1.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,REALISTIC_P3-2_FILLED,NO_NEXT_STAGE_BEFORE_EXIT_OR_CUTOFF,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
