panel,group,panel_n,trades,mean_return,median_return,q25_return,q75_return,positive_rate_pct,ge_30_count,ge_30_rate_pct,ge_50_count,ge_50_rate_pct,ge_100_count,ge_100_rate_pct,le_neg_15_count,le_neg_15_rate_pct,le_neg_30_count,le_neg_30_rate_pct,le_neg_40_count,le_neg_40_rate_pct,le_neg_50_count,le_neg_50_rate_pct,le_neg_60_count,le_neg_60_rate_pct,open_at_cutoff_rate_pct,closed_rate_pct,holding_days_mean,holding_days_median,mfe_mean,mfe_median,mae_mean,mae_median,peak_giveback_mean,peak_giveback_median,exit_type_mix,open_at_cutoff_count
REALISTIC_P2-2_FILLED,PASS_ORIGIN_BASE,46,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,142.0,142.0,59.8,59.8,-11.82,-11.82,59.8,59.8,EXIT4_SCORE_DRAWDOWN_GE_15=100.0%,0.0
REALISTIC_P2-2_FILLED,PASS_ORIGIN_WEAK,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REALISTIC_P2-2_FILLED,PASS_ORIGIN_PROGRESSED,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REALISTIC_P2-2_FILLED,PASS_ORIGIN_OTHER,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REALISTIC_P2-2_FILLED,FAIL_TO_TRANSITION,46,19,6.8305,-15.65,-16.29,29.515,31.5789,5.0,26.3158,4.0,21.0526,0.0,0.0,11.0,57.8947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2632,94.7368,294.2105,115.0,35.6026,12.38,-17.0121,-16.67,28.7721,23.61,LOSS_GUARD_CLOSE_LE_NEG_15=63.2%; EXIT4_SCORE_DRAWDOWN_GE_15=26.3%; NO_EXIT_BEFORE_CUTOFF=5.3%; EXIT3_PROGRESSED_TO_TRANSITION=5.3%,1.0
REALISTIC_P2-2_FILLED,FAIL_TO_BASE,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REALISTIC_P2-2_FILLED,FAIL_TO_WEAK,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REALISTIC_P3-2_ELIGIBLE,STRICT_PASS,62,18,41.7767,18.47,-6.42,88.9025,66.6667,8.0,44.4444,8.0,44.4444,4.0,22.2222,2.0,11.1111,1.0,5.5556,1.0,5.5556,0.0,0.0,0.0,0.0,11.1111,88.8889,122.1667,122.5,88.9222,86.545,-11.9839,-9.015,47.1456,49.575,EXIT4_SCORE_DRAWDOWN_GE_15=83.3%; NO_EXIT_BEFORE_CUTOFF=11.1%; EXIT3_PROGRESSED_TO_WEAK=5.6%,2.0
REALISTIC_P3-2_ELIGIBLE,STRICT_FAIL,62,24,18.3092,-14.8,-16.205,54.475,37.5,7.0,29.1667,7.0,29.1667,4.0,16.6667,11.0,45.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3333,91.6667,215.5417,96.5,49.8125,14.36,-16.8821,-16.12,31.5033,22.01,LOSS_GUARD_CLOSE_LE_NEG_15=58.3%; EXIT4_SCORE_DRAWDOWN_GE_15=33.3%; NO_PROGRESSED_BEFORE_CUTOFF=4.2%; NO_EXIT_BEFORE_CUTOFF=4.2%,2.0
REALISTIC_P3-2_ELIGIBLE,NO_NEXT_STAGE_BEFORE_EXIT_OR_CUTOFF,62,20,-16.0335,-15.58,-16.4625,-14.9675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,29.9,30.0,10.7815,4.805,-17.838,-16.985,26.815,22.145,LOSS_GUARD_CLOSE_LE_NEG_15=100.0%,0.0
