panel,ledger_lifecycle_class,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,C2_NO_PROGRESSED_WHILE_HELD,FIRST_PROGRESSED_NORMAL,LATE_NORMALIZED
SIMPLE_P1,NEVER_PROGRESSED,0,980,0,0
SIMPLE_P1,NORMAL_EARLY_TREND_HANDOFF,0,1597,1171,267
SIMPLE_P1,PROGRESSED_WITHOUT_DIRECT_HANDOFF,217,485,0,0
SIMPLE_P1,SKIPPED_EARLY_TREND_HANDOFF,125,140,0,0
SIMPLE_P2-1,NEVER_PROGRESSED,0,864,0,0
SIMPLE_P2-1,NORMAL_EARLY_TREND_HANDOFF,0,187,402,24
SIMPLE_P2-1,PROGRESSED_WITHOUT_DIRECT_HANDOFF,94,91,0,0
SIMPLE_P2-1,SKIPPED_EARLY_TREND_HANDOFF,84,54,0,0
SIMPLE_P2-2,NEVER_PROGRESSED,0,877,0,0
SIMPLE_P2-2,NORMAL_EARLY_TREND_HANDOFF,0,406,590,73
SIMPLE_P2-2,PROGRESSED_WITHOUT_DIRECT_HANDOFF,134,182,0,0
SIMPLE_P2-2,SKIPPED_EARLY_TREND_HANDOFF,94,61,0,0
SIMPLE_P3-1,NEVER_PROGRESSED,0,734,0,0
SIMPLE_P3-1,NORMAL_EARLY_TREND_HANDOFF,0,112,156,4
SIMPLE_P3-1,PROGRESSED_WITHOUT_DIRECT_HANDOFF,49,50,0,0
SIMPLE_P3-1,SKIPPED_EARLY_TREND_HANDOFF,38,30,0,0
SIMPLE_P3-2,NEVER_PROGRESSED,0,766,0,0
SIMPLE_P3-2,NORMAL_EARLY_TREND_HANDOFF,0,321,354,28
SIMPLE_P3-2,PROGRESSED_WITHOUT_DIRECT_HANDOFF,96,132,0,0
SIMPLE_P3-2,SKIPPED_EARLY_TREND_HANDOFF,55,40,0,0
SIMPLE_POOLED_DEDUP,NEVER_PROGRESSED,0,1077,0,0
SIMPLE_POOLED_DEDUP,NORMAL_EARLY_TREND_HANDOFF,0,1674,1313,289
SIMPLE_POOLED_DEDUP,PROGRESSED_WITHOUT_DIRECT_HANDOFF,235,504,0,0
SIMPLE_POOLED_DEDUP,SKIPPED_EARLY_TREND_HANDOFF,139,145,0,0
REALISTIC_P2-1_ELIGIBLE,NEVER_PROGRESSED,0,188,0,0
REALISTIC_P2-1_ELIGIBLE,NORMAL_EARLY_TREND_HANDOFF,0,22,69,7
REALISTIC_P2-1_ELIGIBLE,PROGRESSED_WITHOUT_DIRECT_HANDOFF,22,15,0,0
REALISTIC_P2-1_ELIGIBLE,SKIPPED_EARLY_TREND_HANDOFF,20,12,0,0
REALISTIC_P2-1_FILLED,NEVER_PROGRESSED,0,111,0,0
REALISTIC_P2-1_FILLED,NORMAL_EARLY_TREND_HANDOFF,0,17,32,6
REALISTIC_P2-1_FILLED,PROGRESSED_WITHOUT_DIRECT_HANDOFF,7,10,0,0
REALISTIC_P2-1_FILLED,SKIPPED_EARLY_TREND_HANDOFF,10,6,0,0
REALISTIC_P2-2_ELIGIBLE,NEVER_PROGRESSED,0,123,0,0
REALISTIC_P2-2_ELIGIBLE,NORMAL_EARLY_TREND_HANDOFF,0,114,133,26
REALISTIC_P2-2_ELIGIBLE,PROGRESSED_WITHOUT_DIRECT_HANDOFF,28,34,0,0
REALISTIC_P2-2_ELIGIBLE,SKIPPED_EARLY_TREND_HANDOFF,15,12,0,0
REALISTIC_P2-2_FILLED,NEVER_PROGRESSED,0,67,0,0
REALISTIC_P2-2_FILLED,NORMAL_EARLY_TREND_HANDOFF,0,61,61,16
REALISTIC_P2-2_FILLED,PROGRESSED_WITHOUT_DIRECT_HANDOFF,11,14,0,0
REALISTIC_P2-2_FILLED,SKIPPED_EARLY_TREND_HANDOFF,6,6,0,0
REALISTIC_P3-2_ELIGIBLE,NEVER_PROGRESSED,0,112,0,0
REALISTIC_P3-2_ELIGIBLE,NORMAL_EARLY_TREND_HANDOFF,0,101,109,13
REALISTIC_P3-2_ELIGIBLE,PROGRESSED_WITHOUT_DIRECT_HANDOFF,27,22,0,0
REALISTIC_P3-2_ELIGIBLE,SKIPPED_EARLY_TREND_HANDOFF,10,11,0,0
REALISTIC_P3-2_FILLED,NEVER_PROGRESSED,0,71,0,0
REALISTIC_P3-2_FILLED,NORMAL_EARLY_TREND_HANDOFF,0,53,59,7
REALISTIC_P3-2_FILLED,PROGRESSED_WITHOUT_DIRECT_HANDOFF,15,13,0,0
REALISTIC_P3-2_FILLED,SKIPPED_EARLY_TREND_HANDOFF,3,7,0,0
