panel,group,panel_n,trades,mean_return,median_return,q25_return,q75_return,positive_rate_pct,ge_30_count,ge_30_rate_pct,ge_50_count,ge_50_rate_pct,ge_100_count,ge_100_rate_pct,le_neg_15_count,le_neg_15_rate_pct,le_neg_30_count,le_neg_30_rate_pct,le_neg_40_count,le_neg_40_rate_pct,le_neg_50_count,le_neg_50_rate_pct,le_neg_60_count,le_neg_60_rate_pct,open_at_cutoff_rate_pct,closed_rate_pct,holding_days_mean,holding_days_median,mfe_mean,mfe_median,mae_mean,mae_median,peak_giveback_mean,peak_giveback_median,exit_type_mix,open_at_cutoff_count
SIMPLE_P3-2,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,1792,151,30.7618,24.11,-4.455,57.775,70.8609,67,44.3709,48,31.7881,17,11.2583,24,15.894,17,11.2583,13,8.6093,7,4.6358,5,3.3113,43.0464,56.9536,287.3775,225.0,84.4676,66.21,-18.1328,-12.47,53.7058,47.21,EXIT4_SCORE_DRAWDOWN_GE_15=57.0%; NO_EXIT_BEFORE_CUTOFF=43.0%,65
SIMPLE_P3-2,C2_NO_PROGRESSED_WHILE_HELD,1792,1259,-14.2377,-15.88,-17.085,-14.995,5.3217,13,1.0326,6,0.4766,1,0.0794,944,74.9801,11,0.8737,4,0.3177,1,0.0794,0,0.0,7.3074,92.6926,77.8189,38.0,15.9993,8.86,-17.5449,-17.21,30.237,24.36,LOSS_GUARD_CLOSE_LE_NEG_15=92.7%; NO_PROGRESSED_BEFORE_CUTOFF=7.3%,92
SIMPLE_POOLED_DEDUP,FIRST_PROGRESSED_NORMAL,5376,1313,52.2277,38.67,11.29,76.22,84.4631,758,57.7304,536,40.8225,196,14.9276,82,6.2452,22,1.6756,10,0.7616,2,0.1523,2,0.1523,1.904,98.096,196.588,147.0,112.2397,79.84,-10.3539,-8.93,60.012,38.39,EXIT4_SCORE_DRAWDOWN_GE_15=78.6%; EXIT3_PROGRESSED_TO_TRANSITION=13.3%; EXIT3_PROGRESSED_TO_WEAK=4.3%; NO_EXIT_BEFORE_CUTOFF=1.9%; EXIT3_PROGRESSED_TO_EARLY_TREND=1.4%; EXIT3_PROGRESSED_TO_BASE=0.5%,25
SIMPLE_POOLED_DEDUP,LATE_NORMALIZED,5376,289,94.6138,72.23,34.69,138.34,88.9273,221,76.4706,186,64.3599,111,38.4083,18,6.2284,11,3.8062,6,2.0761,5,1.7301,1,0.346,2.4221,97.5779,1167.1834,1108.0,204.6478,146.9,-33.6008,-29.45,110.0339,69.65,EXIT4_SCORE_DRAWDOWN_GE_15=76.1%; EXIT3_PROGRESSED_TO_TRANSITION=12.8%; EXIT3_PROGRESSED_TO_WEAK=7.6%; NO_EXIT_BEFORE_CUTOFF=2.4%; EXIT3_PROGRESSED_TO_EARLY_TREND=0.7%; EXIT3_PROGRESSED_TO_BASE=0.3%,7
SIMPLE_POOLED_DEDUP,NEVER_NORMALIZED_COVERAGE,5376,3774,-11.2097,-15.97,-17.4,-15.0,8.1081,161,4.266,108,2.8617,39,1.0334,2834,75.0927,77,2.0403,51,1.3514,34,0.9009,25,0.6624,6.5978,93.4022,150.1574,52.0,24.4938,10.83,-18.4801,-17.27,35.7035,26.43,LOSS_GUARD_CLOSE_LE_NEG_15=87.6%; EXIT4_SCORE_DRAWDOWN_GE_15=5.8%; NO_EXIT_BEFORE_CUTOFF=4.1%; NO_PROGRESSED_BEFORE_CUTOFF=2.5%,249
SIMPLE_POOLED_DEDUP,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,5376,374,31.5688,18.77,-13.41,54.6225,63.9037,148,39.5722,102,27.2727,39,10.4278,88,23.5294,58,15.508,47,12.5668,32,8.5561,25,6.6845,41.4439,58.5561,621.8102,230.5,106.2641,66.18,-23.1954,-13.69,74.6953,50.33,EXIT4_SCORE_DRAWDOWN_GE_15=58.6%; NO_EXIT_BEFORE_CUTOFF=41.4%,155
SIMPLE_POOLED_DEDUP,C2_NO_PROGRESSED_WHILE_HELD,5376,3400,-15.9153,-16.1,-17.44,-15.19,1.9706,13,0.3824,6,0.1765,0,0.0,2746,80.7647,19,0.5588,4,0.1176,2,0.0588,0,0.0,2.7647,97.2353,98.2756,45.0,15.4991,9.105,-17.9614,-17.34,31.4145,25.535,LOSS_GUARD_CLOSE_LE_NEG_15=97.2%; NO_PROGRESSED_BEFORE_CUTOFF=2.8%,94
REALISTIC_P2-1_ELIGIBLE,FIRST_PROGRESSED_NORMAL,355,69,34.7651,22.94,5.82,56.39,84.058,25,36.2319,19,27.5362,7,10.1449,4,5.7971,0,0.0,0,0.0,0,0.0,0,0.0,1.4493,98.5507,175.4203,134.0,68.6755,51.47,-8.9391,-8.98,33.9104,26.74,EXIT4_SCORE_DRAWDOWN_GE_15=88.4%; EXIT3_PROGRESSED_TO_TRANSITION=10.1%; NO_EXIT_BEFORE_CUTOFF=1.4%,1
REALISTIC_P2-1_ELIGIBLE,LATE_NORMALIZED,355,7,67.4971,49.44,29.315,83.725,85.7143,5,71.4286,3,42.8571,2,28.5714,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28.5714,71.4286,792.5714,938.0,128.2371,70.49,-22.9486,-13.53,60.74,15.54,EXIT4_SCORE_DRAWDOWN_GE_15=57.1%; NO_EXIT_BEFORE_CUTOFF=28.6%; EXIT3_PROGRESSED_TO_WEAK=14.3%,2
REALISTIC_P2-1_ELIGIBLE,NEVER_NORMALIZED_COVERAGE,355,279,-4.5734,-15.44,-16.64,-11.305,23.6559,29,10.3943,16,5.7348,2,0.7168,170,60.9319,8,2.8674,2,0.7168,0,0.0,0,0.0,21.8638,78.1362,156.4337,69.0,21.6322,10.93,-16.5653,-16.6,26.2057,21.35,LOSS_GUARD_CLOSE_LE_NEG_15=70.6%; NO_PROGRESSED_BEFORE_CUTOFF=14.3%; NO_EXIT_BEFORE_CUTOFF=7.5%; EXIT4_SCORE_DRAWDOWN_GE_15=7.5%,61
