ticker,trade_sequence,column,authority,production,kind
214150,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20221223.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20221202.csv,STRUCTURAL
214150,1,entry_open,18650.0,19750.0,NUMERIC
214150,1,fast_score,76.04,78.49,NUMERIC
214150,1,investability_market_cap,1208085492300.0,1259906853900.0,NUMERIC
214150,1,investability_avg_trading_value_20d,4189376757.5,9062109460.0,NUMERIC
214150,1,terminal_return,98.93,87.85,NUMERIC
214150,1,mfe,125.2,112.66,NUMERIC
214150,1,mae,-9.65,-14.68,NUMERIC
214150,1,peak_giveback,26.27,24.81,NUMERIC
214150,1,profit_capture,0.7902,0.7798,NUMERIC
214150,1,holding_weeks,38.0,41.0,NUMERIC
226400,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20240927.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,STRUCTURAL
241560,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250328.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250328.csv,STRUCTURAL
251120,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
267290,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
271560,1,entry_signal_date,2022-12-23,2022-12-02,STRUCTURAL
271560,1,entry_execution_date,2022-12-26,2022-12-05,STRUCTURAL
271560,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20221223.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20221202.csv,STRUCTURAL
271560,1,entry_open,125500.0,115500.0,NUMERIC
271560,1,fast_score,79.3,77.99,NUMERIC
271560,1,investability_market_cap,5001320698000.0,4566423246000.0,NUMERIC
271560,1,investability_avg_trading_value_20d,14682777654.55,14229013211.45,NUMERIC
271560,1,terminal_return,6.77,16.02,NUMERIC
271560,1,mfe,19.6,29.96,NUMERIC
271560,1,mae,-34.82,-29.18,NUMERIC
271560,1,peak_giveback,12.83,13.94,NUMERIC
271560,1,profit_capture,0.3454,0.5347,NUMERIC
271560,1,holding_weeks,177.4,180.4,NUMERIC
