ticker,trade_sequence,column,authority,production,kind
000070,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
000240,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20240927.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,STRUCTURAL
000270,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20230331.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230331.csv,STRUCTURAL
000370,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
000660,1,entry_signal_date,2023-06-30,2022-03-04,STRUCTURAL
000660,1,entry_execution_date,2023-07-03,2022-03-07,STRUCTURAL
000660,1,entry_pattern_a_stage,TRANSITION,EARLY_TREND,STRUCTURAL
000660,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20230630.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220304.csv,STRUCTURAL
000660,1,loss_guard_triggered,false,true,STRUCTURAL
000660,1,loss_guard_signal_date,<NULL>,2022-06-13,STRUCTURAL
000660,1,loss_guard_execution_date,<NULL>,2022-06-14,STRUCTURAL
000660,1,exit_type,EXIT4_SCORE_DRAWDOWN_GE_15,LOSS_GUARD_CLOSE_LE_NEG_15,STRUCTURAL
000660,1,exit_signal_date,2024-04-30,2022-06-13,STRUCTURAL
000660,1,exit_execution_date,2024-05-02,2022-06-14,STRUCTURAL
000660,1,entry_open,115300.0,119000.0,NUMERIC
000660,1,fast_score,79.8,73.04,NUMERIC
000660,1,investability_market_cap,83865872448000.0,90636294442500.0,NUMERIC
000660,1,investability_avg_trading_value_20d,435160840020.8,530579332144.45,NUMERIC
000660,1,loss_guard_execution_price,<NULL>,96900.0,NUMERIC
000660,1,exit_price,169000.0,96900.0,NUMERIC
000660,1,terminal_return,46.57,-18.57,NUMERIC
000660,1,mfe,66.0,5.04,NUMERIC
000660,1,mae,-4.86,-18.57,NUMERIC
000660,1,peak_giveback,19.43,23.61,NUMERIC
000660,1,profit_capture,0.7056,-3.6845,NUMERIC
000660,1,holding_weeks,41.0,13.6,NUMERIC
000810,1,entry_signal_date,2022-12-23,2022-12-16,STRUCTURAL
000810,1,entry_execution_date,2022-12-26,2022-12-19,STRUCTURAL
000810,1,entry_pattern_a_stage,EARLY_TREND,TRANSITION,STRUCTURAL
000810,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20221223.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20221216.csv,STRUCTURAL
000810,1,entry_open,215000.0,212000.0,NUMERIC
000810,1,fast_score,79.3,76.85,NUMERIC
000810,1,investability_market_cap,10256652210500.0,10138215118000.0,NUMERIC
000810,1,investability_avg_trading_value_20d,18405259414.8,18485981339.8,NUMERIC
000810,1,terminal_return,78.37,80.9,NUMERIC
000810,1,mfe,83.02,85.61,NUMERIC
000810,1,mae,-11.4,-10.14,NUMERIC
000810,1,peak_giveback,4.65,4.71,NUMERIC
000810,1,profit_capture,0.944,0.945,NUMERIC
000810,1,holding_weeks,74.2,75.2,NUMERIC
000880,1,entry_signal_date,2023-06-30,2023-06-02,STRUCTURAL
000880,1,entry_execution_date,2023-07-03,2023-06-05,STRUCTURAL
000880,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20230630.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230602.csv,STRUCTURAL
000880,1,loss_guard_signal_date,2023-08-18,2023-08-17,STRUCTURAL
000880,1,loss_guard_execution_date,2023-08-21,2023-08-18,STRUCTURAL
000880,1,exit_signal_date,2023-08-18,2023-08-17,STRUCTURAL
000880,1,exit_execution_date,2023-08-21,2023-08-18,STRUCTURAL
000880,1,entry_open,30100.0,30850.0,NUMERIC
000880,1,fast_score,78.49,79.8,NUMERIC
000880,1,investability_market_cap,2245014113250.0,2301233164500.0,NUMERIC
000880,1,investability_avg_trading_value_20d,8479727050.0,8544560407.5,NUMERIC
000880,1,loss_guard_execution_price,25150.0,25600.0,NUMERIC
000880,1,exit_price,25150.0,25600.0,NUMERIC
000880,1,terminal_return,-16.45,-17.02,NUMERIC
000880,1,mfe,12.96,10.21,NUMERIC
000880,1,mae,-16.78,-18.15,NUMERIC
000880,1,peak_giveback,29.41,27.23,NUMERIC
000880,1,profit_capture,-1.2693,-1.667,NUMERIC
000880,1,holding_weeks,7.0,10.6,NUMERIC
001040,1,entry_signal_date,2023-03-31,2023-01-06,STRUCTURAL
001040,1,entry_execution_date,2023-04-03,2023-01-09,STRUCTURAL
001040,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20230331.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230106.csv,STRUCTURAL
001040,1,loss_guard_signal_date,2023-05-10,2023-06-29,STRUCTURAL
001040,1,loss_guard_execution_date,2023-05-11,2023-06-30,STRUCTURAL
001040,1,exit_signal_date,2023-05-10,2023-06-29,STRUCTURAL
001040,1,exit_execution_date,2023-05-11,2023-06-30,STRUCTURAL
001040,1,entry_open,104300.0,81800.0,NUMERIC
001040,1,fast_score,79.3,70.79,NUMERIC
001040,1,investability_market_cap,3043160891400.0,2357501438400.0,NUMERIC
001040,1,investability_avg_trading_value_20d,10121392511.5,4412405600.0,NUMERIC
001040,1,loss_guard_execution_price,88100.0,68000.0,NUMERIC
001040,1,exit_price,88100.0,68000.0,NUMERIC
001040,1,terminal_return,-15.53,-16.87,NUMERIC
001040,1,mfe,10.35,40.71,NUMERIC
001040,1,mae,-25.12,-17.24,NUMERIC
001040,1,peak_giveback,25.88,57.58,NUMERIC
001040,1,profit_capture,-1.5005,-0.4144,NUMERIC
001040,1,holding_weeks,5.4,23.6,NUMERIC
001130,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
001500,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
001510,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
001680,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250328.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250328.csv,STRUCTURAL
001740,1,entry_signal_date,2023-06-30,2023-06-02,STRUCTURAL
001740,1,entry_execution_date,2023-07-03,2023-06-05,STRUCTURAL
001740,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20230630.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230602.csv,STRUCTURAL
001740,1,entry_open,5150.0,4665.0,NUMERIC
001740,1,fast_score,78.55,70.85,NUMERIC
001740,1,investability_market_cap,1197753586200.0,1098726714900.0,NUMERIC
001740,1,investability_avg_trading_value_20d,8775361704.5,3379015902.75,NUMERIC
001740,1,terminal_return,47.38,62.7,NUMERIC
001740,1,mfe,215.34,248.12,NUMERIC
001740,1,mae,-26.12,-18.44,NUMERIC
001740,1,peak_giveback,167.96,185.42,NUMERIC
