date,cash,invested_market_value,equity,position_count,cash_ratio,invested_ratio,high_water_mark,drawdown_pct
2022-02-04,200000000.0,0.0,200000000.0,0,1.0,0.0,200000000.0,0.0
2022-02-07,165371631.0,34481387.0,199853018.0,7,0.8274662682351888,0.17253373176481127,200000000.0,-0.0734910000000033
2022-02-08,165371631.0,33338396.0,198710027.0,7,0.8322258997025852,0.1677741002974148,200000000.0,-0.6449864999999999
2022-02-09,165371631.0,33664146.0,199035777.0,7,0.8308638451467949,0.1691361548532051,200000000.0,-0.48211150000000424
2022-02-10,165371631.0,33099046.0,198470677.0,7,0.8332295405028523,0.16677045949714778,200000000.0,-0.7646614999999968
2022-02-11,165371631.0,32152396.0,197524027.0,7,0.8372228609940198,0.16277713900598026,200000000.0,-1.237986499999999
2022-02-14,160372275.0,36429754.0,196802029.0,8,0.814891369844566,0.18510863015543402,200000000.0,-1.5989855000000053
2022-02-15,160372275.0,35926172.0,196298447.0,8,0.8169818837130178,0.18301811628698214,200000000.0,-1.8507764999999954
2022-02-16,160372275.0,36589334.0,196961609.0,8,0.8142311378051345,0.1857688621948656,200000000.0,-1.5191955000000035
2022-02-17,160372275.0,36591058.0,196963333.0,8,0.8142240109228859,0.18577598907711418,200000000.0,-1.518333500000002
2022-02-18,160372275.0,36774934.0,197147209.0,8,0.8134645974115717,0.1865354025884282,200000000.0,-1.4263954999999995
2022-02-21,168638275.0,28208838.0,196847113.0,6,0.8566967146731789,0.14330328532682113,200000000.0,-1.576443500000002
2022-02-22,168638275.0,28038906.0,196677181.0,6,0.8574369133346487,0.1425630866653514,200000000.0,-1.6614094999999995
2022-02-23,168638275.0,28265414.0,196903689.0,6,0.856450561472213,0.14354943852778707,200000000.0,-1.5481555000000036
2022-02-24,168638275.0,27489699.0,196127974.0,6,0.8598379494808833,0.14016205051911668,200000000.0,-1.936013000000003
2022-02-25,168638275.0,28087911.0,196726186.0,6,0.8572233235894686,0.14277667641053132,200000000.0,-1.6369069999999986
2022-02-28,171977823.0,25245176.0,197222999.0,5,0.8719967948565674,0.12800320514343258,200000000.0,-1.3885005000000006
2022-03-02,171977823.0,25260146.0,197237969.0,5,0.871930611899578,0.12806938810042198,200000000.0,-1.3810155000000046
2022-03-03,171977823.0,25502136.0,197479959.0,5,0.870862156701177,0.12913784329882305,200000000.0,-1.260020500000003
2022-03-04,171977823.0,25449496.0,197427319.0,5,0.8710943544748232,0.12890564552517678,200000000.0,-1.286340500000005
2022-03-07,142086443.0,53895976.0,195982419.0,11,0.7249958630217744,0.27500413697822557,200000000.0,-2.0087905000000017
2022-03-08,142086443.0,52517865.0,194604308.0,11,0.7301299979443415,0.2698700020556585,200000000.0,-2.6978460000000037
2022-03-10,142086443.0,52935425.0,195021868.0,11,0.7285667215535029,0.27143327844649706,200000000.0,-2.4890659999999953
2022-03-11,142086443.0,53163635.0,195250078.0,11,0.7277151663929169,0.2722848336070831,200000000.0,-2.3749609999999977
2022-03-14,127103243.0,67614875.0,194718118.0,14,0.6527550918502613,0.3472449081497388,200000000.0,-2.6409409999999967
2022-03-15,127103243.0,67089435.0,194192678.0,14,0.6545212945670382,0.3454787054329618,200000000.0,-2.903661000000002
2022-03-16,127103243.0,68221235.0,195324478.0,14,0.650728696686956,0.34927130331304407,200000000.0,-2.337761000000005
2022-03-17,127103243.0,69186367.0,196289610.0,14,0.6475291432898562,0.3524708567101438,200000000.0,-1.8551949999999984
2022-03-18,127103243.0,69307015.0,196410258.0,14,0.6471313886263517,0.35286861137364833,200000000.0,-1.7948709999999979
2022-03-21,125759313.0,69916567.0,195675880.0,14,0.6426919505868582,0.35730804941314176,200000000.0,-2.162059999999999
2022-03-22,125759313.0,70852085.0,196611398.0,14,0.6396338883669399,0.36036611163306004,200000000.0,-1.694300999999998
2022-03-23,125759313.0,70586557.0,196345870.0,14,0.6404988961570722,0.35950110384292777,200000000.0,-1.8270650000000055
2022-03-24,125759313.0,71967085.0,197726398.0,14,0.6360269254487709,0.3639730745512291,200000000.0,-1.1368009999999984
2022-03-25,125759313.0,71633585.0,197392898.0,14,0.6371015080795865,0.36289849192041346,200000000.0,-1.3035510000000028
2022-03-28,95804820.0,101870988.0,197675808.0,20,0.48465627114067494,0.5153437288593251,200000000.0,-1.1620960000000014
2022-03-29,95804820.0,101597561.0,197402381.0,20,0.4853275807245709,0.5146724192754291,200000000.0,-1.2988094999999977
2022-03-30,95804820.0,100279095.0,196083915.0,20,0.48859091782209674,0.5114090821779033,200000000.0,-1.9580425000000012
2022-03-31,95804820.0,100684092.0,196488912.0,20,0.48758384900619733,0.5124161509938027,200000000.0,-1.7555439999999978
2022-04-01,95804820.0,100888476.0,196693296.0,20,0.4870772006382973,0.5129227993617027,200000000.0,-1.6533519999999968
2022-04-04,60915967.0,137640502.0,198556469.0,27,0.30679416947125504,0.693205830528745,200000000.0,-0.7217655000000045
2022-04-05,60915967.0,137129941.0,198045908.0,27,0.30758508274758195,0.6924149172524181,200000000.0,-0.9770460000000036
2022-04-06,60915967.0,137090735.0,198006702.0,27,0.30764598563941536,0.6923540143605846,200000000.0,-0.996649000000005
2022-04-07,60915967.0,135675845.0,196591812.0,27,0.30986014310707916,0.6901398568929209,200000000.0,-1.7040940000000004
2022-04-08,60915967.0,135032805.0,195948772.0,27,0.31087700309752386,0.6891229969024761,200000000.0,-2.025613999999998
2022-04-11,45957116.0,148884592.0,194841708.0,30,0.23586898550488994,0.76413101449511,200000000.0,-2.579145999999999
2022-04-12,45957116.0,147774243.0,193731359.0,30,0.23722084146428768,0.7627791585357123,200000000.0,-3.1343204999999985
2022-04-13,45957116.0,149788936.0,195746052.0,30,0.23477927411787594,0.7652207258821241,200000000.0,-2.1269740000000037
2022-04-14,45957116.0,150756789.0,196713905.0,30,0.23362413551802552,0.7663758644819745,200000000.0,-1.6430475000000055
2022-04-15,45957116.0,152670999.0,198628115.0,30,0.23137266343186108,0.7686273365681389,200000000.0,-0.685942500000003
2022-04-18,15196258.0,182621684.0,197817942.0,36,0.07681941206323945,0.9231805879367606,200000000.0,-1.091028999999999
