date,cash,invested_market_value,equity,position_count,cash_ratio,invested_ratio,high_water_mark,drawdown_pct
2022-02-04,200000000.0,0.0,200000000.0,0,1.0,0.0,200000000.0,0.0
2022-02-07,165371631.0,34481387.0,199853018.0,7,0.8274662682351888,0.17253373176481127,200000000.0,-0.0734910000000033
2022-02-08,165371631.0,33338396.0,198710027.0,7,0.8322258997025852,0.1677741002974148,200000000.0,-0.6449864999999999
2022-02-09,165371631.0,33664146.0,199035777.0,7,0.8308638451467949,0.1691361548532051,200000000.0,-0.48211150000000424
2022-02-10,165371631.0,33099046.0,198470677.0,7,0.8332295405028523,0.16677045949714778,200000000.0,-0.7646614999999968
2022-02-11,165371631.0,32152396.0,197524027.0,7,0.8372228609940198,0.16277713900598026,200000000.0,-1.237986499999999
2022-02-14,160372275.0,36429754.0,196802029.0,8,0.814891369844566,0.18510863015543402,200000000.0,-1.5989855000000053
2022-02-15,160372275.0,35926172.0,196298447.0,8,0.8169818837130178,0.18301811628698214,200000000.0,-1.8507764999999954
2022-02-16,160372275.0,36589334.0,196961609.0,8,0.8142311378051345,0.1857688621948656,200000000.0,-1.5191955000000035
2022-02-17,160372275.0,36591058.0,196963333.0,8,0.8142240109228859,0.18577598907711418,200000000.0,-1.518333500000002
2022-02-18,160372275.0,36774934.0,197147209.0,8,0.8134645974115717,0.1865354025884282,200000000.0,-1.4263954999999995
2022-02-21,160372275.0,36711538.0,197083813.0,8,0.8137262647744693,0.18627373522553067,200000000.0,-1.4580935000000017
2022-02-22,160372275.0,36346606.0,196718881.0,8,0.8152358034204149,0.18476419657958507,200000000.0,-1.640559500000005
2022-02-23,160372275.0,36847014.0,197219289.0,8,0.8131672911567995,0.1868327088432004,200000000.0,-1.3903554999999956
2022-02-24,160372275.0,35626099.0,195998374.0,8,0.8182326808486686,0.18176731915133132,200000000.0,-2.0008130000000013
2022-02-25,160372275.0,36500111.0,196872386.0,8,0.8146001491544883,0.18539985084551167,200000000.0,-1.5638069999999948
2022-02-28,155378975.0,41953728.0,197332703.0,9,0.7873959695367878,0.21260403046321216,200000000.0,-1.3336484999999954
2022-03-02,155378975.0,42004698.0,197383673.0,9,0.7871926418149083,0.21280735818509164,200000000.0,-1.3081635000000036
2022-03-03,155378975.0,43136424.0,198515399.0,9,0.7827048973666774,0.21729510263332266,200000000.0,-0.7423005000000038
2022-03-04,155378975.0,42650572.0,198029547.0,9,0.784625210499522,0.21537478950047792,200000000.0,-0.9852265000000027
2022-03-07,125487595.0,70329028.0,195816623.0,15,0.6408424018220353,0.3591575981779647,200000000.0,-2.0916884999999996
2022-03-08,125487595.0,68658217.0,194145812.0,15,0.6463574655939527,0.35364253440604737,200000000.0,-2.9270939999999968
2022-03-10,125487595.0,69649797.0,195137392.0,15,0.643073035433414,0.356926964566586,200000000.0,-2.431304000000001
2022-03-11,125487595.0,69762407.0,195250002.0,15,0.6427021445049717,0.35729785549502835,200000000.0,-2.374999
2022-03-14,110504395.0,83692239.0,194196634.0,18,0.5690335240311117,0.4309664759688883,200000000.0,-2.9016829999999993
2022-03-15,110504395.0,82934979.0,193439374.0,18,0.5712611280472816,0.42873887195271837,200000000.0,-3.2803130000000014
2022-03-16,110504395.0,84894295.0,195398690.0,18,0.5655329367868331,0.43446706321316686,200000000.0,-2.300654999999996
2022-03-17,110504395.0,86420727.0,196925122.0,18,0.5611493032361813,0.43885069676381866,200000000.0,-1.537438999999996
2022-03-18,110504395.0,86915203.0,197419598.0,18,0.5597437950410576,0.4402562049589423,200000000.0,-1.290201000000002
2022-03-21,100535945.0,96186235.0,196722180.0,20,0.5110554641067926,0.48894453589320735,200000000.0,-1.6389100000000045
2022-03-22,100535945.0,97568233.0,198104178.0,20,0.5074902811994202,0.49250971880057975,200000000.0,-0.9479110000000013
2022-03-23,100535945.0,97520325.0,198056270.0,20,0.5076130384561923,0.49238696154380773,200000000.0,-0.9718650000000051
2022-03-24,100535945.0,99132453.0,199668398.0,20,0.503514557170935,0.49648544282906504,200000000.0,-0.16580099999999875
2022-03-25,100535945.0,98724053.0,199259998.0,20,0.5045465522889346,0.4954534477110654,200000000.0,-0.3700009999999976
2022-03-28,70581452.0,128984368.0,199565820.0,26,0.35367505317293313,0.6463249468270669,200000000.0,-0.21708999999999756
2022-03-29,70581452.0,128538321.0,199119773.0,26,0.3544673185219029,0.6455326814780971,200000000.0,-0.4401134999999945
2022-03-30,70581452.0,127277987.0,197859439.0,26,0.35672522047330785,0.6432747795266922,200000000.0,-1.0702804999999982
2022-03-31,70581452.0,127772064.0,198353516.0,26,0.3558366568102579,0.6441633431897421,200000000.0,-0.8232420000000018
2022-04-01,70581452.0,128076316.0,198657768.0,26,0.3552916793064946,0.6447083206935055,200000000.0,-0.6711160000000049
2022-04-04,35692599.0,164976734.0,200669333.0,33,0.17786773128906547,0.8221322687109345,200669333.0,0.0
2022-04-05,35692599.0,164568385.0,200260984.0,33,0.1782304185622098,0.8217695814377902,200669333.0,-0.20349347550778774
2022-04-06,35692599.0,164230855.0,199923454.0,33,0.17853132429374693,0.821468675706253,200669333.0,-0.37169555948043387
2022-04-07,35692599.0,162669793.0,198362392.0,33,0.17993632079209854,0.8200636792079015,200669333.0,-1.1496230966193566
2022-04-08,35692599.0,162701313.0,198393912.0,33,0.17990773325746004,0.82009226674254,200669333.0,-1.1339156641338888
2022-04-11,20733748.0,176822204.0,197555952.0,36,0.10495126970408869,0.8950487302959113,200669333.0,-1.551498155425668
2022-04-12,20733748.0,175354191.0,196087939.0,36,0.10573698772977567,0.8942630122702243,200669333.0,-2.2830563751363053
2022-04-13,20733748.0,177631924.0,198365672.0,36,0.10452286320992071,0.8954771367900792,200669333.0,-1.1479885668429501
2022-04-14,20733748.0,179044281.0,199778029.0,36,0.10378392510820096,0.896216074891799,200669333.0,-0.44416552677732923
2022-04-15,20733748.0,180865067.0,201598815.0,36,0.10284657675195165,0.8971534232480484,201598815.0,0.0
2022-04-18,850.0,200717918.0,200718768.0,41,4.234780875099831e-06,0.9999957652191249,201598815.0,-0.43653381593538043
