ticker,name,market,asset_type,cached,cache_last_date,staleness_trading_days,freshness,completed_months,daily_rows,has_future,has_dup,is_unsorted,raw_ready,feature_ready,score_ready,stage_ready,evaluator_ready,quality_status,error_type,error_message
004780,대륙제관,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
005160,동국산업,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
005290,동진쎄미켐,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
0054V0,엔에이치스팩32호,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
005670,푸드웰,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
005710,대원산업,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
005860,한일사료,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1220,False,False,False,True,True,True,True,True,OK,,
005990,매일홀딩스,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
006050,국영지앤엠,KOSDAQ,COMMON,True,2026-08-06,6,VERY_STALE,60,1216,False,False,False,True,True,True,True,True,STALE_DATA,,
006140,피제이전자,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
006620,동구바이오제약,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
006730,서부T&D,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
0068Y0,비엔케이제3호스팩,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
006910,보성파워텍,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
006920,모헨즈,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
0071M0,삼성스팩11호,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
0072Z0,KB제33호스팩,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
007330,푸른저축은행,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
007370,진양제약,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
007390,네이처셀,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
007530,와이엠,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
007680,대원,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
007720,소노스퀘어,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
007770,한일화학,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
007820,엠엑스로보틱스,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
008290,원풍물산,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
0082N0,카나프테라퓨틱스,KOSDAQ,UNKNOWN,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
008370,원풍,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
008470,부스타,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
008830,대동기어,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
0088D0,메리츠제1호스팩,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
0088M0,메쥬,KOSDAQ,UNKNOWN,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
0091W0,신영스팩11호,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
009300,삼아제약,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
0093G0,미래에셋비전스팩8호,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
009520,포스코엠텍,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
009620,삼보산업,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1210,False,False,False,True,True,True,True,True,OK,,
0096B0,삼성스팩12호,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
0096D0,미래에셋비전스팩9호,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
009730,이렘,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
009780,엠에스씨,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
0097F0,미래에셋비전스팩10호,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
0098T0,교보19호스팩,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
0099W0,미래에셋비전스팩11호,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
0099X0,IBKS제25호스팩,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
010170,대한광통신,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
0101C0,하나36호스팩,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
010240,흥국,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
010280,아이티센엔텍,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
010470,오리콤,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
0105P0,유진스팩12호,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
011040,경동제약,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
011080,형지I&C,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
011320,유니크,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
011370,서한,KOSDAQ,COMMON,True,2026-08-11,3,STALE,60,1219,False,False,False,True,True,True,True,True,OK,,
011560,세보엠이씨,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
0115H0,삼성스팩13호,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
0117P0,피스피스스튜디오,KOSDAQ,UNKNOWN,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
012210,삼미금속,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,39,674,False,False,False,True,False,False,False,False,FEATURE_NOT_READY,,
012340,뉴인텍,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
012620,원일특강,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
012700,리드코프,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
012790,신일제약,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
012860,모베이스전자,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1220,False,False,False,True,True,True,True,True,OK,,
0129K0,신한제18호스팩,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
013030,하이록코리아,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
0130D0,신한제17호스팩,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
0130H0,엔에이치스팩33호,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
013120,동원개발,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
0131D0,키움히어로제2호스팩,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
0132G0,교보20호스팩,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
013310,아진산업,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1192,False,False,False,True,True,True,True,True,OK,,
0134X0,대신밸런스제20호스팩,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
013720,청보,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
013810,스페코,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
013990,아가방컴퍼니,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
014100,메디앙스,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,51,1041,False,False,False,True,True,True,True,True,OK,,
014190,원익큐브,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
014470,부방,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
014570,고려제약,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
014620,성광벤드,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
014940,오리엔탈정공,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
014950,삼익제약,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,10,198,False,False,False,True,False,False,False,False,INSUFFICIENT_HISTORY,,
014970,삼륭물산,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1221,False,False,False,True,True,True,True,True,OK,,
0156T0,에이치엘지노믹스,KOSDAQ,UNKNOWN,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
015710,코콤,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
015750,성우하이텍,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
016100,리더스코스메틱,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
016250,SGC E&C,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
0164H0,한국제16호스팩,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
0165X0,메리츠제2호스팩,KOSDAQ,SPAC,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
016600,큐캐피탈,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
016670,디모아,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,47,946,False,False,False,True,True,True,True,True,OK,,
016790,현대사료,KOSDAQ,COMMON,True,2025-03-06,376,VERY_STALE,43,616,False,False,False,True,False,False,False,False,STALE_DATA,,
016920,카스,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
017000,신원종합개발,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1221,False,False,False,True,True,True,True,True,OK,,
017250,인터엠,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
017480,삼현철강,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
017510,세명전기,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
017650,대림제지,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
017890,한국알콜,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
018000,유니슨,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
018120,진로발효,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
018290,브이티,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
018310,삼목에스폼,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
018620,우진비앤지,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
018680,서울제약,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1192,False,False,False,True,True,True,True,True,OK,,
018700,졸스,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
019010,베뉴지,KOSDAQ,COMMON,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
019210,와이지-원,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
019540,일지테크,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
019550,SBI인베스트먼트,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
019570,GMI벤처,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
019660,글로본,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1203,False,False,False,True,True,True,True,True,OK,,
019770,서연탑메탈,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
019990,에너토크,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
020180,대신정보통신,KOSDAQ,COMMON,True,2026-07-24,15,VERY_STALE,59,1207,False,False,False,True,True,True,True,True,STALE_DATA,,
020400,대동금속,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
020710,시공테크,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1221,False,False,False,True,True,True,True,True,OK,,
021040,대호특수강,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1177,False,False,False,True,True,True,True,True,OK,,
021045,대호특수강우,KOSDAQ,PREFERRED,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
021080,에이티넘인베스트,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
021320,KCC건설,KOSDAQ,COMMON,True,2026-08-14,0,FRESH,60,1222,False,False,False,True,True,True,True,True,OK,,
021650,한국큐빅,KOSDAQ,COMMON,False,,-1,UNKNOWN,0,0,False,False,False,False,False,False,False,False,MISSING_CACHE,,
