sector_a,sector_b,market,intersection_count,relation
1012,1025,KOSPI,0,DISJOINT
1012,1026,KOSPI,0,DISJOINT
1012,1027,KOSPI,32,EXACT_SUBSET
1012,1045,KOSPI,0,DISJOINT
1012,1046,KOSPI,0,DISJOINT
1012,1047,KOSPI,0,DISJOINT
1013,1014,KOSPI,0,DISJOINT
1013,1015,KOSPI,0,DISJOINT
1013,1016,KOSPI,0,DISJOINT
1013,1017,KOSPI,0,DISJOINT
1013,1018,KOSPI,0,DISJOINT
1013,1019,KOSPI,0,DISJOINT
1013,1020,KOSPI,0,DISJOINT
1013,1021,KOSPI,0,DISJOINT
1013,1024,KOSPI,0,DISJOINT
1013,1025,KOSPI,0,DISJOINT
1013,1026,KOSPI,0,DISJOINT
1013,1027,KOSPI,69,EXACT_SUBSET
1013,1045,KOSPI,0,DISJOINT
1013,1046,KOSPI,0,DISJOINT
1013,1047,KOSPI,0,DISJOINT
1014,1015,KOSPI,0,DISJOINT
1014,1016,KOSPI,0,DISJOINT
1014,1017,KOSPI,0,DISJOINT
1014,1018,KOSPI,0,DISJOINT
1014,1019,KOSPI,0,DISJOINT
1014,1020,KOSPI,0,DISJOINT
1014,1021,KOSPI,0,DISJOINT
1014,1024,KOSPI,0,DISJOINT
1014,1025,KOSPI,0,DISJOINT
1014,1026,KOSPI,0,DISJOINT
1014,1027,KOSPI,8,EXACT_SUBSET
1014,1045,KOSPI,0,DISJOINT
1014,1046,KOSPI,0,DISJOINT
1014,1047,KOSPI,0,DISJOINT
1015,1016,KOSPI,0,DISJOINT
1015,1017,KOSPI,0,DISJOINT
1015,1018,KOSPI,0,DISJOINT
1015,1019,KOSPI,0,DISJOINT
1015,1020,KOSPI,0,DISJOINT
1015,1021,KOSPI,0,DISJOINT
1015,1024,KOSPI,0,DISJOINT
1015,1025,KOSPI,0,DISJOINT
1015,1026,KOSPI,0,DISJOINT
1015,1027,KOSPI,61,EXACT_SUBSET
1015,1045,KOSPI,0,DISJOINT
1015,1046,KOSPI,0,DISJOINT
1015,1047,KOSPI,0,DISJOINT
1016,1017,KOSPI,0,DISJOINT
1016,1018,KOSPI,0,DISJOINT
1016,1019,KOSPI,0,DISJOINT
1016,1020,KOSPI,0,DISJOINT
1016,1021,KOSPI,0,DISJOINT
1016,1024,KOSPI,0,DISJOINT
1016,1025,KOSPI,0,DISJOINT
1016,1026,KOSPI,0,DISJOINT
1016,1027,KOSPI,0,DISJOINT
1016,1045,KOSPI,0,DISJOINT
1016,1046,KOSPI,0,DISJOINT
1016,1047,KOSPI,0,DISJOINT
1017,1018,KOSPI,0,DISJOINT
1017,1019,KOSPI,0,DISJOINT
1017,1020,KOSPI,0,DISJOINT
1017,1021,KOSPI,0,DISJOINT
1017,1024,KOSPI,0,DISJOINT
1017,1025,KOSPI,0,DISJOINT
1017,1026,KOSPI,0,DISJOINT
1017,1027,KOSPI,0,DISJOINT
1017,1045,KOSPI,0,DISJOINT
1017,1046,KOSPI,0,DISJOINT
1017,1047,KOSPI,0,DISJOINT
1018,1019,KOSPI,0,DISJOINT
1018,1020,KOSPI,0,DISJOINT
1018,1021,KOSPI,0,DISJOINT
1018,1024,KOSPI,0,DISJOINT
1018,1025,KOSPI,0,DISJOINT
1018,1026,KOSPI,0,DISJOINT
1018,1027,KOSPI,0,DISJOINT
1018,1045,KOSPI,0,DISJOINT
1018,1046,KOSPI,0,DISJOINT
1018,1047,KOSPI,0,DISJOINT
1019,1020,KOSPI,0,DISJOINT
1019,1021,KOSPI,0,DISJOINT
1019,1024,KOSPI,0,DISJOINT
1019,1025,KOSPI,0,DISJOINT
1019,1026,KOSPI,0,DISJOINT
1019,1027,KOSPI,0,DISJOINT
1019,1045,KOSPI,0,DISJOINT
1019,1046,KOSPI,0,DISJOINT
1019,1047,KOSPI,0,DISJOINT
1020,1021,KOSPI,0,DISJOINT
1020,1024,KOSPI,0,DISJOINT
1020,1025,KOSPI,0,DISJOINT
1020,1026,KOSPI,0,DISJOINT
1020,1027,KOSPI,0,DISJOINT
1020,1045,KOSPI,0,DISJOINT
1020,1046,KOSPI,0,DISJOINT
1020,1047,KOSPI,0,DISJOINT
1021,1024,KOSPI,18,EXACT_SUBSET
1021,1025,KOSPI,11,EXACT_SUBSET
1021,1026,KOSPI,0,DISJOINT
1021,1027,KOSPI,0,DISJOINT
1021,1045,KOSPI,0,DISJOINT
1021,1046,KOSPI,0,DISJOINT
1021,1047,KOSPI,0,DISJOINT
1024,1025,KOSPI,0,DISJOINT
1024,1026,KOSPI,0,DISJOINT
1024,1027,KOSPI,0,DISJOINT
1024,1045,KOSPI,0,DISJOINT
1024,1046,KOSPI,0,DISJOINT
1024,1047,KOSPI,0,DISJOINT
1025,1026,KOSPI,0,DISJOINT
1025,1027,KOSPI,0,DISJOINT
1025,1045,KOSPI,0,DISJOINT
1025,1046,KOSPI,0,DISJOINT
1025,1047,KOSPI,0,DISJOINT
1026,1027,KOSPI,0,DISJOINT
1026,1045,KOSPI,0,DISJOINT
1026,1046,KOSPI,0,DISJOINT
1026,1047,KOSPI,0,DISJOINT
1027,1045,KOSPI,0,DISJOINT
1027,1046,KOSPI,0,DISJOINT
1027,1047,KOSPI,0,DISJOINT
1045,1046,KOSPI,0,DISJOINT
1045,1047,KOSPI,0,DISJOINT
1046,1047,KOSPI,0,DISJOINT
2012,2024,KOSDAQ,0,DISJOINT
2012,2026,KOSDAQ,0,DISJOINT
2012,2027,KOSDAQ,0,DISJOINT
2012,2029,KOSDAQ,0,DISJOINT
2012,2031,KOSDAQ,0,DISJOINT
2012,2037,KOSDAQ,0,DISJOINT
2012,2056,KOSDAQ,0,DISJOINT
2012,2058,KOSDAQ,0,DISJOINT
2012,2062,KOSDAQ,0,DISJOINT
2012,2063,KOSDAQ,0,DISJOINT
2012,2065,KOSDAQ,0,DISJOINT
2012,2066,KOSDAQ,0,DISJOINT
2012,2067,KOSDAQ,0,DISJOINT
2012,2068,KOSDAQ,0,DISJOINT
2012,2070,KOSDAQ,0,DISJOINT
2012,2072,KOSDAQ,0,DISJOINT
2012,2074,KOSDAQ,0,DISJOINT
2012,2075,KOSDAQ,0,DISJOINT
2012,2077,KOSDAQ,0,DISJOINT
2012,2114,KOSDAQ,0,DISJOINT
2012,2118,KOSDAQ,0,DISJOINT
2024,2026,KOSDAQ,0,DISJOINT
2024,2027,KOSDAQ,0,DISJOINT
2024,2029,KOSDAQ,0,DISJOINT
2024,2031,KOSDAQ,0,DISJOINT
2024,2037,KOSDAQ,0,DISJOINT
2024,2056,KOSDAQ,48,EXACT_SUBSET
2024,2058,KOSDAQ,22,EXACT_SUBSET
2024,2062,KOSDAQ,9,EXACT_SUBSET
2024,2063,KOSDAQ,2,EXACT_SUBSET
2024,2065,KOSDAQ,126,EXACT_SUBSET
2024,2066,KOSDAQ,130,EXACT_SUBSET
2024,2067,KOSDAQ,15,EXACT_SUBSET
2024,2068,KOSDAQ,75,EXACT_SUBSET
2024,2070,KOSDAQ,183,EXACT_SUBSET
2024,2072,KOSDAQ,316,EXACT_SUBSET
2024,2074,KOSDAQ,99,EXACT_SUBSET
2024,2075,KOSDAQ,77,EXACT_SUBSET
2024,2077,KOSDAQ,15,EXACT_SUBSET
2024,2114,KOSDAQ,0,DISJOINT
2024,2118,KOSDAQ,0,DISJOINT
2026,2027,KOSDAQ,0,DISJOINT
2026,2029,KOSDAQ,0,DISJOINT
2026,2031,KOSDAQ,0,DISJOINT
2026,2037,KOSDAQ,0,DISJOINT
2026,2056,KOSDAQ,0,DISJOINT
2026,2058,KOSDAQ,0,DISJOINT
2026,2062,KOSDAQ,0,DISJOINT
2026,2063,KOSDAQ,0,DISJOINT
2026,2065,KOSDAQ,0,DISJOINT
2026,2066,KOSDAQ,0,DISJOINT
2026,2067,KOSDAQ,0,DISJOINT
2026,2068,KOSDAQ,0,DISJOINT
2026,2070,KOSDAQ,0,DISJOINT
2026,2072,KOSDAQ,0,DISJOINT
2026,2074,KOSDAQ,0,DISJOINT
2026,2075,KOSDAQ,0,DISJOINT
2026,2077,KOSDAQ,0,DISJOINT
2026,2114,KOSDAQ,0,DISJOINT
2026,2118,KOSDAQ,0,DISJOINT
2027,2029,KOSDAQ,0,DISJOINT
2027,2031,KOSDAQ,0,DISJOINT
2027,2037,KOSDAQ,0,DISJOINT
2027,2056,KOSDAQ,0,DISJOINT
2027,2058,KOSDAQ,0,DISJOINT
2027,2062,KOSDAQ,0,DISJOINT
2027,2063,KOSDAQ,0,DISJOINT
2027,2065,KOSDAQ,0,DISJOINT
2027,2066,KOSDAQ,0,DISJOINT
2027,2067,KOSDAQ,0,DISJOINT
2027,2068,KOSDAQ,0,DISJOINT
2027,2070,KOSDAQ,0,DISJOINT
2027,2072,KOSDAQ,0,DISJOINT
2027,2074,KOSDAQ,0,DISJOINT
2027,2075,KOSDAQ,0,DISJOINT
2027,2077,KOSDAQ,0,DISJOINT
2027,2114,KOSDAQ,0,DISJOINT
2027,2118,KOSDAQ,0,DISJOINT
2029,2031,KOSDAQ,0,DISJOINT
2029,2037,KOSDAQ,0,DISJOINT
2029,2056,KOSDAQ,0,DISJOINT
2029,2058,KOSDAQ,0,DISJOINT
2029,2062,KOSDAQ,0,DISJOINT
2029,2063,KOSDAQ,0,DISJOINT
2029,2065,KOSDAQ,0,DISJOINT
2029,2066,KOSDAQ,0,DISJOINT
2029,2067,KOSDAQ,0,DISJOINT
2029,2068,KOSDAQ,0,DISJOINT
2029,2070,KOSDAQ,0,DISJOINT
2029,2072,KOSDAQ,0,DISJOINT
2029,2074,KOSDAQ,0,DISJOINT
2029,2075,KOSDAQ,0,DISJOINT
2029,2077,KOSDAQ,0,DISJOINT
2029,2114,KOSDAQ,0,DISJOINT
2029,2118,KOSDAQ,0,DISJOINT
2031,2037,KOSDAQ,0,DISJOINT
2031,2056,KOSDAQ,0,DISJOINT
2031,2058,KOSDAQ,0,DISJOINT
2031,2062,KOSDAQ,0,DISJOINT
2031,2063,KOSDAQ,0,DISJOINT
2031,2065,KOSDAQ,0,DISJOINT
2031,2066,KOSDAQ,0,DISJOINT
2031,2067,KOSDAQ,0,DISJOINT
2031,2068,KOSDAQ,0,DISJOINT
2031,2070,KOSDAQ,0,DISJOINT
2031,2072,KOSDAQ,0,DISJOINT
2031,2074,KOSDAQ,0,DISJOINT
2031,2075,KOSDAQ,0,DISJOINT
2031,2077,KOSDAQ,0,DISJOINT
2031,2114,KOSDAQ,0,DISJOINT
2031,2118,KOSDAQ,0,DISJOINT
2037,2056,KOSDAQ,0,DISJOINT
2037,2058,KOSDAQ,0,DISJOINT
2037,2062,KOSDAQ,0,DISJOINT
2037,2063,KOSDAQ,0,DISJOINT
2037,2065,KOSDAQ,0,DISJOINT
2037,2066,KOSDAQ,0,DISJOINT
2037,2067,KOSDAQ,0,DISJOINT
2037,2068,KOSDAQ,0,DISJOINT
2037,2070,KOSDAQ,0,DISJOINT
2037,2072,KOSDAQ,0,DISJOINT
2037,2074,KOSDAQ,0,DISJOINT
2037,2075,KOSDAQ,0,DISJOINT
2037,2077,KOSDAQ,0,DISJOINT
2037,2114,KOSDAQ,0,DISJOINT
2037,2118,KOSDAQ,0,DISJOINT
2056,2058,KOSDAQ,0,DISJOINT
2056,2062,KOSDAQ,0,DISJOINT
2056,2063,KOSDAQ,0,DISJOINT
2056,2065,KOSDAQ,0,DISJOINT
2056,2066,KOSDAQ,0,DISJOINT
