ticker,candidate_rank,rcept_no,report_nm,rcept_dt,event_match_score,selection_status,rejection_reason
035720,12,20210414001895,[기재정정]주식매수선택권부여에관한신고,20210414,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
035720,13,20210414001872,[기재정정]주식매수선택권부여에관한신고,20210414,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
035720,14,20210414001849,[기재정정]주식매수선택권부여에관한신고,20210414,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
035720,15,20210414001824,[기재정정]주식매수선택권부여에관한신고,20210414,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
035720,16,20210414001804,[기재정정]주식매수선택권부여에관한신고,20210414,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
035720,17,20210414800392,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시),20210414,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
035720,18,20210412800372,기업설명회(IR)개최(안내공시),20210412,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
035720,19,20210412800367,결산실적공시예고(안내공시),20210412,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
035720,20,20210407800099,기업설명회(IR)개최(안내공시),20210407,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
035720,21,20210401800075,유상증자결정(자율공시)(종속회사의주요경영사항),20210401,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
035720,22,20210329800169,정기주주총회결과,20210329,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
035720,23,20210329800184,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시),20210329,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
035720,24,20210329000214,독립이사의선임ㆍ해임또는중도퇴임에관한신고,20210329,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
035720,25,20210323001098,[기재정정]주요사항보고서(회사분할결정),20210323,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
035720,26,20210318001373,사업보고서 (2020.12),20210318,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
035720,27,20210317801234,감사보고서제출,20210317,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
035720,28,20210315801576,[기재정정]주주총회소집결의,20210315,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
035720,29,20210312001062,[기재정정]의결권대리행사권유참고서류,20210312,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
035720,30,20210312001048,[기재정정]주주총회소집공고,20210312,100,SELECTED,
003670,1,20210226003921,대규모기업집단현황공시[분기별공시(개별회사용)],20210226,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,2,20210224002819,특수관계인에대한출자,20210224,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,3,20210224002723,의결권대리행사권유참고서류,20210224,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,4,20210224002650,주주총회소집공고,20210224,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,5,20210224800461,주주총회소집결의,20210224,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,6,20210129800375,소송등의판결ㆍ결정(자율공시:일정금액미만의청구),20210129,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,7,20210128800396,단일판매ㆍ공급계약체결,20210128,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
