ticker,name,raw_market,market,close,volume,trading_value,market_cap,shares_outstanding,effective_date
000325,노루홀딩스우,KOSPI,KOSPI,32700,675,22032950,7964379300,243559,2024-06-28
194700,노바렉스,KOSDAQ,KOSDAQ,10560,112627,1199254470,198051194880,18754848,2024-06-28
285490,노바텍,KOSDAQ,KOSDAQ,18010,14029,253135570,190470716310,10575831,2024-06-28
283100,노보믹스,KONEX,KONEX,609,69,41586,3998023491,6564899,2024-06-28
145170,노브랜드,KOSDAQ,KOSDAQ,24650,995661,25796613550,213253632950,8651263,2024-06-28
229500,노브메타파마,KONEX,KONEX,6970,16778,112719920,77300422560,11090448,2024-06-28
106520,노블엠앤비,KOSDAQ,KOSDAQ,411,0,0,15904036272,38695952,2024-06-28
376930,노을,KOSDAQ,KOSDAQ,2620,195891,508848130,96801297200,36947060,2024-06-28
006280,녹십자,KOSPI,KOSPI,114300,8806,1001663100,1335771293400,11686538,2024-06-28
142280,녹십자엠에스,KOSDAQ,KOSDAQ,3840,14993,57473975,81163050240,21136211,2024-06-28
234690,녹십자웰빙,KOSDAQ,KOSDAQ,9370,102426,944339830,166338826120,17752276,2024-06-28
005250,녹십자홀딩스,KOSPI,KOSPI,13990,21904,306086160,657924657900,47028210,2024-06-28
005257,녹십자홀딩스2우,KOSPI,KOSPI,25800,65,1678900,21826542000,845990,2024-06-28
065560,녹원씨엔아이,KOSDAQ,KOSDAQ,11540,0,0,189726555040,16440776,2024-06-28
004370,농심,KOSPI,KOSPI,489000,19348,9448039000,2974411938000,6082642,2024-06-28
072710,농심홀딩스,KOSPI,KOSPI,76600,5364,407157000,355254714000,4637790,2024-06-28
054050,농우바이오,KOSDAQ,KOSDAQ,8030,11307,90151070,128725404830,16030561,2024-06-28
069140,누리플랜,KOSDAQ,KOSDAQ,1750,50060,86541268,22929800250,13102743,2024-06-28
040160,누리플렉스,KOSDAQ,KOSDAQ,3205,14059,45106745,38637989675,12055535,2024-06-28
332290,누보,KOSDAQ,KOSDAQ,1456,72493,105107670,48608273168,33384803,2024-06-28
348340,뉴로메카,KOSDAQ,KOSDAQ,30700,86634,2675810250,323322269000,10531670,2024-06-28
060260,뉴보텍,KOSDAQ,KOSDAQ,537,1094016,574660363,22317744165,41560045,2024-06-28
123840,뉴온,KOSDAQ,KOSDAQ,287,161409,46297120,80965515757,282109811,2024-06-28
012340,뉴인텍,KOSDAQ,KOSDAQ,705,53426,37934603,35889549210,50907162,2024-06-28
214870,뉴지랩파마,KOSDAQ,KOSDAQ,6920,0,0,64765809320,9359221,2024-06-28
270870,뉴트리,KOSDAQ,KOSDAQ,10900,31819,343989200,100282441600,9200224,2024-06-28
144960,뉴파워프라즈마,KOSDAQ,KOSDAQ,6350,118355,747425920,277448162400,43692624,2024-06-28
085670,뉴프렉스,KOSDAQ,KOSDAQ,6430,297339,1893990700,157218393230,24450761,2024-06-28
064260,다날,KOSDAQ,KOSDAQ,3845,306312,1177053265,265109058800,68949040,2024-06-28
340360,다보링크,KOSDAQ,KOSDAQ,2600,1682449,4325560070,112809351200,43388212,2024-06-28
039560,다산네트웍스,KOSDAQ,KOSDAQ,3360,46323,155308035,132740096160,39505981,2024-06-28
154040,다산솔루에타,KOSDAQ,KOSDAQ,1541,32980,50500503,27661094854,17950094,2024-06-28
058730,다스코,KOSPI,KOSPI,3120,62036,192614335,60518455920,19396941,2024-06-28
030210,다올투자증권,KOSPI,KOSPI,3240,293471,956332025,197351983440,60911106,2024-06-28
023590,다우기술,KOSPI,KOSPI,18900,34890,658267500,847979061300,44866617,2024-06-28
032190,다우데이타,KOSDAQ,KOSDAQ,11390,30794,351632610,436237000000,38300000,2024-06-28
323350,다원넥스뷰,KOSDAQ,KOSDAQ,9450,58001,546984250,71783248950,7596111,2024-06-28
068240,다원시스,KOSDAQ,KOSDAQ,11180,101037,1122173550,426667225660,38163437,2024-06-28
145210,다이나믹디자인,KOSPI,KOSPI,4050,218811,895359330,70069426650,17301093,2024-06-28
019680,대교,KOSPI,KOSPI,2460,48857,119414760,208369011000,84702850,2024-06-28
019685,대교우B,KOSPI,KOSPI,1405,6176,8666818,27294920950,19426990,2024-06-28
006370,대구백화점,KOSPI,KOSPI,7610,14900,113466890,82352459710,10821611,2024-06-28
