ticker,name,raw_market,market,close,volume,trading_value,market_cap,shares_outstanding,effective_date
060310,3S,KOSDAQ,KOSDAQ,2360,514616,1230349255,114546475120,48536642,2023-09-22
095570,AJ네트웍스,KOSPI,KOSPI,4215,241580,1007180610,197355973425,46822295,2023-09-22
006840,AK홀딩스,KOSPI,KOSPI,18330,2767,50561890,242827793130,13247561,2023-09-22
054620,APS,KOSDAQ,KOSDAQ,7830,53156,417683900,159686750430,20394221,2023-09-22
265520,AP시스템,KOSDAQ,KOSDAQ,17640,30162,533629680,269564266440,15281421,2023-09-22
211270,AP위성,KOSDAQ,KOSDAQ,14450,730510,10741825820,217939292800,15082304,2023-09-22
027410,BGF,KOSPI,KOSPI,3575,40129,143286585,342187527825,95716791,2023-09-22
282330,BGF리테일,KOSPI,KOSPI,143000,48466,6906980100,2471598558000,17283906,2023-09-22
126600,BGF에코머티리얼즈,KOSDAQ,KOSDAQ,4590,176887,817083965,248012732250,54033275,2023-09-22
138930,BNK금융지주,KOSPI,KOSPI,7040,682325,4770776990,2267502603520,322088438,2023-09-22
001460,BYC,KOSPI,KOSPI,400000,14,5577000,249846000000,624615,2023-09-22
001465,BYC우,KOSPI,KOSPI,140100,1,140100,30175438500,215385,2023-09-22
013720,CBI,KOSDAQ,KOSDAQ,1762,114428,197989027,53593270396,30416158,2023-09-22
083790,CG인바이츠,KOSDAQ,KOSDAQ,3035,109363,327095270,233373842370,76894182,2023-09-22
001040,CJ,KOSPI,KOSPI,89000,237854,21227533900,2596752822000,29176998,2023-09-22
079160,CJ CGV,KOSPI,KOSPI,7620,126991,954177140,363709610400,47730920,2023-09-22
035760,CJ ENM,KOSDAQ GLOBAL,KOSDAQ,55900,75960,4238441100,1225839708600,21929154,2023-09-22
311690,CJ 바이오사이언스,KOSDAQ,KOSDAQ,15400,14917,229741850,140332530800,9112502,2023-09-22
00104K,CJ4우(전환),KOSPI,KOSPI,68600,5939,401559300,289938723200,4226512,2023-09-22
000120,CJ대한통운,KOSPI,KOSPI,81500,45987,3728601100,1859206036000,22812344,2023-09-22
011150,CJ씨푸드,KOSPI,KOSPI,2935,136700,401549170,105456818755,35930773,2023-09-22
011155,CJ씨푸드1우,KOSPI,KOSPI,19260,206,3942370,3852000000,200000,2023-09-22
001045,CJ우,KOSPI,KOSPI,47800,764,36608200,108038659400,2260223,2023-09-22
097950,CJ제일제당,KOSPI,KOSPI,298500,15141,4517683000,4493674521000,15054186,2023-09-22
097955,CJ제일제당 우,KOSPI,KOSPI,133200,1816,242417600,176814075600,1327433,2023-09-22
051500,CJ프레시웨이,KOSDAQ,KOSDAQ,22600,15026,339697350,268297843600,11871586,2023-09-22
058820,CMG제약,KOSDAQ,KOSDAQ,2380,438469,1046373160,330563540720,138892244,2023-09-22
023460,CNH,KOSDAQ,KOSDAQ,1999,12180,24314563,74362800000,37200000,2023-09-22
056730,CNT85,KOSDAQ,KOSDAQ,1255,114890,143754351,59116092280,47104456,2023-09-22
000480,CR홀딩스,KOSPI,KOSPI,7580,43083,320857220,213337826560,28144832,2023-09-22
065770,CS,KOSDAQ,KOSDAQ,1482,102974,151857017,28767294660,19411130,2023-09-22
083660,CSA 코스믹,KOSDAQ,KOSDAQ,1323,71561,91132104,81030020463,61247181,2023-09-22
000590,CS홀딩스,KOSPI,KOSPI,58500,683,40129400,67537197000,1154482,2023-09-22
012030,DB,KOSPI,KOSPI,1760,686824,1202858593,354066122080,201173933,2023-09-22
404950,DB금융스팩10호,KOSDAQ,KOSDAQ,3375,8325868,27064741795,19710000000,5840000,2023-09-22
456440,DB금융스팩11호,KOSDAQ,KOSDAQ,2070,119278,248575670,11002050000,5315000,2023-09-22
