ticker,name,raw_market,market,close,volume,trading_value,market_cap,shares_outstanding,effective_date
060310,3S,KOSDAQ,KOSDAQ,2295,374375,866106605,102821762745,44802511,2020-12-18
095570,AJ네트웍스,KOSPI,KOSPI,4595,136062,623868315,215148445525,46822295,2020-12-18
006840,AK홀딩스,KOSPI,KOSPI,25050,58704,1462089200,331851403050,13247561,2020-12-18
054620,APS홀딩스,KOSDAQ,KOSDAQ,8310,280003,2325474330,169475976510,20394221,2020-12-18
265520,AP시스템,KOSDAQ,KOSDAQ,24700,198825,4888831750,357661606900,14480227,2020-12-18
211270,AP위성,KOSDAQ,KOSDAQ,7590,223578,1653330520,113962362360,15014804,2020-12-18
027410,BGF,KOSPI,KOSPI,4930,688429,3416923760,471883779630,95716791,2020-12-18
282330,BGF리테일,KOSPI,KOSPI,132500,48889,6425850500,2290117545000,17283906,2020-12-18
138930,BNK금융지주,KOSPI,KOSPI,5850,1793548,10534203250,1906721189100,325935246,2020-12-18
001460,BYC,KOSPI,KOSPI,282000,1410,395569500,176141430000,624615,2020-12-18
001465,BYC우,KOSPI,KOSPI,140000,100,13934000,30153900000,215385,2020-12-18
001040,CJ,KOSPI,KOSPI,83200,93713,7793572900,2427526233600,29176998,2020-12-18
079160,CJ CGV,KOSPI,KOSPI,24300,569444,13681691650,852930000000,35100000,2020-12-18
035760,CJ ENM,KOSDAQ,KOSDAQ,135400,111427,15165460700,2969207451600,21929154,2020-12-18
00104K,CJ4우(전환),KOSPI,KOSPI,63600,13019,825821300,268806163200,4226512,2020-12-18
000120,CJ대한통운,KOSPI,KOSPI,163500,83471,13541434500,3729818244000,22812344,2020-12-18
011150,CJ씨푸드,KOSPI,KOSPI,5530,2109684,11459014380,198697174690,35930773,2020-12-18
011155,CJ씨푸드1우,KOSPI,KOSPI,42400,851,36281300,8480000000,200000,2020-12-18
001045,CJ우,KOSPI,KOSPI,51500,2459,126458300,116401484500,2260223,2020-12-18
097950,CJ제일제당,KOSPI,KOSPI,376000,60817,22904658500,5660373936000,15054186,2020-12-18
097955,CJ제일제당 우,KOSPI,KOSPI,163000,11935,1957123500,216371579000,1327433,2020-12-18
051500,CJ프레시웨이,KOSDAQ,KOSDAQ,18950,46893,890750150,224966554700,11871586,2020-12-18
058820,CMG제약,KOSDAQ,KOSDAQ,6350,6254566,39354068710,881965749400,138892244,2020-12-18
023460,CNH,KOSDAQ,KOSDAQ,2140,80545,171320520,79608000000,37200000,2020-12-18
065770,CS,KOSDAQ,KOSDAQ,2565,224339,570332170,48312159750,18835150,2020-12-18
083660,CSA 코스믹,KOSDAQ,KOSDAQ,2195,87848,194021440,81373138775,37072045,2020-12-18
000590,CS홀딩스,KOSPI,KOSPI,57500,6397,368229700,66382715000,1154482,2020-12-18
012030,DB,KOSPI,KOSPI,724,604136,435460553,145649927492,201173933,2020-12-18
322780,DB금융스팩7호,KOSDAQ,KOSDAQ,2735,429630,1159180130,12444250000,4550000,2020-12-18
367340,DB금융스팩8호,KOSDAQ,KOSDAQ,2005,15279,30603095,12130250000,6050000,2020-12-18
016610,DB금융투자,KOSPI,KOSPI,4750,129592,614744645,201620347750,42446389,2020-12-18
005830,DB손해보험,KOSPI,KOSPI,44950,174430,7857726150,3182460000000,70800000,2020-12-18
000990,DB하이텍,KOSPI,KOSPI,35600,765992,27434682100,1580589732800,44398588,2020-12-18
000995,DB하이텍1우,KOSPI,KOSPI,106500,2100,225300500,11961654000,112316,2020-12-18
139130,DGB금융지주,KOSPI,KOSPI,7320,602342,4424774290,1238147497560,169145833,2020-12-18
001530,DI동일,KOSPI,KOSPI,121000,22334,2677471000,298338689000,2465609,2020-12-18
068790,DMS,KOSDAQ,KOSDAQ,8780,254100,2222974630,215751475580,24573061,2020-12-18
004840,DRB동일,KOSPI,KOSPI,6930,100363,686698540,138114900000,19930000,2020-12-18
241520,DSC인베스트먼트,KOSDAQ,KOSDAQ,7420,1093181,8059032340,137558111180,18538829,2020-12-18
155660,DSR,KOSPI,KOSPI,6160,160982,987718700,98560000000,16000000,2020-12-18
069730,DSR제강,KOSPI,KOSPI,4820,80048,382588095,69408000000,14400000,2020-12-18
017940,E1,KOSPI,KOSPI,45900,31938,1469031300,314874000000,6860000,2020-12-18
245620,EDGC,KOSDAQ,KOSDAQ,9740,346768,3350900020,417987463760,42914524,2020-12-18
037370,EG,KOSDAQ,KOSDAQ,10700,134471,1417797750,80250000000,7500000,2020-12-18
079190,EMW,KOSDAQ,KOSDAQ,2780,0,0,88360067660,31784197,2020-12-18
007700,F&F,KOSPI,KOSPI,84700,28869,2446291800,1304380000000,15400000,2020-12-18
130500,GH신소재,KOSDAQ,KOSDAQ,10750,2433431,26114626950,118250000000,11000000,2020-12-18
114090,GKL,KOSPI,KOSPI,16750,470015,7807013350,1036082472500,61855670,2020-12-18
900290,GRT,KOSDAQ,KOSDAQ,951,0,0,64073625000,67375000,2020-12-18
078930,GS,KOSPI,KOSPI,38050,326493,12466935300,3535430132900,92915378,2020-12-18
083450,GST,KOSDAQ,KOSDAQ,17050,274853,4746316450,158867552250,9317745,2020-12-18
006360,GS건설,KOSPI,KOSPI,37200,835045,30755313100,2982655526400,80178912,2020-12-18
001250,GS글로벌,KOSPI,KOSPI,1980,456224,906802150,163416852720,82533764,2020-12-18
007070,GS리테일,KOSPI,KOSPI,34550,247242,8522843300,2660350000000,77000000,2020-12-18
078935,GS우,KOSPI,KOSPI,31600,10034,317163600,56400501600,1784826,2020-12-18
028150,GS홈쇼핑,KOSDAQ,KOSDAQ,142500,18327,2601429200,935156250000,6562500,2020-12-18
045890,GV,KOSDAQ,KOSDAQ,511,1234595,631216957,36092342888,70630808,2020-12-18
078150,HB테크놀러지,KOSDAQ,KOSDAQ,2310,3527281,8102647540,182467884060,78990426,2020-12-18
012630,HDC,KOSPI,KOSPI,11250,382899,4277253700,672094361250,59741721,2020-12-18
039570,HDC아이콘트롤스,KOSPI,KOSPI,10150,51569,524805200,167069000000,16460000,2020-12-18
089470,HDC현대EP,KOSPI,KOSPI,6410,109262,693436740,204479000000,31900000,2020-12-18
294870,HDC현대산업개발,KOSPI,KOSPI,26350,1544256,41107201750,1736658145500,65907330,2020-12-18
011200,HMM,KOSPI,KOSPI,13800,14245577,201184383500,4508823257400,326726323,2020-12-18
036640,HRS,KOSDAQ,KOSDAQ,4910,266318,1273540315,80302068000,16354800,2020-12-18
082740,HSD엔진,KOSPI,KOSPI,8170,1207547,9898165900,269178150140,32947142,2020-12-18
335870,IBKS제12호스팩,KOSDAQ,KOSDAQ,2115,10522,22052045,6598800000,3120000,2020-12-18
351340,IBKS제13호스팩,KOSDAQ,KOSDAQ,2090,21003,43901285,10805300000,5170000,2020-12-18
351320,IBKS제14호스팩,KOSDAQ,KOSDAQ,2095,35722,75002465,9071350000,4330000,2020-12-18
003560,IHQ,KOSPI,KOSPI,1645,3264536,5431167160,240557805460,146235748,2020-12-18
095340,ISC,KOSDAQ,KOSDAQ,26500,391063,10274270250,374776462000,14142508,2020-12-18
099520,ITX-AI,KOSDAQ,KOSDAQ,2715,100183,271198275,79554069345,29301683,2020-12-18
175330,JB금융지주,KOSPI,KOSPI,5860,471309,2785226870,1154319758840,196982894,2020-12-18
950170,JTC,KOSDAQ,KOSDAQ,5510,143348,778447660,192880398670,35005517,2020-12-18
234080,JW생명과학,KOSPI,KOSPI,20000,277082,5504405450,316691080000,15834554,2020-12-18
067290,JW신약,KOSDAQ,KOSDAQ,6200,1236088,7549952730,258336429200,41667166,2020-12-18
001060,JW중외제약,KOSPI,KOSPI,35000,323597,11193325250,732201890000,20920054,2020-12-18
