case_type,rank,ticker,name,market,isu_cd,control_trade_id,control_trade_sequence,identity_effective_from,identity_effective_to,entry_signal_date,entry_execution_date,entry_open,v2_exit_category,v2_terminal_return,v2_mfe,v2_mae,v2_holding_days,v2_giveback,v3_exit_reason,v3_terminal_return,v3_strategy_path_mfe,v3_strategy_path_mae,v3_holding_days,v3_giveback,full_path_raw_mfe,full_path_mfe_cohort,return_delta_v3_minus_v2
V3_OPEN_AT_CUTOFF_LONGEST_HOLDING,8,023410,유진기업,KOSDAQ,KR7023410004,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_023410_KR7023410004_KOSDAQ_01,1,2010-01-04,2026-08-21,2021-04-30,2021-05-03,5760.0,LOSS_GUARD,-16.49,11.11,-17.01,78,27.6,OPEN_AT_CUTOFF,-43.75,11.11,-48.78,1299,54.86,11.111111,PRE_WINNER_LT_20,-27.26
V3_OPEN_AT_CUTOFF_LONGEST_HOLDING,9,025000,KPX케미칼,KOSPI,KR7025000001,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_025000_KR7025000001_KOSPI_01,1,2010-01-04,2026-08-21,2021-04-09,2021-04-12,62068.0,LOSS_GUARD,-15.5,17.78,-16.11,152,33.28,OPEN_AT_CUTOFF,-15.25,17.78,-36.63,1295,33.03,17.780499,PRE_WINNER_LT_20,0.25
V3_OPEN_AT_CUTOFF_LONGEST_HOLDING,10,101530,해태제과식품,KOSPI,KR7101530004,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_101530_KR7101530004_KOSPI_01,1,2016-05-11,2026-08-21,2021-05-14,2021-05-17,10850.0,LOSS_GUARD,-14.65,6.91,-17.7,65,21.56,OPEN_AT_CUTOFF,-48.57,6.91,-54.19,1290,55.48,6.912442,PRE_WINNER_LT_20,-33.92
PAIRED_DELTA_LOWEST,1,047040,대우건설,KOSPI,KR7047040001,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_047040_KR7047040001_KOSPI_01,1,2010-01-04,2026-08-21,2026-01-23,2026-01-26,5100.0,EXIT4,586.27,691.18,-6.67,66,104.91,HARD_EXIT,68.63,112.75,-6.67,25,44.12,691.176471,WINNER_CAPABLE_GE_20,-517.64
PAIRED_DELTA_LOWEST,2,131290,티에스이,KOSDAQ,KR7131290009,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_131290_KR7131290009_KOSDAQ_02,2,2011-01-05,2026-08-21,2025-10-10,2025-10-13,52900.0,OPEN_AT_CUTOFF,319.66,455.77,-13.42,212,136.11,SOFT_EXIT,17.2,32.14,-13.42,68,14.94,455.765595,WINNER_CAPABLE_GE_20,-302.46
PAIRED_DELTA_LOWEST,3,080220,제주반도체,KOSDAQ,KR7080220007,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_080220_KR7080220007_KOSDAQ_01,1,2010-01-04,2026-08-21,2025-09-19,2025-09-22,19250.0,OPEN_AT_CUTOFF,281.82,616.88,-9.19,222,335.06,HARD_EXIT,-0.05,25.45,-7.01,31,25.5,616.883117,WINNER_CAPABLE_GE_20,-281.87
PAIRED_DELTA_LOWEST,4,307950,현대오토에버,KOSPI,KR7307950006,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_307950_KR7307950006_KOSPI_01,1,2019-03-28,2026-08-21,2023-04-14,2023-04-17,126000.0,EXIT4,288.89,330.95,-15.08,698,42.06,SOFT_EXIT,15.08,27.38,-9.13,72,12.3,746.031746,WINNER_CAPABLE_GE_20,-273.81
PAIRED_DELTA_LOWEST,5,005930,삼성전자,KOSPI,KR7005930003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_005930_KR7005930003_KOSPI_02,2,2010-01-04,2026-08-21,2025-08-29,2025-09-01,68400.0,OPEN_AT_CUTOFF,311.55,447.51,-1.32,237,135.96,SOFT_EXIT,42.98,64.33,-1.32,56,21.35,447.51462,WINNER_CAPABLE_GE_20,-268.57
PAIRED_DELTA_LOWEST,6,319660,피에스케이,KOSDAQ,KR7319660007,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_319660_KR7319660007_KOSDAQ_03,3,2019-05-10,2026-08-21,2025-08-29,2025-09-01,24000.0,EXIT4,250.0,273.33,-6.46,141,23.33,HARD_EXIT,25.83,72.5,-6.46,56,46.67,814.583333,WINNER_CAPABLE_GE_20,-224.17
PAIRED_DELTA_LOWEST,7,281820,케이씨텍,KOSPI,KR7281820001,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_281820_KR7281820001_KOSPI_02,2,2017-12-05,2026-08-21,2025-10-17,2025-10-20,38350.0,EXIT4,197.26,203.52,-8.47,172,6.26,SOFT_EXIT,0.26,20.34,-8.08,26,20.08,225.423729,WINNER_CAPABLE_GE_20,-197.0
