strategy,exit_reason,count,rate_pct,mean_terminal_return,median_terminal_return,mean_mfe,median_mfe,mean_mae,median_mae,mean_holding_days,median_holding_days,mean_giveback,median_giveback
V2,LOSS_GUARD,590,60.637205,-16.279949,-15.875,12.318237,7.45,-17.761864,-17.06,71.023729,40.0,28.598186,23.46
V2,EXIT3,39,4.008222,9.951795,-6.01,106.99,50.97,-22.141282,-17.92,311.051282,224.0,97.038205,60.41
V2,EXIT4,255,26.207605,60.794078,53.82,93.902902,79.5,-10.719882,-9.18,221.494118,150.0,33.108824,24.8
V2,OPEN_AT_CUTOFF,89,9.146968,26.244382,9.28,98.003034,57.74,-17.302584,-13.91,381.168539,271.0,71.758652,44.52
V3,SOFT_EXIT,498,51.181912,17.599759,13.39,38.11502,30.11,-14.959257,-11.85,179.032129,98.0,20.515261,17.885
V3,HARD_EXIT,236,24.254882,35.424661,15.125,90.386059,48.86,-21.061864,-14.32,246.173729,115.5,54.961398,35.54
V3,OPEN_AT_CUTOFF,239,24.563207,-36.370502,-34.12,9.178159,8.23,-47.434268,-48.07,574.841004,453.0,45.548661,44.61
